Date,BTS
2008-01-02,5.4
2008-01-03,5.4
2008-01-04,5.300000000000001
2008-01-07,5.2
2008-01-08,5.2
2008-01-09,5.1
2008-01-10,5.0
2008-01-11,4.95
2008-01-14,4.9
2008-01-15,4.9
2008-01-16,4.8
2008-01-17,4.8
2008-01-18,4.85
2008-01-21,4.85
2008-01-22,4.6
2008-01-23,4.55
2008-01-24,4.5
2008-01-25,4.55
2008-01-28,4.55
2008-01-29,4.5
2008-01-30,4.55
2008-01-31,4.9
2008-02-01,5.15
2008-02-04,5.35
2008-02-05,5.25
2008-02-06,5.2
2008-02-07,5.35
2008-02-08,5.6
2008-02-11,5.550000000000001
2008-02-12,5.65
2008-02-13,5.65
2008-02-14,5.5
2008-02-15,5.4
2008-02-18,5.45
2008-02-19,5.45
2008-02-20,5.45
2008-02-22,5.4
2008-02-25,5.45
2008-02-26,5.300000000000001
2008-02-27,5.35
2008-02-28,5.35
2008-02-29,5.550000000000001
2008-03-03,5.6
2008-03-04,5.5
2008-03-05,5.5
2008-03-06,5.45
2008-03-07,5.35
2008-03-10,5.15
2008-03-11,5.199999999999999
2008-03-12,5.300000000000001
2008-03-13,5.25
2008-03-14,5.3
2008-03-17,5.199999999999999
2008-03-18,5.15
2008-03-19,5.15
2008-03-20,5.1
2008-03-21,5.1
2008-03-24,5.05
2008-03-25,5.1
2008-03-26,5.05
2008-03-27,5.05
2008-03-28,5.1
2008-03-31,5.05
2008-04-01,5.1
2008-04-02,5.15
2008-04-03,5.2
2008-04-04,5.35
2008-04-08,5.45
2008-04-09,5.4
2008-04-10,5.3
2008-04-11,5.25
2008-04-16,5.25
2008-04-17,5.25
2008-04-18,5.2
2008-04-21,5.3
2008-04-22,5.3
2008-04-23,5.4
2008-04-24,5.35
2008-04-25,5.35
2008-04-28,5.300000000000001
2008-04-29,5.2
2008-04-30,5.25
2008-05-02,5.2
2008-05-06,5.25
2008-05-07,5.15
2008-05-08,5.1
2008-05-09,5.05
2008-05-12,4.9
2008-05-13,4.8
2008-05-14,4.9
2008-05-15,4.95
2008-05-16,4.9
2008-05-20,4.95
2008-05-21,4.8
2008-05-22,4.8
2008-05-23,4.8
2008-05-26,4.75
2008-05-27,4.7
2008-05-28,4.6
2008-05-29,4.5
2008-05-30,4.5
2008-06-02,4.5
2008-06-03,4.45
2008-06-04,4.4
2008-06-05,4.45
2008-06-06,4.4
2008-06-09,4.3
2008-06-10,4.300000000000001
2008-06-11,4.2
2008-06-12,4.2
2008-06-13,4.15
2008-06-16,4.1
2008-06-17,4.0
2008-06-18,3.8499999999999996
2008-06-19,3.5999999999999996
2008-06-20,3.5
2008-06-23,3.45
2008-06-24,3.55
2008-06-25,3.6500000000000004
2008-06-26,3.75
2008-06-27,3.7
2008-06-30,3.75
2008-07-02,3.75
2008-07-03,3.6
2008-07-04,3.6
2008-07-07,3.55
2008-07-08,3.4
2008-07-09,3.4
2008-07-10,3.4
2008-07-11,3.4
2008-07-14,3.4
2008-07-15,3.25
2008-07-16,3.0
2008-07-18,2.95
2008-07-21,2.95
2008-07-22,2.95
2008-07-23,3.05
2008-07-24,3.1
2008-07-25,3.1
2008-07-28,3.55
2008-07-29,3.6500000000000004
2008-07-30,3.6500000000000004
2008-07-31,3.6
2008-08-01,3.9
2008-08-04,3.5
2008-08-05,3.45
2008-08-06,3.5
2008-08-07,3.6
2008-08-08,3.6
2008-08-11,3.6
2008-08-13,3.6
2008-08-14,3.6500000000000004
2008-08-15,3.6
2008-08-18,3.55
2008-08-19,3.5
