Date,CPN
2008-01-02,12.35
2008-01-03,11.9
2008-01-04,11.7
2008-01-07,11.55
2008-01-08,11.75
2008-01-09,11.9
2008-01-10,11.8
2008-01-11,11.75
2008-01-14,11.6
2008-01-15,11.5
2008-01-16,11.2
2008-01-17,11.149999999999999
2008-01-18,11.0
2008-01-21,11.1
2008-01-22,10.5
2008-01-23,10.3
2008-01-24,10.0
2008-01-25,10.05
2008-01-28,10.0
2008-01-29,10.2
2008-01-30,10.149999999999999
2008-01-31,10.85
2008-02-01,12.149999999999999
2008-02-04,12.600000000000001
2008-02-05,12.35
2008-02-06,11.9
2008-02-07,12.2
2008-02-08,12.8
2008-02-11,13.0
2008-02-12,12.9
2008-02-13,13.3
2008-02-14,13.600000000000001
2008-02-15,13.45
2008-02-18,13.9
2008-02-19,14.55
2008-02-20,14.649999999999999
2008-02-22,14.0
2008-02-25,13.95
2008-02-26,13.9
2008-02-27,13.5
2008-02-28,13.35
2008-02-29,13.8
2008-03-03,14.6
2008-03-04,14.3
2008-03-05,13.85
2008-03-06,13.850000000000001
2008-03-07,13.8
2008-03-10,13.65
2008-03-11,13.9
2008-03-12,14.4
2008-03-13,14.0
2008-03-14,13.55
2008-03-17,13.3
2008-03-18,13.7
2008-03-19,14.45
2008-03-20,13.850000000000001
2008-03-21,13.8
2008-03-24,13.850000000000001
2008-03-25,13.75
2008-03-26,13.6
2008-03-27,13.850000000000001
2008-03-28,13.850000000000001
2008-03-31,13.95
2008-04-01,14.0
2008-04-02,14.149999999999999
2008-04-03,14.4
2008-04-04,14.5
2008-04-08,14.399999999999999
2008-04-09,14.05
2008-04-10,14.05
2008-04-11,14.05
2008-04-16,14.3
2008-04-17,14.45
2008-04-18,14.35
2008-04-21,14.45
2008-04-22,14.4
2008-04-23,14.0
2008-04-24,13.8
2008-04-25,13.95
2008-04-28,13.95
2008-04-29,13.95
2008-04-30,14.15
2008-05-02,14.3
2008-05-06,14.35
2008-05-07,14.0
2008-05-08,13.65
2008-05-09,13.35
2008-05-12,13.05
2008-05-13,12.850000000000001
2008-05-14,12.600000000000001
2008-05-15,12.7
2008-05-16,13.55
2008-05-20,13.7
2008-05-21,13.4
2008-05-22,13.3
2008-05-23,13.5
2008-05-26,13.75
2008-05-27,13.9
2008-05-28,13.7
2008-05-29,13.15
2008-05-30,12.7
2008-06-02,12.6
2008-06-03,12.7
2008-06-04,12.850000000000001
2008-06-05,12.850000000000001
2008-06-06,12.75
2008-06-09,12.65
2008-06-10,12.5
2008-06-11,12.4
2008-06-12,12.4
2008-06-13,12.25
2008-06-16,12.1
2008-06-17,11.9
2008-06-18,11.8
2008-06-19,11.6
2008-06-20,11.7
2008-06-23,11.600000000000001
2008-06-24,11.75
2008-06-25,11.75
2008-06-26,12.0
2008-06-27,11.9
2008-06-30,11.85
2008-07-02,11.399999999999999
2008-07-03,11.1
2008-07-04,10.9
2008-07-07,10.7
2008-07-08,10.649999999999999
2008-07-09,10.8
2008-07-10,10.75
2008-07-11,10.8
2008-07-14,10.7
2008-07-15,10.45
2008-07-16,9.850000000000001
2008-07-18,9.55
2008-07-21,9.6
2008-07-22,9.5
2008-07-23,9.899999999999999
2008-07-24,10.5
2008-07-25,10.6
2008-07-28,10.6
2008-07-29,10.3
2008-07-30,10.3
2008-07-31,10.15
2008-08-01,10.1
2008-08-04,10.1
2008-08-05,9.9
2008-08-06,10.0
2008-08-07,10.45
2008-08-08,10.35
2008-08-11,10.649999999999999
2008-08-13,10.7
2008-08-14,10.7
2008-08-15,10.7
2008-08-18,10.45
2008-08-19,10.350000000000001
2008-08-20,10.3
2008-08-21,10.1
2008-08-22,10.2
2008-08-25,10.1
2008-08-26,10.0
2008-08-27,10.1
2008-08-28,10.3
2008-08-29,10.35
2008-09-01,10.2
2008-09-02,9.850000000000001
2008-09-03,9.75
2008-09-04,9.649999999999999
2008-09-05,9.6
2008-09-08,9.7
2008-09-09,9.75
2008-09-10,9.649999999999999
2008-09-11,9.649999999999999
2008-09-12,9.649999999999999
2008-09-15,9.6
2008-09-16,9.350000000000001
2008-09-17,9.3
2008-09-18,8.95
2008-09-19,9.2
2008-09-22,9.25
2008-09-23,9.0
2008-09-24,8.95
2008-09-25,8.9
2008-09-26,8.7
2008-09-29,8.399999999999999
2008-09-30,7.8999999999999995
2008-10-01,8.350000000000001
2008-10-02,8.65
2008-10-03,8.8
2008-10-06,8.45
2008-10-07,7.75
2008-10-08,6.800000000000001
2008-10-09,6.199999999999999
2008-10-10,4.9
