Date,DTAC
2008-01-02,39.2
2008-01-03,38.65
2008-01-04,39.15
2008-01-07,39.0
2008-01-08,40.0
2008-01-09,40.5
2008-01-10,41.25
2008-01-11,40.9
2008-01-14,40.25
2008-01-15,40.1
2008-01-16,39.65
2008-01-17,41.25
2008-01-18,42.25
2008-01-21,43.0
2008-01-22,41.65
2008-01-23,41.65
2008-01-24,40.5
2008-01-25,41.5
2008-01-28,41.6
2008-01-29,42.25
2008-01-30,41.6
2008-01-31,42.1
2008-02-01,44.25
2008-02-04,46.8
2008-02-05,45.4
2008-02-06,44.65
2008-02-07,46.0
2008-02-08,45.8
2008-02-11,44.7
2008-02-12,45.5
2008-02-13,46.4
2008-02-14,47.6
2008-02-15,46.35
2008-02-18,47.25
2008-02-19,47.2
2008-02-20,47.0
2008-02-22,46.0
2008-02-25,46.6
2008-02-26,47.35
2008-02-27,47.25
2008-02-28,46.6
2008-02-29,46.1
2008-03-03,46.6
2008-03-04,46.7
2008-03-05,46.1
2008-03-06,46.35
2008-03-07,45.9
2008-03-10,44.85
2008-03-11,44.4
2008-03-12,45.35
2008-03-13,44.85
2008-03-14,44.35
2008-03-17,44.35
2008-03-18,44.6
2008-03-19,45.15
2008-03-20,45.0
2008-03-21,45.9
2008-03-24,46.9
2008-03-25,47.0
2008-03-26,46.8
2008-03-27,46.75
2008-03-28,47.0
2008-03-31,46.4
2008-04-01,45.9
2008-04-02,46.5
2008-04-03,46.9
2008-04-04,47.2
2008-04-08,46.85
2008-04-09,47.15
2008-04-10,46.5
2008-04-11,46.75
2008-04-16,46.9
2008-04-17,47.1
2008-04-18,47.6
2008-04-21,48.0
2008-04-22,47.4
2008-04-23,46.5
2008-04-24,46.1
2008-04-25,46.1
2008-04-28,45.5
2008-04-29,46.0
2008-04-30,46.2
2008-05-02,46.6
2008-05-06,47.1
2008-05-07,47.5
2008-05-08,47.0
2008-05-09,46.35
2008-05-12,46.5
2008-05-13,46.5
2008-05-14,46.9
2008-05-15,48.0
2008-05-16,49.5
2008-05-20,51.0
2008-05-21,50.75
2008-05-22,51.75
2008-05-23,55.75
2008-05-26,56.25
2008-05-27,55.5
2008-05-28,53.75
2008-05-29,52.5
2008-05-30,53.0
2008-06-02,52.75
2008-06-03,52.25
2008-06-04,52.25
2008-06-05,51.0
2008-06-06,50.0
2008-06-09,49.1
2008-06-10,49.35
2008-06-11,50.0
2008-06-12,50.5
2008-06-13,51.0
2008-06-16,52.0
2008-06-17,52.75
2008-06-18,52.75
2008-06-19,52.25
2008-06-20,51.25
2008-06-23,52.5
2008-06-24,52.0
2008-06-25,51.25
2008-06-26,51.75
2008-06-27,51.0
2008-06-30,51.25
2008-07-02,50.75
2008-07-03,50.25
2008-07-04,49.35
2008-07-07,49.75
2008-07-08,50.4
2008-07-09,50.75
2008-07-10,49.9
2008-07-11,50.25
2008-07-14,50.0
2008-07-15,48.6
2008-07-16,46.35
2008-07-18,45.5
2008-07-21,46.85
2008-07-22,47.0
2008-07-23,46.2
2008-07-24,45.75
2008-07-25,44.35
2008-07-28,44.1
2008-07-29,44.5
2008-07-30,45.15
2008-07-31,44.5
2008-08-01,43.85
2008-08-04,43.85
2008-08-05,44.4
2008-08-06,44.4
2008-08-07,44.5
2008-08-08,43.9
2008-08-11,44.35
2008-08-13,43.8
2008-08-14,44.0
2008-08-15,44.6
2008-08-18,44.4
2008-08-19,43.75
2008-08-20,43.65
2008-08-21,43.25
2008-08-22,42.5
2008-08-25,42.25
2008-08-26,40.75
2008-08-27,40.5
2008-08-28,40.85
2008-08-29,41.35
2008-09-01,41.1
2008-09-02,40.85
2008-09-03,41.6
2008-09-04,42.9
2008-09-05,42.9
2008-09-08,43.35
2008-09-09,43.15
2008-09-10,43.35
2008-09-11,43.35
2008-09-12,43.0
2008-09-15,43.2
2008-09-16,42.5
2008-09-17,41.75
2008-09-18,39.85
2008-09-19,41.25
2008-09-22,41.4
2008-09-23,39.3
2008-09-24,39.2
2008-09-25,39.25
2008-09-26,39.75
2008-09-29,39.6
2008-09-30,38.25
2008-10-01,39.75
2008-10-02,40.65
2008-10-03,40.85
2008-10-06,40.65
2008-10-07,39.35
2008-10-08,37.15
2008-10-09,33.5
2008-10-10,28.9
2008-10-13,32.4
2008-10-14,38.0
2008-10-15,36.3
2008-10-16,35.4
2008-10-17,36.0
2008-10-20,35.25
2008-10-21,34.0
2008-10-22,31.75
2008-10-24,29.25
2008-10-27,26.4
2008-10-28,25.25
2008-10-29,23.5
2008-10-30,23.45
2008-10-31,24.25
2008-11-03,27.65
2008-11-04,29.2
2008-11-05,33.0
2008-11-06,32.75
2008-11-07,33.25
2008-11-10,34.0
2008-11-11,33.5
2008-11-12,32.6
2008-11-13,31.9
2008-11-14,32.5
2008-11-17,32.5
2008-11-18,32.0
2008-11-19,31.15
2008-11-20,29.65
2008-11-21,29.6
2008-11-24,30.0
2008-11-25,31.65
2008-11-26,31.0
2008-11-27,31.0
2008-11-28,31.25
2008-12-01,30.35
2008-12-02,29.25
2008-12-03,30.5
2008-12-04,29.75
2008-12-08,30.6
2008-12-09,31.0
2008-12-11,30.0
2008-12-12,29.25
2008-12-15,29.6
2008-12-16,29.4
2008-12-17,30.35
2008-12-18,30.8
2008-12-19,30.0
2008-12-22,30.0
2008-12-23,30.6
2008-12-24,31.2
2008-12-25,31.6
2008-12-26,32.0
2008-12-29,31.5
2008-12-30,32.0
2009-01-02,32.0
2009-01-05,32.75
2009-01-06,32.75
2009-01-07,31.700000000000003
2009-01-08,30.0
2009-01-09,30.25
2009-01-12,30.1
2009-01-13,29.7
2009-01-14,29.9
2009-01-15,29.0
2009-01-16,29.5
2009-01-19,29.75
2009-01-20,29.1
2009-01-21,29.1
2009-01-22,29.25
2009-01-23,28.75
2009-01-26,28.8
2009-01-27,29.1
