Date,INTUCH
2008-01-02,25.85
2008-01-03,25.5
2008-01-04,25.35
2008-01-07,25.6
2008-01-08,25.35
2008-01-09,25.2
2008-01-10,25.2
2008-01-11,25.0
2008-01-14,24.75
2008-01-15,24.8
2008-01-16,25.0
2008-01-17,25.0
2008-01-18,24.9
2008-01-21,24.8
2008-01-22,24.35
2008-01-23,24.25
2008-01-24,23.9
2008-01-25,24.25
2008-01-28,24.4
2008-01-29,24.6
2008-01-30,24.85
2008-01-31,24.75
2008-02-01,25.4
2008-02-04,25.7
2008-02-05,25.25
2008-02-06,25.1
2008-02-07,25.5
2008-02-08,27.0
2008-02-11,28.5
2008-02-12,28.75
2008-02-13,29.35
2008-02-14,30.75
2008-02-15,30.0
2008-02-18,30.1
2008-02-19,29.9
2008-02-20,29.5
2008-02-22,29.1
2008-02-25,29.5
2008-02-26,29.75
2008-02-27,29.65
2008-02-28,29.8
2008-02-29,29.8
2008-03-03,29.65
2008-03-04,29.5
2008-03-05,29.35
2008-03-06,29.5
2008-03-07,29.1
2008-03-10,28.75
2008-03-11,28.8
2008-03-12,28.9
2008-03-13,28.5
2008-03-14,28.65
2008-03-17,28.35
2008-03-18,28.2
2008-03-19,28.35
2008-03-20,28.1
2008-03-21,28.1
2008-03-24,28.25
2008-03-25,28.75
2008-03-26,28.9
2008-03-27,29.15
2008-03-28,28.9
2008-03-31,29.0
2008-04-01,28.8
2008-04-02,28.9
2008-04-03,29.0
2008-04-04,29.0
2008-04-08,28.5
2008-04-09,28.25
2008-04-10,28.1
2008-04-11,28.2
2008-04-16,28.1
2008-04-17,28.1
2008-04-18,28.1
2008-04-21,28.1
2008-04-22,28.0
2008-04-23,28.0
2008-04-24,26.1
2008-04-25,25.75
2008-04-28,25.35
2008-04-29,25.1
2008-04-30,24.95
2008-05-02,24.95
2008-05-06,25.1
2008-05-07,25.049999999999997
2008-05-08,24.95
2008-05-09,25.25
2008-05-12,25.2
2008-05-13,24.95
2008-05-14,25.5
2008-05-15,26.5
2008-05-16,27.0
2008-05-20,26.9
2008-05-21,26.65
2008-05-22,26.35
2008-05-23,26.5
2008-05-26,25.9
