Date,KBANK
2008-01-02,85.0
2008-01-03,82.75
2008-01-04,81.25
2008-01-07,80.25
2008-01-08,81.75
2008-01-09,81.75
2008-01-10,81.25
2008-01-11,80.0
2008-01-14,79.0
2008-01-15,79.0
2008-01-16,77.5
2008-01-17,80.25
2008-01-18,81.25
2008-01-21,81.75
2008-01-22,78.25
2008-01-23,78.75
2008-01-24,76.75
2008-01-25,78.0
2008-01-28,77.5
2008-01-29,77.25
2008-01-30,78.25
2008-01-31,81.5
2008-02-01,85.25
2008-02-04,86.25
2008-02-05,86.5
2008-02-06,84.75
2008-02-07,85.5
2008-02-08,86.0
2008-02-11,86.75
2008-02-12,88.5
2008-02-13,91.75
2008-02-14,91.25
2008-02-15,88.25
2008-02-18,88.25
2008-02-19,89.25
2008-02-20,88.5
2008-02-22,87.5
2008-02-25,88.5
2008-02-26,88.5
2008-02-27,87.75
2008-02-28,86.75
2008-02-29,87.0
2008-03-03,87.5
2008-03-04,87.25
2008-03-05,86.75
2008-03-06,88.0
2008-03-07,87.5
2008-03-10,85.75
2008-03-11,86.0
2008-03-12,87.5
2008-03-13,85.0
2008-03-14,84.75
2008-03-17,84.0
2008-03-18,84.5
2008-03-19,86.25
2008-03-20,85.0
2008-03-21,85.75
2008-03-24,87.25
2008-03-25,89.0
2008-03-26,90.25
2008-03-27,90.0
2008-03-28,90.5
2008-03-31,90.25
2008-04-01,90.75
2008-04-02,92.25
2008-04-03,92.0
2008-04-04,91.5
2008-04-08,91.25
2008-04-09,91.25
2008-04-10,89.75
2008-04-11,90.0
2008-04-16,91.25
2008-04-17,93.25
2008-04-18,93.0
2008-04-21,92.5
2008-04-22,90.75
2008-04-23,90.25
2008-04-24,89.5
2008-04-25,88.25
2008-04-28,86.75
2008-04-29,87.5
2008-04-30,87.5
2008-05-02,88.5
2008-05-06,89.25
2008-05-07,88.5
2008-05-08,87.5
2008-05-09,87.0
2008-05-12,86.25
2008-05-13,87.0
2008-05-14,87.75
2008-05-15,87.75
2008-05-16,88.5
2008-05-20,88.0
2008-05-21,88.5
2008-05-22,89.25
2008-05-23,89.25
2008-05-26,87.25
2008-05-27,87.5
2008-05-28,86.75
2008-05-29,85.5
2008-05-30,85.0
2008-06-02,82.25
2008-06-03,79.75
2008-06-04,79.0
2008-06-05,79.75
2008-06-06,80.75
2008-06-09,78.0
2008-06-10,77.0
2008-06-11,77.0
2008-06-12,75.25
2008-06-13,74.5
2008-06-16,74.5
2008-06-17,74.25
2008-06-18,72.25
2008-06-19,69.5
2008-06-20,70.0
2008-06-23,70.75
2008-06-24,70.75
2008-06-25,72.25
2008-06-26,74.75
2008-06-27,72.75
2008-06-30,72.25
2008-07-02,69.75
2008-07-03,66.75
2008-07-04,66.75
2008-07-07,67.25
2008-07-08,66.5
2008-07-09,67.25
2008-07-10,66.25
2008-07-11,67.5
2008-07-14,67.25
2008-07-15,64.0
2008-07-16,62.25
2008-07-18,62.5
2008-07-21,66.25
2008-07-22,66.75
2008-07-23,68.75
2008-07-24,69.25
2008-07-25,66.75
2008-07-28,67.0
2008-07-29,66.0
