Date,KCE
2008-01-02,3.55
2008-01-03,3.5
2008-01-04,3.5
2008-01-07,3.5
2008-01-08,3.5
2008-01-09,3.45
2008-01-10,3.3499999999999996
2008-01-11,3.25
2008-01-14,3.25
2008-01-15,3.3
2008-01-16,3.3
2008-01-17,3.3
2008-01-18,3.3499999999999996
2008-01-21,3.4
2008-01-22,3.3499999999999996
2008-01-23,3.3499999999999996
2008-01-24,3.3
2008-01-25,3.3
2008-01-28,3.3
2008-01-29,3.3
2008-01-30,3.3499999999999996
2008-01-31,3.3499999999999996
2008-02-01,3.3499999999999996
2008-02-04,3.45
2008-02-05,3.3499999999999996
2008-02-06,3.3
2008-02-07,3.3
2008-02-08,3.3
2008-02-11,3.3
2008-02-12,3.3499999999999996
2008-02-13,3.45
2008-02-14,3.5
2008-02-15,3.4
2008-02-18,3.45
2008-02-19,3.6
2008-02-20,3.7
2008-02-22,3.7
2008-02-25,3.75
2008-02-26,3.75
2008-02-27,3.7
2008-02-28,3.6500000000000004
2008-02-29,3.55
2008-03-03,3.45
2008-03-04,3.4
2008-03-05,3.4
2008-03-06,3.4
2008-03-07,3.4
2008-03-10,3.4
2008-03-11,3.4
2008-03-12,3.4
2008-03-13,3.4
2008-03-14,3.4
2008-03-17,3.4
2008-03-18,3.4
2008-03-19,3.3499999999999996
2008-03-20,3.3
2008-03-21,3.3
2008-03-24,3.3499999999999996
2008-03-25,3.4
2008-03-26,3.4
2008-03-27,3.45
2008-03-28,3.5
2008-03-31,3.5
2008-04-01,3.5
2008-04-02,3.5
2008-04-03,3.4
2008-04-04,3.4
2008-04-08,3.45
2008-04-09,3.5
2008-04-10,3.5
2008-04-11,3.45
2008-04-16,3.45
2008-04-17,3.5
2008-04-18,3.5
2008-04-21,3.6
2008-04-22,3.6
2008-04-23,3.6500000000000004
2008-04-24,3.7
2008-04-25,3.75
2008-04-28,3.75
2008-04-29,3.7
2008-04-30,3.6500000000000004
2008-05-02,3.55
2008-05-06,3.5
2008-05-07,3.5
2008-05-08,3.5
2008-05-09,3.5
2008-05-12,3.5
2008-05-13,3.55
2008-05-14,3.5
2008-05-15,3.45
2008-05-16,3.5
2008-05-20,3.5
2008-05-21,3.5
2008-05-22,3.5
2008-05-23,3.5
2008-05-26,3.5
2008-05-27,3.45
2008-05-28,3.5
2008-05-29,3.4
2008-05-30,3.4
2008-06-02,3.4
2008-06-03,3.4
2008-06-04,3.3499999999999996
2008-06-05,3.4
2008-06-06,3.45
2008-06-09,3.4
2008-06-10,3.3499999999999996
2008-06-11,3.3499999999999996
2008-06-12,3.3
2008-06-13,3.4
2008-06-16,3.3
2008-06-17,3.2
2008-06-18,3.2
2008-06-19,3.1500000000000004
2008-06-20,3.1
2008-06-23,3.1
2008-06-24,3.1
2008-06-25,3.1
2008-06-26,3.1
2008-06-27,3.05
2008-06-30,3.1
2008-07-02,3.05
2008-07-03,3.0
2008-07-04,3.0
2008-07-07,2.9
2008-07-08,2.8
2008-07-09,2.8
2008-07-10,2.75
2008-07-11,2.8
2008-07-14,2.8
2008-07-15,2.8
2008-07-16,2.8
2008-07-18,2.8
2008-07-21,2.8
2008-07-22,2.8
2008-07-23,2.8499999999999996
2008-07-24,2.9
2008-07-25,2.9
2008-07-28,2.95
2008-07-29,2.9
2008-07-30,2.9
2008-07-31,2.8499999999999996
2008-08-01,2.8
2008-08-04,2.75
2008-08-05,2.7
2008-08-06,2.75
2008-08-07,2.8499999999999996
2008-08-08,2.8499999999999996
2008-08-11,2.8
2008-08-13,2.8
2008-08-14,2.8499999999999996
2008-08-15,2.75
2008-08-18,2.7
2008-08-19,2.75
2008-08-20,2.8
2008-08-21,2.8
2008-08-22,2.9
2008-08-25,2.9
2008-08-26,2.8499999999999996
2008-08-27,2.8
2008-08-28,2.8499999999999996
2008-08-29,2.95
2008-09-01,2.9
2008-09-02,2.8499999999999996
2008-09-03,2.8
2008-09-04,2.8
2008-09-05,2.8
2008-09-08,2.8
2008-09-09,2.8
