Date,KTB
2008-01-02,9.45
2008-01-03,9.3
2008-01-04,9.15
2008-01-07,8.850000000000001
2008-01-08,8.8
2008-01-09,8.75
2008-01-10,8.75
2008-01-11,8.75
2008-01-14,8.649999999999999
2008-01-15,8.5
2008-01-16,8.2
2008-01-17,8.4
2008-01-18,8.350000000000001
2008-01-21,8.35
2008-01-22,7.800000000000001
2008-01-23,7.800000000000001
2008-01-24,7.75
2008-01-25,7.9
2008-01-28,7.85
2008-01-29,7.9
2008-01-30,8.2
2008-01-31,8.55
2008-02-01,9.100000000000001
2008-02-04,9.6
2008-02-05,9.5
2008-02-06,9.149999999999999
2008-02-07,9.399999999999999
2008-02-08,9.7
2008-02-11,9.7
2008-02-12,9.7
2008-02-13,9.95
2008-02-14,10.149999999999999
2008-02-15,9.95
2008-02-18,9.95
2008-02-19,9.95
2008-02-20,9.75
2008-02-22,9.7
2008-02-25,9.850000000000001
2008-02-26,9.8
2008-02-27,9.649999999999999
2008-02-28,9.7
2008-02-29,9.899999999999999
2008-03-03,10.0
2008-03-04,9.899999999999999
2008-03-05,9.85
2008-03-06,10.0
2008-03-07,9.8
2008-03-10,9.55
2008-03-11,9.65
2008-03-12,9.95
2008-03-13,9.65
2008-03-14,9.6
2008-03-17,9.4
2008-03-18,9.45
2008-03-19,9.5
2008-03-20,9.3
2008-03-21,9.45
2008-03-24,9.5
2008-03-25,9.5
2008-03-26,9.5
2008-03-27,9.45
2008-03-28,9.55
2008-03-31,9.55
2008-04-01,9.55
2008-04-02,9.75
2008-04-03,9.95
2008-04-04,10.149999999999999
2008-04-08,10.149999999999999
2008-04-09,10.1
2008-04-10,10.0
2008-04-11,9.95
2008-04-16,10.1
2008-04-17,10.3
2008-04-18,10.3
2008-04-21,10.3
2008-04-22,10.2
2008-04-23,9.9
2008-04-24,9.850000000000001
2008-04-25,9.850000000000001
2008-04-28,9.850000000000001
2008-04-29,9.850000000000001
2008-04-30,9.649999999999999
2008-05-02,9.8
2008-05-06,9.7
2008-05-07,9.45
2008-05-08,9.4
2008-05-09,9.350000000000001
2008-05-12,9.25
2008-05-13,9.3
2008-05-14,9.4
2008-05-15,9.350000000000001
2008-05-16,9.25
2008-05-20,9.05
2008-05-21,9.0
2008-05-22,8.95
2008-05-23,9.05
2008-05-26,9.0
2008-05-27,8.95
2008-05-28,8.8
2008-05-29,8.5
2008-05-30,8.4
2008-06-02,8.45
2008-06-03,8.45
2008-06-04,8.45
2008-06-05,8.5
2008-06-06,8.55
2008-06-09,8.3
2008-06-10,8.2
2008-06-11,8.1
2008-06-12,8.05
2008-06-13,8.05
2008-06-16,8.149999999999999
2008-06-17,8.149999999999999
2008-06-18,8.0
2008-06-19,7.95
2008-06-20,7.9
2008-06-23,7.95
2008-06-24,7.95
2008-06-25,8.05
2008-06-26,8.2
