Date,LH
2008-01-02,6.1
2008-01-03,6.0
2008-01-04,6.1
2008-01-07,5.95
2008-01-08,5.95
2008-01-09,5.975
2008-01-10,6.0
2008-01-11,5.9
2008-01-14,5.75
2008-01-15,5.6
2008-01-16,5.35
2008-01-17,5.65
2008-01-18,5.800000000000001
2008-01-21,5.9
2008-01-22,5.5
2008-01-23,5.55
2008-01-24,5.6
2008-01-25,5.5
2008-01-28,5.4
2008-01-29,5.575
2008-01-30,5.75
2008-01-31,5.8
2008-02-01,6.3
2008-02-04,6.8
2008-02-05,6.6
2008-02-06,6.25
2008-02-07,6.35
2008-02-08,6.45
2008-02-11,6.6
2008-02-12,6.8
2008-02-13,7.0
2008-02-14,7.05
2008-02-15,6.85
2008-02-18,6.95
2008-02-19,7.050000000000001
2008-02-20,6.95
2008-02-22,6.85
2008-02-25,7.1
2008-02-26,7.074999999999999
2008-02-27,7.05
2008-02-28,6.9
2008-02-29,6.95
2008-03-03,7.45
2008-03-04,7.75
2008-03-05,7.75
2008-03-06,7.75
2008-03-07,7.6
2008-03-10,7.3
2008-03-11,7.3
2008-03-12,7.699999999999999
2008-03-13,7.65
2008-03-14,7.6
2008-03-17,7.574999999999999
2008-03-18,7.55
2008-03-19,7.6
2008-03-20,7.45
2008-03-21,7.65
2008-03-24,7.85
2008-03-25,8.05
2008-03-26,8.149999999999999
2008-03-27,8.1
2008-03-28,8.05
2008-03-31,8.0
2008-04-01,8.025
2008-04-02,8.05
2008-04-03,8.075
2008-04-04,8.1
2008-04-08,7.9
2008-04-09,7.8
2008-04-10,7.7
2008-04-11,7.85
2008-04-16,7.95
2008-04-17,8.0
2008-04-18,7.9
2008-04-21,7.800000000000001
2008-04-22,7.7
2008-04-23,7.6
2008-04-24,7.35
2008-04-25,7.2
2008-04-28,7.25
2008-04-29,7.4
2008-04-30,7.45
2008-05-02,7.5
2008-05-06,7.45
2008-05-07,7.45
2008-05-08,7.475
2008-05-09,7.5
2008-05-12,7.45
2008-05-13,7.5
2008-05-14,7.5
2008-05-15,7.5
2008-05-16,7.55
2008-05-20,7.6
2008-05-21,7.35
2008-05-22,7.15
2008-05-23,7.300000000000001
2008-05-26,7.199999999999999
2008-05-27,7.15
2008-05-28,7.050000000000001
2008-05-29,6.75
2008-05-30,6.75
2008-06-02,6.4
2008-06-03,6.1
2008-06-04,6.175
2008-06-05,6.25
2008-06-06,6.5
2008-06-09,6.15
2008-06-10,6.05
2008-06-11,6.05
2008-06-12,6.05
2008-06-13,5.9
2008-06-16,5.8
2008-06-17,5.95
2008-06-18,5.95
