Date,ROBINS
2008-01-02,11.05
2008-01-03,11.149999999999999
2008-01-04,11.25
2008-01-07,11.149999999999999
2008-01-08,11.1
2008-01-09,11.1
2008-01-10,11.1
2008-01-11,11.0
2008-01-14,10.95
2008-01-15,11.05
2008-01-16,11.05
2008-01-17,11.1
2008-01-18,11.0
2008-01-21,11.0
2008-01-22,10.95
2008-01-23,10.95
2008-01-24,10.9
2008-01-25,10.9
2008-01-28,10.9
2008-01-29,10.9
2008-01-30,10.9
2008-01-31,10.95
2008-02-01,10.95
2008-02-04,11.0
2008-02-05,10.95
2008-02-06,10.95
2008-02-07,10.9
2008-02-08,10.95
2008-02-11,10.9
2008-02-12,10.9
2008-02-13,10.9
2008-02-14,10.850000000000001
2008-02-15,10.75
2008-02-18,10.75
2008-02-19,10.850000000000001
2008-02-20,10.850000000000001
2008-02-22,10.850000000000001
2008-02-25,10.9
2008-02-26,10.95
2008-02-27,10.95
2008-02-28,11.1
2008-02-29,11.2
2008-03-03,11.149999999999999
2008-03-04,11.3
2008-03-05,11.600000000000001
2008-03-06,11.8
2008-03-07,11.75
2008-03-10,11.75
2008-03-11,11.7
2008-03-12,11.7
2008-03-13,11.649999999999999
2008-03-14,11.75
2008-03-17,11.75
2008-03-18,11.75
2008-03-19,11.8
2008-03-20,11.75
2008-03-21,11.75
2008-03-24,11.75
2008-03-25,11.75
2008-03-26,11.9
2008-03-27,11.8
2008-03-28,11.850000000000001
2008-03-31,11.850000000000001
2008-04-01,11.850000000000001
2008-04-02,11.8
2008-04-03,11.8
2008-04-04,11.8
2008-04-08,11.850000000000001
2008-04-09,11.75
2008-04-10,11.75
2008-04-11,11.7
2008-04-16,11.7
2008-04-17,11.7
2008-04-18,11.75
2008-04-21,11.75
2008-04-22,11.7
2008-04-23,11.7
2008-04-24,11.649999999999999
2008-04-25,11.6
2008-04-28,11.5
2008-04-29,11.45
2008-04-30,11.15
2008-05-02,10.5
2008-05-06,10.350000000000001
2008-05-07,10.4
2008-05-08,10.5
2008-05-09,10.75
2008-05-12,10.850000000000001
2008-05-13,10.9
2008-05-14,10.649999999999999
2008-05-15,10.6
2008-05-16,10.350000000000001
2008-05-20,10.45
2008-05-21,10.649999999999999
2008-05-22,10.6
2008-05-23,10.8
2008-05-26,10.8
2008-05-27,10.95
2008-05-28,11.3
2008-05-29,11.55
2008-05-30,11.75
2008-06-02,12.05
2008-06-03,11.95
2008-06-04,11.9
2008-06-05,11.9
2008-06-06,11.65
2008-06-09,11.5
2008-06-10,11.55
2008-06-11,11.4
2008-06-12,11.1
2008-06-13,10.850000000000001
2008-06-16,10.55
2008-06-17,10.4
2008-06-18,10.350000000000001
2008-06-19,10.3
2008-06-20,10.3
2008-06-23,10.2
2008-06-24,10.149999999999999
2008-06-25,10.2
2008-06-26,10.149999999999999
2008-06-27,9.8
2008-06-30,9.3
2008-07-02,9.149999999999999
2008-07-03,9.1
2008-07-04,9.149999999999999
2008-07-07,9.05
2008-07-08,9.0
2008-07-09,9.05
2008-07-10,9.0
2008-07-11,9.0
2008-07-14,8.95
2008-07-15,8.9
2008-07-16,8.75
2008-07-18,8.6
2008-07-21,8.6
2008-07-22,8.35
2008-07-23,8.2
2008-07-24,8.2
2008-07-25,8.45
2008-07-28,8.7
2008-07-29,8.5
2008-07-30,8.4
2008-07-31,8.55
2008-08-01,8.75
2008-08-04,8.6
2008-08-05,8.5
2008-08-06,8.7
2008-08-07,8.8
2008-08-08,8.9
2008-08-11,9.1
2008-08-13,9.1
2008-08-14,9.45
2008-08-15,9.6
2008-08-18,9.6
2008-08-19,9.45
2008-08-20,9.5
2008-08-21,9.55
2008-08-22,9.45
2008-08-25,9.55
2008-08-26,9.5
2008-08-27,9.6
2008-08-28,9.6
2008-08-29,9.899999999999999
2008-09-01,10.05
2008-09-02,10.0
2008-09-03,9.95
2008-09-04,9.9
2008-09-05,9.9
2008-09-08,10.15
2008-09-09,10.25
2008-09-10,10.05
2008-09-11,10.1
2008-09-12,10.05
2008-09-15,10.05
2008-09-16,10.05
2008-09-17,10.0
2008-09-18,9.75
2008-09-19,9.55
2008-09-22,9.45
2008-09-23,9.0
2008-09-24,8.7
2008-09-25,8.45
2008-09-26,8.2
2008-09-29,8.2
2008-09-30,8.2
2008-10-01,8.1
2008-10-02,8.149999999999999
2008-10-03,7.9
2008-10-06,7.65
2008-10-07,7.050000000000001
2008-10-08,6.7
2008-10-09,6.7
2008-10-10,6.15
2008-10-13,5.8
