Date,TISCO
2008-01-02,27.549999999999997
2008-01-03,27.049999999999997
2008-01-04,26.25
2008-01-07,25.4
2008-01-08,25.4
2008-01-09,25.05
2008-01-10,24.85
2008-01-11,25.05
2008-01-14,25.05
2008-01-15,24.950000000000003
2008-01-16,24.700000000000003
2008-01-17,25.15
2008-01-18,25.450000000000003
2008-01-21,25.8
2008-01-22,24.950000000000003
2008-01-23,24.85
2008-01-24,24.700000000000003
2008-01-25,25.15
2008-01-28,25.65
2008-01-29,25.65
2008-01-30,25.75
2008-01-31,26.0
2008-02-01,26.9
2008-02-04,27.15
2008-02-05,27.049999999999997
2008-02-06,26.799999999999997
2008-02-07,26.799999999999997
2008-02-08,26.9
2008-02-11,27.049999999999997
2008-02-12,27.5
2008-02-13,28.1
2008-02-14,28.15
2008-02-15,27.15
2008-02-18,27.549999999999997
2008-02-19,27.7
2008-02-20,27.65
2008-02-22,27.75
2008-02-25,28.25
2008-02-26,28.4
2008-02-27,27.9
2008-02-28,27.65
2008-02-29,27.9
2008-03-03,28.15
2008-03-04,28.1
2008-03-05,27.75
2008-03-06,27.799999999999997
2008-03-07,27.799999999999997
2008-03-10,27.45
2008-03-11,27.2
2008-03-12,27.299999999999997
2008-03-13,26.7
2008-03-14,26.2
2008-03-17,25.65
2008-03-18,26.0
2008-03-19,26.0
2008-03-20,25.8
2008-03-21,26.0
2008-03-24,26.6
2008-03-25,27.299999999999997
2008-03-26,27.299999999999997
2008-03-27,27.049999999999997
2008-03-28,27.549999999999997
2008-03-31,27.549999999999997
2008-04-01,27.9
2008-04-02,28.4
2008-04-03,28.15
2008-04-04,28.25
2008-04-08,28.4
2008-04-09,28.5
2008-04-10,28.25
2008-04-11,28.25
2008-04-16,28.4
2008-04-17,28.700000000000003
2008-04-18,28.6
2008-04-21,28.8
2008-04-22,28.8
2008-04-23,28.700000000000003
2008-04-24,28.700000000000003
2008-04-25,28.8
2008-04-28,28.8
2008-04-29,28.950000000000003
2008-04-30,27.049999999999997
2008-05-02,26.95
2008-05-06,26.799999999999997
2008-05-07,26.9
2008-05-08,26.7
2008-05-09,26.5
2008-05-12,26.0
2008-05-13,25.65
2008-05-14,25.5
2008-05-15,25.9
2008-05-16,26.549999999999997
2008-05-20,26.7
2008-05-21,26.35
2008-05-22,26.35
2008-05-23,26.35
2008-05-26,25.4
2008-05-27,24.8
2008-05-28,24.200000000000003
2008-05-29,23.0
2008-05-30,22.75
2008-06-02,21.950000000000003
2008-06-03,21.15
2008-06-04,21.0
2008-06-05,20.65
2008-06-06,21.25
2008-06-09,21.25
2008-06-10,21.4
2008-06-11,21.5
2008-06-12,21.25
2008-06-13,20.95
2008-06-16,20.7
2008-06-17,20.1
2008-06-18,19.45
2008-06-19,19.6
2008-06-20,19.35
2008-06-23,19.299999999999997
2008-06-24,19.85
2008-06-25,20.3
2008-06-26,20.15
2008-06-27,19.6
2008-06-30,19.2
2008-07-02,18.7
2008-07-03,18.15
2008-07-04,17.950000000000003
2008-07-07,17.55
2008-07-08,17.200000000000003
2008-07-09,17.4
2008-07-10,17.55
2008-07-11,17.9
2008-07-14,17.7
2008-07-15,17.15
2008-07-16,17.05
2008-07-18,17.1
2008-07-21,16.9
2008-07-22,17.049999999999997
2008-07-23,17.5
2008-07-24,17.35
2008-07-25,17.05
2008-07-28,17.0
2008-07-29,16.85
2008-07-30,16.8
2008-07-31,16.65
2008-08-01,16.6
2008-08-04,16.65
2008-08-05,16.7
2008-08-06,17.1
2008-08-07,17.8
2008-08-08,17.8
2008-08-11,18.55
2008-08-13,18.799999999999997
2008-08-14,19.05
2008-08-15,19.25
2008-08-18,19.1
2008-08-19,18.45
2008-08-20,18.1
2008-08-21,17.9
2008-08-22,17.65
2008-08-25,17.5
2008-08-26,16.95
2008-08-27,17.0
2008-08-28,17.15
2008-08-29,17.200000000000003
2008-09-01,16.9
2008-09-02,16.8
2008-09-03,17.05
2008-09-04,16.95
2008-09-05,16.9
2008-09-08,17.35
2008-09-09,17.25
2008-09-10,16.75
2008-09-11,16.2
2008-09-12,16.25
2008-09-15,16.15
2008-09-16,15.4
2008-09-17,15.3
2008-09-18,14.45
2008-09-19,15.35
2008-09-22,15.399999999999999
2008-09-23,14.8
2008-09-24,15.0
2008-09-25,15.05
2008-09-26,15.0
2008-09-29,14.85
2008-09-30,14.3
2008-10-01,14.649999999999999
2008-10-02,14.6
2008-10-03,14.350000000000001
2008-10-06,13.5
2008-10-07,12.25
2008-10-08,11.600000000000001
2008-10-09,11.55
2008-10-10,10.3
2008-10-13,10.2
2008-10-14,11.25
2008-10-15,11.25
2008-10-16,10.5
2008-10-17,10.35
2008-10-20,10.350000000000001
2008-10-21,10.5
2008-10-22,10.2
2008-10-24,9.5
2008-10-27,8.8
2008-10-28,8.3
2008-10-29,8.05
2008-10-30,8.399999999999999
2008-10-31,8.350000000000001
2008-11-03,8.75
2008-11-04,9.350000000000001
2008-11-05,10.2
2008-11-06,9.65
2008-11-07,9.95
2008-11-10,10.15
2008-11-11,9.600000000000001
2008-11-12,9.2
2008-11-13,8.850000000000001
2008-11-14,8.8
2008-11-17,8.649999999999999
2008-11-18,8.45
2008-11-19,8.100000000000001
2008-11-20,7.65
2008-11-21,7.449999999999999
2008-11-24,7.5
2008-11-25,7.2
2008-11-26,6.85
2008-11-27,6.9
2008-11-28,6.85
2008-12-01,6.800000000000001
2008-12-02,6.55
2008-12-03,6.550000000000001
2008-12-04,6.45
2008-12-08,6.5
2008-12-09,6.9
2008-12-11,6.9
2008-12-12,6.9
2008-12-15,7.2
2008-12-16,7.300000000000001
2008-12-17,7.5
2008-12-18,7.75
2008-12-19,8.25
2008-12-22,8.649999999999999
2008-12-23,8.55
2008-12-24,8.45
2008-12-25,8.4
2008-12-26,8.4
2008-12-29,8.4
2008-12-30,8.350000000000001
2009-01-02,8.3
2009-01-05,8.65
2009-01-06,8.7
2009-01-07,8.45
2009-01-08,7.699999999999999
2009-01-09,7.45
2009-01-12,7.45
2009-01-13,7.45
2009-01-14,7.45
2009-01-15,8.149999999999999
2009-01-16,8.5
2009-01-19,9.05
2009-01-20,8.9
2009-01-21,8.95
2009-01-22,9.2
2009-01-23,9.05
2009-01-26,8.95
2009-01-27,9.1
2009-01-28,9.2
2009-01-29,9.2
2009-01-30,9.149999999999999
2009-02-02,9.05
2009-02-03,9.1
2009-02-04,9.25
2009-02-05,9.2
2009-02-06,9.149999999999999
2009-02-10,9.25
2009-02-11,9.2
2009-02-12,9.2
2009-02-13,9.2
2009-02-16,9.2
2009-02-17,9.1
2009-02-18,9.0
2009-02-19,9.05
2009-02-20,9.05
2009-02-23,9.05
2009-02-24,9.1
2009-02-25,9.2
2009-02-26,9.4
2009-02-27,9.6
2009-03-02,9.55
2009-03-03,9.3
2009-03-04,9.45
2009-03-05,9.5
2009-03-06,9.5
2009-03-09,9.45
2009-03-10,9.5
2009-03-11,9.35
2009-03-12,9.2
2009-03-13,9.350000000000001
2009-03-16,9.45
2009-03-17,9.45
2009-03-18,9.5
2009-03-19,9.5
2009-03-20,9.45
2009-03-23,9.5
2009-03-24,9.55
2009-03-25,9.55
2009-03-26,9.55
2009-03-27,9.75
2009-03-30,9.7
2009-03-31,9.85
2009-04-01,10.25
2009-04-02,10.8
2009-04-03,11.0
2009-04-07,11.2
2009-04-08,11.2
2009-04-09,11.25
2009-04-10,11.600000000000001
2009-04-16,12.100000000000001
2009-04-17,12.75
2009-04-20,12.649999999999999
