Date,TRUE
2008-01-02,3.3499999999999996
2008-01-03,3.3499999999999996
2008-01-04,3.3499999999999996
2008-01-07,3.3
2008-01-08,3.3
2008-01-09,3.4
2008-01-10,3.5
2008-01-11,3.6
2008-01-14,3.6500000000000004
2008-01-15,3.6
2008-01-16,3.3499999999999996
2008-01-17,3.4
2008-01-18,3.25
2008-01-21,3.2
2008-01-22,2.95
2008-01-23,3.0
2008-01-24,3.0
2008-01-25,3.1
2008-01-28,3.1
2008-01-29,3.1
2008-01-30,3.05
2008-01-31,3.1
2008-02-01,3.3499999999999996
2008-02-04,3.45
2008-02-05,3.4
2008-02-06,3.3
2008-02-07,3.3
2008-02-08,3.3499999999999996
2008-02-11,3.4
2008-02-12,3.5
2008-02-13,3.55
2008-02-14,3.55
2008-02-15,3.5
2008-02-18,3.5
2008-02-19,3.5
2008-02-20,3.5
2008-02-22,3.3
2008-02-25,3.3
2008-02-26,3.2
2008-02-27,3.1500000000000004
2008-02-28,3.1500000000000004
2008-02-29,3.2
2008-03-03,3.2
2008-03-04,3.2
2008-03-05,3.2
2008-03-06,3.1500000000000004
2008-03-07,3.1
2008-03-10,3.0
2008-03-11,3.0
2008-03-12,3.0
2008-03-13,2.95
2008-03-14,3.0
2008-03-17,2.9
2008-03-18,3.0
2008-03-19,2.95
2008-03-20,2.9
2008-03-21,3.0
2008-03-24,3.0
2008-03-25,3.0
2008-03-26,3.05
2008-03-27,3.05
2008-03-28,3.05
2008-03-31,3.0
2008-04-01,3.0
2008-04-02,3.0
2008-04-03,3.0
2008-04-04,3.0
2008-04-08,3.0
2008-04-09,3.1
2008-04-10,3.1
2008-04-11,3.1
2008-04-16,3.05
2008-04-17,3.1
2008-04-18,3.05
2008-04-21,3.05
2008-04-22,3.0
2008-04-23,3.0
2008-04-24,2.95
2008-04-25,2.95
2008-04-28,2.9
2008-04-29,2.9
2008-04-30,2.9
2008-05-02,2.9
2008-05-06,2.9
2008-05-07,2.9
2008-05-08,2.9
2008-05-09,2.9
2008-05-12,2.9
2008-05-13,2.8499999999999996
2008-05-14,2.8499999999999996
2008-05-15,2.9
2008-05-16,3.0
2008-05-20,3.0
2008-05-21,3.0
2008-05-22,2.95
2008-05-23,2.9
2008-05-26,2.8499999999999996
2008-05-27,2.8499999999999996
2008-05-28,2.7
2008-05-29,2.5
2008-05-30,2.4
2008-06-02,2.4
2008-06-03,2.4
2008-06-04,2.45
2008-06-05,2.45
2008-06-06,2.5
2008-06-09,2.45
2008-06-10,2.4
2008-06-11,2.3499999999999996
2008-06-12,2.3
2008-06-13,2.25
2008-06-16,2.25
2008-06-17,2.2
2008-06-18,2.2
2008-06-19,2.2
2008-06-20,2.25
2008-06-23,2.3499999999999996
2008-06-24,2.4
2008-06-25,2.4
2008-06-26,2.4
2008-06-27,2.3499999999999996
2008-06-30,2.4
2008-07-02,2.3499999999999996
2008-07-03,2.3
2008-07-04,2.3
2008-07-07,2.25
2008-07-08,2.25
2008-07-09,2.2
2008-07-10,2.2
2008-07-11,2.1500000000000004
2008-07-14,2.1
2008-07-15,2.0
2008-07-16,1.95
2008-07-18,1.85
2008-07-21,1.85
2008-07-22,1.85
2008-07-23,1.9
2008-07-24,1.9
2008-07-25,1.9
2008-07-28,1.9
2008-07-29,1.85
2008-07-30,1.85
2008-07-31,1.8
2008-08-01,1.8
2008-08-04,1.65
2008-08-05,1.6
2008-08-06,1.65
2008-08-07,1.65
2008-08-08,1.7
2008-08-11,1.75
2008-08-13,1.8
2008-08-14,1.8
2008-08-15,1.75
2008-08-18,1.7
2008-08-19,1.6
2008-08-20,1.55
2008-08-21,1.55
2008-08-22,1.5
2008-08-25,1.45
2008-08-26,1.4
2008-08-27,1.45
2008-08-28,1.5
2008-08-29,1.55
2008-09-01,1.55
2008-09-02,1.55
2008-09-03,1.6
2008-09-04,1.65
2008-09-05,1.6
2008-09-08,1.65
2008-09-09,1.6
2008-09-10,1.6
2008-09-11,1.6
2008-09-12,1.6
2008-09-15,1.6
2008-09-16,1.55
2008-09-17,1.6
2008-09-18,1.6
2008-09-19,1.6
2008-09-22,1.55
2008-09-23,1.55
2008-09-24,1.6
2008-09-25,1.6
2008-09-26,1.6
2008-09-29,1.65
2008-09-30,1.7000000000000002
2008-10-01,1.9500000000000002
2008-10-02,1.9500000000000002
2008-10-03,1.8
2008-10-06,1.75
2008-10-07,1.6
2008-10-08,1.45
2008-10-09,1.45
2008-10-10,1.35
2008-10-13,1.45
2008-10-14,1.6
2008-10-15,1.5
2008-10-16,1.45
2008-10-17,1.5
2008-10-20,1.55
2008-10-21,1.6
2008-10-22,1.6
2008-10-24,1.5
2008-10-27,1.2999999999999998
2008-10-28,1.15
2008-10-29,1.0
2008-10-30,0.95
2008-10-31,1.0
2008-11-03,1.15
2008-11-04,1.2
2008-11-05,1.1
2008-11-06,0.95
2008-11-07,1.0
2008-11-10,1.0
2008-11-11,0.95
2008-11-12,0.9
2008-11-13,0.9
2008-11-14,0.8500000000000001
2008-11-17,0.8
2008-11-18,0.75
2008-11-19,0.75
2008-11-20,0.7
2008-11-21,0.7
2008-11-24,0.7
2008-11-25,0.7
2008-11-26,0.7
2008-11-27,0.7
2008-11-28,0.7
2008-12-01,0.7
2008-12-02,0.7
2008-12-03,0.7
2008-12-04,0.7
2008-12-08,0.7
2008-12-09,0.75
2008-12-11,0.8
2008-12-12,0.8
2008-12-15,0.8
2008-12-16,0.8
2008-12-17,0.8500000000000001
2008-12-18,0.9
2008-12-19,0.9
2008-12-22,0.8500000000000001
2008-12-23,0.8
2008-12-24,0.95
2008-12-25,1.05
2008-12-26,1.1
2008-12-29,1.1
2008-12-30,1.1
2009-01-02,1.1
2009-01-05,1.1
2009-01-06,1.05
2009-01-07,1.05
2009-01-08,1.1
2009-01-09,1.1
2009-01-12,1.1
2009-01-13,1.1
2009-01-14,1.1
2009-01-15,1.05
2009-01-16,1.1
2009-01-19,1.1
2009-01-20,1.15
2009-01-21,1.15
2009-01-22,1.1
2009-01-23,1.1
2009-01-26,1.1
2009-01-27,1.1
2009-01-28,1.1
2009-01-29,1.1
2009-01-30,1.1
2009-02-02,1.1
2009-02-03,1.1
2009-02-04,1.1
2009-02-05,1.1
2009-02-06,1.1
2009-02-10,1.1
2009-02-11,1.1
2009-02-12,1.1
2009-02-13,1.1
2009-02-16,1.1
2009-02-17,1.1
2009-02-18,1.1
2009-02-19,1.1
2009-02-20,1.1
2009-02-23,1.05
2009-02-24,0.95
2009-02-25,0.9
2009-02-26,0.9
2009-02-27,0.9
2009-03-02,0.8500000000000001
2009-03-03,0.8
2009-03-04,0.8
2009-03-05,0.8
2009-03-06,0.8
2009-03-09,0.8
2009-03-10,0.8
2009-03-11,0.8
2009-03-12,0.8500000000000001
2009-03-13,0.9
2009-03-16,0.8500000000000001
2009-03-17,0.8
2009-03-18,0.8500000000000001
2009-03-19,0.8
2009-03-20,0.8
2009-03-23,0.8
2009-03-24,0.8
2009-03-25,0.8
2009-03-26,0.8
2009-03-27,0.8
2009-03-30,0.8
2009-03-31,0.8
2009-04-01,0.8
2009-04-02,0.8
2009-04-03,0.8
2009-04-07,0.8
2009-04-08,0.8
2009-04-09,0.8
2009-04-10,0.8
2009-04-16,0.8
2009-04-17,0.8
2009-04-20,0.8500000000000001
2009-04-21,0.9
