Date,TU
2008-01-02,5.25
2008-01-03,5.1
2008-01-04,5.2
2008-01-07,5.1
2008-01-08,5.0
2008-01-09,4.9
2008-01-10,4.95
2008-01-11,5.0
2008-01-14,5.0
2008-01-15,5.0
2008-01-16,4.9
2008-01-17,4.9
2008-01-18,4.9
2008-01-21,4.8
2008-01-22,4.8
2008-01-23,4.75
2008-01-24,4.75
2008-01-25,4.8
2008-01-28,4.75
2008-01-29,4.7
2008-01-30,4.7
2008-01-31,4.7
2008-02-01,4.7
2008-02-04,4.75
2008-02-05,4.8
2008-02-06,4.75
2008-02-07,4.7
2008-02-08,4.75
2008-02-11,4.75
2008-02-12,4.7
2008-02-13,4.7
2008-02-14,4.65
2008-02-15,4.6
2008-02-18,4.6
2008-02-19,4.6
2008-02-20,4.6
2008-02-22,4.6
2008-02-25,4.6
2008-02-26,4.6
2008-02-27,4.65
2008-02-28,4.75
2008-02-29,4.8
2008-03-03,4.65
2008-03-04,4.6
2008-03-05,4.6
2008-03-06,4.6
2008-03-07,4.5
2008-03-10,4.5
2008-03-11,4.6
2008-03-12,4.6
2008-03-13,4.55
2008-03-14,4.55
2008-03-17,4.55
2008-03-18,4.6
2008-03-19,4.6
2008-03-20,4.55
2008-03-21,4.55
2008-03-24,4.55
2008-03-25,4.6
2008-03-26,4.55
2008-03-27,4.6
2008-03-28,4.6
2008-03-31,4.65
2008-04-01,4.6
2008-04-02,4.6
2008-04-03,4.55
2008-04-04,4.5
2008-04-08,4.45
2008-04-09,4.4
2008-04-10,4.5
2008-04-11,4.5
2008-04-16,4.5
2008-04-17,4.5
2008-04-18,4.5
2008-04-21,4.55
2008-04-22,4.55
2008-04-23,4.55
2008-04-24,4.5
2008-04-25,4.5
2008-04-28,4.5
2008-04-29,4.55
2008-04-30,4.5
2008-05-02,4.5
2008-05-06,4.5
2008-05-07,4.5
2008-05-08,4.5
2008-05-09,4.45
2008-05-12,4.35
2008-05-13,4.3
2008-05-14,4.3
2008-05-15,4.3
2008-05-16,4.3
2008-05-20,4.3
2008-05-21,4.3
2008-05-22,4.3
2008-05-23,4.35
2008-05-26,4.35
2008-05-27,4.3
2008-05-28,4.3
2008-05-29,4.25
2008-05-30,4.3
2008-06-02,4.3
2008-06-03,4.25
2008-06-04,4.2
2008-06-05,4.2
2008-06-06,4.2
2008-06-09,4.2
2008-06-10,4.2
2008-06-11,4.2
2008-06-12,4.1
2008-06-13,4.0
2008-06-16,4.05
2008-06-17,4.05
2008-06-18,4.05
2008-06-19,3.95
2008-06-20,3.95
2008-06-23,3.95
2008-06-24,3.9
2008-06-25,3.9
2008-06-26,3.9
2008-06-27,3.9
2008-06-30,3.9
2008-07-02,3.9
2008-07-03,3.8499999999999996
2008-07-04,3.9
2008-07-07,3.9
2008-07-08,3.8499999999999996
2008-07-09,3.8
2008-07-10,3.8
2008-07-11,3.9
2008-07-14,3.8
2008-07-15,3.75
2008-07-16,3.7
2008-07-18,3.7
2008-07-21,3.8499999999999996
2008-07-22,3.9
2008-07-23,3.9
2008-07-24,3.8
2008-07-25,3.7
2008-07-28,3.75
2008-07-29,3.7
2008-07-30,3.7
2008-07-31,3.7
2008-08-01,3.7
2008-08-04,3.7
2008-08-05,3.8
2008-08-06,3.9
2008-08-07,3.95
2008-08-08,3.95
2008-08-11,4.0
2008-08-13,4.1
2008-08-14,4.25
2008-08-15,4.2
2008-08-18,4.2
2008-08-19,4.2
2008-08-20,4.1
2008-08-21,4.2
2008-08-22,4.15
2008-08-25,4.1
2008-08-26,4.05
2008-08-27,4.15
2008-08-28,4.25
2008-08-29,4.35
2008-09-01,4.3
2008-09-02,4.35
2008-09-03,4.5
2008-09-04,4.65
2008-09-05,4.7
2008-09-08,4.85
2008-09-09,5.050000000000001
2008-09-10,5.05
2008-09-11,5.1
2008-09-12,5.05
2008-09-15,4.9
2008-09-16,4.65
2008-09-17,4.699999999999999
2008-09-18,4.75
2008-09-19,4.8
2008-09-22,4.7
2008-09-23,4.5
2008-09-24,4.45
2008-09-25,4.55
2008-09-26,4.6
2008-09-29,4.55
2008-09-30,4.55
2008-10-01,4.699999999999999
2008-10-02,4.75
2008-10-03,4.7
2008-10-06,4.6
2008-10-07,4.5
2008-10-08,4.4
2008-10-09,4.4
2008-10-10,4.3
2008-10-13,4.3
2008-10-14,4.35
2008-10-15,4.25
2008-10-16,4.15
2008-10-17,4.25
2008-10-20,4.3
2008-10-21,4.35
2008-10-22,4.25
2008-10-24,4.15
2008-10-27,3.8499999999999996
2008-10-28,3.9
2008-10-29,3.9
2008-10-30,3.9
2008-10-31,3.9
2008-11-03,3.95
2008-11-04,4.0
2008-11-05,4.15
