Date,Open,High,Low,Close,Adj Close,Volume
2003-10-14,3.0,3.1,2.775,2.8,0.150192,46761900.0
2003-10-15,2.85,2.9,2.825,2.85,0.152874,1126730000.0
2003-10-16,2.875,2.9,2.85,2.85,0.152874,661310000.0
2003-10-17,2.85,3.0,2.85,2.95,0.158238,971240000.0
2003-10-20,2.975,3.0,2.9,2.9,0.155556,228750000.0
2003-10-21,2.925,2.95,2.875,2.9,0.155556,305140000.0
2003-10-22,2.925,2.95,2.85,2.875,0.154215,113370000.0
2003-10-23,2.875,2.875,2.875,2.875,0.154215,0.0
2003-10-24,2.875,2.925,2.825,2.825,0.151533,349470000.0
2003-10-27,2.85,2.85,2.725,2.725,0.146169,318130000.0
2003-10-28,2.75,2.75,2.575,2.6,0.139464,402020000.0
2003-10-29,2.625,2.775,2.625,2.75,0.14751,207330000.0
2003-10-30,2.75,2.75,2.65,2.725,0.146169,152990000.0
2003-10-31,2.7,2.725,2.65,2.7,0.144828,90440000.0
2003-11-03,2.7,2.825,2.7,2.75,0.14751,199810000.0
2003-11-04,2.75,2.9,2.75,2.8,0.150192,345640000.0
2003-11-05,2.825,2.85,2.8,2.825,0.151533,163580000.0
2003-11-06,2.8,2.825,2.75,2.75,0.14751,183510000.0
2003-11-07,2.75,2.775,2.75,2.75,0.14751,74600000.0
2003-11-10,2.75,2.8,2.725,2.8,0.150192,116190000.0
2003-11-11,2.775,2.8,2.75,2.775,0.148851,150510000.0
2003-11-12,2.775,2.775,2.7,2.725,0.146169,129310000.0
2003-11-13,2.75,2.75,2.675,2.725,0.146169,150020000.0
2003-11-14,2.825,2.825,2.75,2.75,0.14751,172460000.0
2003-11-17,2.75,2.8,2.7,2.7,0.144828,88990000.0
2003-11-18,2.7,2.725,2.675,2.675,0.143487,41910000.0
2003-11-19,2.675,2.725,2.6,2.625,0.140805,187050000.0
2003-11-20,2.675,2.725,2.6,2.675,0.143487,135530000.0
2003-11-21,2.675,2.675,2.55,2.6,0.139464,170890000.0
2003-11-24,2.65,2.65,2.6,2.6,0.139464,64660000.0
2003-11-25,2.625,2.65,2.575,2.65,0.142146,100220000.0
2003-11-26,2.65,2.65,2.6,2.65,0.142146,89730000.0
2003-11-27,2.65,2.675,2.625,2.675,0.143487,31490000.0
2003-11-28,2.675,2.775,2.625,2.775,0.148851,184100000.0
2003-12-01,2.8,2.8,2.6,2.6,0.139464,108680000.0
2003-12-02,2.625,2.7,2.625,2.675,0.143487,100260000.0
2003-12-03,2.675,2.7,2.65,2.65,0.142146,49870000.0
2003-12-04,2.675,2.85,2.675,2.775,0.148851,267620000.0
2003-12-05,2.775,2.775,2.775,2.775,0.148851,0.0
2003-12-08,2.8,2.8,2.65,2.7,0.144828,37170000.0
2003-12-09,2.7,2.7,2.65,2.65,0.142146,61360000.0
2003-12-10,2.65,2.65,2.65,2.65,0.142146,0.0
2003-12-11,2.675,2.7,2.625,2.625,0.140805,30050000.0
2003-12-12,2.65,2.7,2.65,2.65,0.142146,79940000.0
2003-12-15,2.7,2.725,2.675,2.725,0.146169,88650000.0
2003-12-16,2.7,2.825,2.675,2.825,0.151533,358220000.0
2003-12-17,2.8,2.825,2.725,2.75,0.14751,150760000.0
2003-12-18,2.75,2.75,2.725,2.725,0.146169,43040000.0
2003-12-19,2.725,2.75,2.725,2.725,0.146169,119910000.0
2003-12-22,2.725,2.825,2.725,2.8,0.150192,210740000.0
2003-12-23,2.8,3.025,2.75,3.0,0.16092,567660000.0
2003-12-24,2.975,3.0,2.875,2.95,0.158238,264230000.0
2003-12-25,2.9,2.925,2.775,2.775,0.148851,79880000.0
2003-12-26,2.775,2.875,2.775,2.85,0.152874,27400000.0
2003-12-29,2.85,2.9,2.8,2.825,0.151533,119380000.0
2003-12-30,2.85,2.925,2.8,2.8,0.150192,163310000.0
2003-12-31,2.825,2.85,2.8,2.8,0.150192,62080000.0
2004-01-01,2.8,2.8,2.8,2.8,0.150192,0.0
2004-01-02,2.8,2.8,2.8,2.8,0.150192,0.0
2004-01-05,2.825,3.0,2.825,2.95,0.158238,171550000.0
2004-01-06,2.975,2.975,2.85,2.875,0.154215,86390000.0
2004-01-07,2.875,2.9,2.825,2.85,0.152874,100310000.0
2004-01-08,2.85,2.925,2.85,2.9,0.155556,136060000.0
2004-01-09,2.9,2.95,2.875,2.9,0.155556,305850000.0
2004-01-12,2.925,2.925,2.875,2.9,0.155556,181520000.0
2004-01-13,2.9,2.925,2.775,2.825,0.151533,308850000.0
2004-01-14,2.825,2.825,2.75,2.775,0.148851,140760000.0
