Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,5.54,6.02,5.54,5.81,-0.180638,151906100.0
2000-01-05,5.54,5.65,5.54,5.54,-0.172244,65416260.0
2000-01-06,5.6,5.65,5.44,5.6,-0.174109,64083920.0
2000-01-07,5.65,5.65,5.54,5.6,-0.174109,27979250.0
2000-01-10,5.7,5.7,5.65,5.7,-0.177218,12760490.0
2000-01-11,5.7,5.86,5.54,5.6,-0.174109,39782700.0
2000-01-12,5.54,5.6,5.49,5.49,-0.170689,17301720.0
2000-01-13,5.65,5.7,5.6,5.6,-0.174109,16063200.0
2000-01-14,5.7,5.81,5.6,5.7,-0.177218,39613810.0
2000-01-17,5.86,5.86,5.76,5.76,-0.179084,39107140.0
2000-01-18,5.76,5.97,5.76,5.97,-0.185613,45374790.0
2000-01-19,5.97,6.23,5.92,6.13,-0.190587,57384660.0
2000-01-20,6.13,6.5,6.13,6.34,-0.197116,134322900.0
2000-01-21,6.34,6.61,6.13,6.34,-0.197116,146163880.0
2000-01-24,6.5,6.77,6.5,6.77,-0.210485,62939230.0
2000-01-25,6.66,7.14,6.55,7.09,-0.220434,105668100.0
2000-01-26,7.14,7.25,6.77,6.77,-0.210485,50310100.0
2000-01-27,6.82,6.98,6.77,6.87,-0.213594,35860720.0
2000-01-28,6.87,6.87,6.77,6.82,-0.21204,43460720.0
2000-01-31,6.82,6.93,6.71,6.77,-0.210485,37662200.0
2000-02-01,6.93,6.98,6.5,6.55,-0.203645,75624650.0
2000-02-02,6.71,6.87,6.66,6.82,-0.21204,58698240.0
2000-02-03,6.77,7.03,6.77,6.93,-0.21546,43423190.0
2000-02-04,6.93,6.98,6.71,6.71,-0.20862,31244430.0
2000-02-07,6.82,6.93,6.82,6.93,-0.21546,7975300.0
2000-02-08,6.87,6.87,6.71,6.71,-0.20862,19009370.0
2000-02-09,6.77,6.82,6.66,6.71,-0.20862,19835050.0
2000-02-10,6.66,6.93,6.61,6.87,-0.213594,39519980.0
2000-02-11,7.03,7.73,6.98,7.51,-0.233493,169245350.0
2000-02-14,7.67,8.05,7.51,7.94,-0.246862,189624600.0
2000-02-15,7.94,7.94,7.57,7.73,-0.240333,73035030.0
2000-02-16,7.73,7.73,7.19,7.19,-0.223543,67349100.0
2000-02-17,7.25,7.51,7.03,7.14,-0.221989,121355990.0
2000-02-18,7.03,7.25,7.03,7.25,-0.225409,32839490.0
2000-02-21,7.25,7.25,7.25,7.25,-0.225409,0.0
2000-02-22,7.19,7.57,6.77,6.77,-0.210485,62507620.0
2000-02-23,6.93,7.25,6.87,7.09,-0.220434,75305640.0
2000-02-24,7.19,7.3,7.14,7.3,-0.226964,49615780.0
2000-02-25,7.3,7.57,7.3,7.51,-0.233493,65303670.0
2000-02-28,7.57,7.73,7.25,7.25,-0.225409,54663680.0
2000-02-29,7.46,7.46,7.25,7.35,-0.228518,52956020.0
2000-03-01,7.41,7.51,7.35,7.51,-0.233493,20585670.0
2000-03-02,7.51,7.57,7.41,7.57,-0.235358,13755050.0
2000-03-03,7.57,7.62,7.41,7.46,-0.231938,26065170.0
2000-03-06,7.41,7.57,7.35,7.46,-0.231938,17282950.0
2000-03-07,7.51,7.62,7.46,7.51,-0.233493,20773320.0
2000-03-08,7.46,7.67,7.46,7.67,-0.238467,17733320.0
2000-03-09,7.73,7.94,7.73,7.83,-0.243442,52749600.0
2000-03-10,7.83,8.15,7.83,8.15,-0.253391,56446390.0
2000-03-13,8.1,8.31,7.99,8.15,-0.253391,148415730.0
2000-03-14,8.15,8.31,8.1,8.1,-0.251836,90486870.0
2000-03-15,8.1,8.1,7.51,7.62,-0.236913,61531820.0
2000-03-16,7.73,7.89,7.73,7.73,-0.240333,18183690.0
2000-03-17,7.83,7.89,7.57,7.67,-0.238467,21880480.0
2000-03-20,7.67,7.67,7.41,7.57,-0.235358,26815790.0
2000-03-21,7.46,7.57,7.41,7.46,-0.231938,11897280.0
2000-03-22,7.51,7.51,7.41,7.46,-0.231938,12347650.0
2000-03-23,7.46,7.67,7.14,7.3,-0.226964,89998970.0
2000-03-24,7.35,7.46,7.25,7.25,-0.225409,53012320.0
2000-03-27,7.25,7.78,7.25,7.78,-0.241887,91350080.0
2000-03-28,7.73,7.89,7.67,7.89,-0.245307,89248350.0
2000-03-29,7.89,7.99,7.89,7.94,-0.246862,43948620.0
2000-03-30,7.94,8.1,7.94,8.05,-0.250282,134360430.0
2000-03-31,7.25,7.67,7.25,7.62,0.482822,122256730.0
2000-04-03,7.62,7.83,7.62,7.83,0.496128,27998010.0
2000-04-04,7.83,7.83,7.51,7.51,0.475852,72190580.0
2000-04-05,7.41,7.67,7.41,7.67,0.48599,11784690.0
2000-04-06,7.67,7.67,7.67,7.67,0.48599,0.0
2000-04-07,7.62,7.62,7.57,7.62,0.482822,8575800.0
2000-04-10,7.62,7.67,7.62,7.62,0.482822,6924440.0
2000-04-11,7.67,7.67,7.51,7.51,0.475852,25596040.0
2000-04-12,7.67,7.83,7.57,7.83,0.496128,77388600.0
2000-04-13,7.83,7.83,7.83,7.83,0.496128,0.0
2000-04-14,7.83,7.83,7.83,7.83,0.496128,0.0
2000-04-17,7.57,8.31,7.41,8.21,0.520206,215014210.0
2000-04-18,8.85,9.38,7.57,7.78,0.49296,640163630.0
2000-04-19,7.94,8.05,7.67,7.78,0.49296,119667100.0
2000-04-20,7.83,7.83,7.73,7.78,0.49296,78026630.0
2000-04-21,7.89,8.1,7.83,8.05,0.510068,102177730.0
2000-04-24,8.1,8.15,7.89,8.15,0.516404,76225150.0
2000-04-25,8.15,8.21,8.05,8.05,0.510068,52167880.0
2000-04-26,8.1,8.31,8.05,8.21,0.520206,242486790.0
2000-04-27,8.26,8.26,7.99,8.1,0.513236,170840410.0
2000-04-28,7.8,8.15,7.8,7.8,0.494227,97330000.0
2000-05-01,7.8,7.8,7.8,7.8,0.494227,0.0
2000-05-02,7.8,7.85,7.4,7.4,0.468882,17480000.0
2000-05-03,7.3,7.4,7.2,7.2,0.45621,13540000.0
2000-05-04,7.2,7.5,7.1,7.3,0.462546,32450000.0
2000-05-05,7.3,7.3,7.3,7.3,0.462546,0.0
2000-05-08,7.3,7.3,6.85,6.85,0.434033,38170000.0
2000-05-09,6.8,6.8,6.2,6.2,0.392847,41720000.0
2000-05-10,6.1,6.1,5.7,5.7,0.361166,81770000.0
2000-05-11,5.55,5.9,5.5,5.75,0.364334,65850000.0
2000-05-12,5.9,6.2,5.85,6.2,0.392847,129370000.0
2000-05-15,6.25,6.35,6.0,6.0,0.380175,76060000.0
2000-05-16,6.1,6.1,5.95,6.0,0.380175,53150000.0
2000-05-17,6.0,6.0,6.0,6.0,0.380175,0.0
2000-05-18,5.9,6.05,5.85,6.05,0.383343,45120000.0
2000-05-19,6.1,6.15,6.0,6.0,0.380175,20750000.0
2000-05-22,5.9,5.9,5.85,5.85,0.37067,26630000.0
2000-05-23,5.85,5.9,5.75,5.75,0.364334,21610000.0
2000-05-24,5.7,5.7,5.55,5.65,0.357998,41760000.0
2000-05-25,5.8,5.8,5.45,5.55,0.351662,31950000.0
2000-05-26,5.4,5.55,5.3,5.5,0.348494,26070000.0
2000-05-29,5.6,5.6,5.5,5.5,0.348494,15850000.0
2000-05-30,5.55,5.6,5.5,5.6,0.35483,24090000.0
2000-05-31,5.8,5.95,5.7,5.8,0.367502,56750000.0
2000-06-01,5.8,6.0,5.8,6.0,0.380175,42470000.0
2000-06-02,6.2,6.3,6.1,6.1,0.386511,53500000.0
2000-06-05,6.2,6.35,6.15,6.3,0.399184,76150000.0
2000-06-06,6.2,6.3,6.0,6.0,0.380175,58780000.0
2000-06-07,5.95,6.1,5.9,5.9,0.373839,21120000.0
2000-06-08,6.0,6.05,5.9,5.9,0.373839,19520000.0
2000-06-09,5.9,5.95,5.85,5.9,0.373839,14310000.0
2000-06-12,5.85,5.9,5.85,5.85,0.37067,18540000.0
2000-06-13,5.85,5.9,5.65,5.7,0.361166,34780000.0
2000-06-14,5.7,5.8,5.7,5.8,0.367502,39960000.0
2000-06-15,5.9,6.15,5.8,6.05,0.383343,94990000.0
2000-06-16,6.05,6.15,5.95,5.95,0.377007,100670000.0
2000-06-19,5.9,5.95,5.85,5.9,0.373839,6660000.0
2000-06-20,5.95,5.95,5.9,5.9,0.373839,15400000.0
2000-06-21,5.9,5.95,5.85,5.9,0.373839,19340000.0
2000-06-22,5.95,5.95,5.85,5.95,0.377007,30730000.0
2000-06-23,5.95,5.95,5.8,5.9,0.373839,16960000.0
2000-06-26,5.9,5.9,5.8,5.8,0.367502,8790000.0
2000-06-27,5.8,5.85,5.75,5.75,0.364334,14480000.0
2000-06-28,5.75,5.85,5.75,5.8,0.367502,11510000.0
2000-06-29,5.8,5.85,5.7,5.8,0.367502,44190000.0
2000-06-30,5.8,5.85,5.75,5.85,0.37067,16350000.0
2000-07-03,5.85,5.85,5.65,5.75,0.364334,26890000.0
2000-07-04,5.7,5.7,5.45,5.55,0.351662,40620000.0
2000-07-05,5.5,5.5,5.35,5.4,0.342157,39620000.0
2000-07-06,5.4,5.4,5.1,5.1,0.323149,84420000.0
2000-07-07,5.15,5.25,5.1,5.15,0.326317,43520000.0
2000-07-10,5.25,5.25,5.2,5.2,0.329485,15000000.0
2000-07-11,5.15,5.35,5.15,5.35,0.338989,18330000.0
2000-07-12,5.35,5.35,5.2,5.2,0.329485,8700000.0
2000-07-13,5.25,5.25,5.2,5.2,0.329485,5720000.0
2000-07-14,5.3,5.3,5.2,5.2,0.329485,11480000.0
2000-07-17,5.2,5.2,5.2,5.2,0.329485,0.0
2000-07-18,5.2,5.25,5.1,5.15,0.326317,23900000.0
2000-07-19,5.15,5.25,5.15,5.25,0.332653,17570000.0
2000-07-20,5.2,5.2,5.15,5.15,0.326317,8440000.0
2000-07-21,5.15,5.15,4.93,4.95,0.313644,41560000.0
2000-07-24,4.9,4.9,4.33,4.35,0.275627,77580000.0
2000-07-25,4.33,4.33,4.13,4.23,0.268023,69860000.0
2000-07-26,4.23,4.35,4.05,4.05,0.256618,85160000.0
2000-07-27,3.9,4.0,3.8,3.95,0.250282,120020000.0
2000-07-28,4.0,4.28,4.0,4.28,0.271191,131770000.0
2000-07-31,4.2,4.2,3.9,3.95,0.250282,98200000.0
2000-08-01,3.95,4.15,3.95,4.1,0.259786,41200000.0
2000-08-02,4.13,4.3,4.1,4.25,0.26929,64120000.0
2000-08-03,4.28,4.63,4.28,4.6,0.291467,104120000.0
2000-08-04,4.65,5.0,4.65,4.98,0.315545,132990000.0
2000-08-07,5.1,5.25,4.83,4.93,0.312377,80000000.0
2000-08-08,5.0,5.15,4.98,5.15,0.326317,37300000.0
2000-08-09,5.15,5.3,4.98,5.0,0.316812,32100000.0
2000-08-10,5.1,5.1,4.85,4.98,0.315545,21770000.0
2000-08-11,4.95,5.2,4.93,5.15,0.326317,46600000.0
2000-08-14,5.15,5.15,5.15,5.15,0.326317,0.0
2000-08-15,5.25,5.25,5.05,5.1,0.323149,41380000.0
2000-08-16,5.1,5.4,5.1,5.35,0.338989,77180000.0
2000-08-17,5.45,5.55,5.3,5.35,0.338989,80950000.0
2000-08-18,5.4,5.5,5.3,5.45,0.345325,57180000.0
2000-08-21,5.45,5.5,5.35,5.45,0.345325,22530000.0
2000-08-22,5.45,5.45,5.4,5.4,0.342157,22620000.0
2000-08-23,5.4,5.4,5.25,5.3,0.335821,39070000.0
2000-08-24,5.3,5.35,5.25,5.25,0.332653,59090000.0
2000-08-25,5.0,5.0,4.93,4.95,0.598776,38850000.0
2000-08-28,4.95,4.98,4.93,4.95,0.598776,6740000.0
2000-08-29,4.93,5.0,4.93,4.98,0.602404,16850000.0
2000-08-30,5.0,5.1,5.0,5.05,0.610871,38430000.0
2000-08-31,5.05,5.1,4.98,5.05,0.610871,17540000.0
2000-09-01,5.1,5.1,5.05,5.05,0.610871,50870000.0
2000-09-04,5.05,5.1,5.0,5.1,0.61692,26350000.0
2000-09-05,5.1,5.1,5.05,5.1,0.61692,8750000.0
2000-09-06,5.05,5.1,4.98,4.98,0.602404,35230000.0
2000-09-07,4.95,4.95,4.88,4.93,0.596356,31280000.0
2000-09-08,4.93,5.0,4.85,5.0,0.604823,8090000.0
2000-09-11,4.93,4.93,4.85,4.88,0.590308,9440000.0
2000-09-12,4.83,4.83,4.75,4.75,0.574582,15740000.0
2000-09-13,4.8,4.8,4.78,4.8,0.580631,10490000.0
2000-09-14,4.78,4.8,4.73,4.8,0.580631,15050000.0
2000-09-15,4.78,4.85,4.75,4.78,0.578211,36380000.0
2000-09-18,4.73,4.75,4.7,4.7,0.568534,10110000.0
2000-09-19,4.7,4.78,4.67,4.78,0.578211,16000000.0
2000-09-20,4.75,4.75,4.65,4.65,0.562486,16960000.0
2000-09-21,4.65,4.73,4.65,4.73,0.572163,5250000.0
2000-09-22,4.7,4.7,4.65,4.67,0.564905,10830000.0
2000-09-25,4.73,4.73,4.65,4.7,0.568534,12260000.0
