Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,8.679,9.231,8.679,9.129,4.183078,3371140.0
2000-01-05,8.486,8.679,8.383,8.486,3.888445,5683710.0
2000-01-06,8.486,8.537,7.881,7.984,3.658419,2945903.0
2000-01-07,8.19,8.229,7.791,7.933,3.635049,1031428.0
2000-01-10,8.229,8.781,8.139,8.486,3.888445,1909046.0
2000-01-11,8.589,9.039,8.434,8.987,4.118012,3421807.0
2000-01-12,8.987,8.987,8.679,8.73,4.00025,600761.0
2000-01-13,8.679,8.73,8.383,8.383,3.841247,1353523.0
2000-01-14,8.486,8.627,8.383,8.383,3.841247,1548951.0
2000-01-17,8.486,8.589,8.383,8.486,3.888445,2375903.0
2000-01-18,8.486,8.537,8.486,8.537,3.911813,982571.0
2000-01-19,8.486,8.781,8.486,8.486,3.888445,3101521.0
2000-01-20,8.73,8.73,8.537,8.679,3.97688,1691903.0
2000-01-21,8.627,8.73,8.589,8.679,3.97688,1559808.0
2000-01-24,8.679,8.73,8.537,8.537,3.911813,727428.0
2000-01-25,8.486,8.537,8.434,8.486,3.888445,694857.0
2000-01-26,8.589,8.627,8.486,8.537,3.911813,445143.0
2000-01-27,8.537,8.936,8.537,8.833,4.047446,5182472.0
2000-01-28,8.884,9.039,8.781,8.884,4.070815,6304376.0
2000-01-31,8.781,8.884,8.781,8.781,4.023618,951809.0
2000-02-01,8.833,9.527,8.833,9.386,4.30084,8135613.0
2000-02-02,9.476,9.836,9.476,9.681,4.436016,8799708.0
2000-02-03,9.926,9.977,9.476,9.681,4.436016,5408663.0
2000-02-04,9.784,10.08,9.437,9.476,4.342081,12378943.0
2000-02-07,9.579,9.733,9.527,9.733,4.459841,1843903.0
2000-02-08,9.836,10.479,9.836,10.376,4.754477,10661706.0
2000-02-09,10.684,11.379,10.684,10.98,5.031241,20590556.0
2000-02-10,10.98,11.777,10.774,11.777,5.396441,16817701.0
2000-02-11,11.777,11.983,11.379,11.481,5.260809,12608752.0
2000-02-14,11.481,11.584,10.684,10.684,4.895608,3939330.0
2000-02-15,10.98,11.173,10.183,10.286,4.713237,6648185.0
2000-02-16,10.376,10.376,9.579,9.579,4.389278,4194473.0
2000-02-17,9.681,9.784,9.283,9.386,4.30084,3646188.0
2000-02-18,9.386,9.784,9.386,9.784,4.483212,1518189.0
2000-02-21,,,,,,
2000-02-22,9.476,9.681,9.231,9.231,4.229817,1078475.0
2000-02-23,9.18,9.334,8.987,9.283,4.253644,2348760.0
2000-02-24,9.733,10.08,9.733,10.08,4.618845,5289234.0
2000-02-25,10.581,11.173,10.581,10.98,5.031241,11495896.0
2000-02-28,10.98,11.083,10.08,10.08,4.618845,4362759.0
2000-02-29,10.376,10.684,9.784,10.479,4.801673,3407331.0
2000-03-01,10.877,10.877,10.479,10.684,4.895608,3233617.0
2000-03-02,10.774,10.98,10.774,10.98,5.031241,2388570.0
2000-03-03,11.276,11.777,11.083,11.674,5.349244,13938751.0
2000-03-06,11.777,12.279,11.379,12.279,5.626467,7788185.0
2000-03-07,12.381,12.677,11.88,11.88,5.443638,9673707.0
2000-03-08,11.584,12.279,11.584,12.176,5.57927,5642091.0
2000-03-09,11.983,12.87,11.983,12.176,5.57927,16050464.0
2000-03-10,12.574,13.577,12.574,13.076,5.991667,20301032.0
2000-03-13,13.076,13.371,12.279,12.279,5.626467,9362469.0
2000-03-14,12.381,12.87,12.279,12.574,5.761642,6193995.0
2000-03-15,12.381,12.471,11.983,11.983,5.490835,3588283.0
2000-03-16,12.471,12.973,12.381,12.78,5.856035,7057137.0
2000-03-17,13.269,13.371,12.677,12.78,5.856035,11262468.0
2000-03-20,12.87,13.076,12.78,13.076,5.991667,5996757.0
2000-03-21,13.076,14.079,13.076,13.68,6.268431,12055038.0
2000-03-22,13.68,14.079,13.269,13.976,6.404064,5249425.0
2000-03-23,14.169,14.477,13.976,14.169,6.492502,7417232.0
2000-03-24,14.271,14.374,13.577,13.577,6.221236,5944281.0
2000-03-27,13.68,13.68,13.076,13.179,6.038864,5205996.0
2000-03-28,13.179,13.474,13.179,13.179,6.038864,4203521.0
2000-03-29,13.371,13.474,13.179,13.269,6.080104,1561618.0
2000-03-30,13.179,13.179,12.677,12.677,5.808839,6318852.0
2000-03-31,12.471,12.78,12.381,12.677,5.808839,3372950.0
2000-04-03,12.78,13.076,12.574,12.677,5.808839,1749808.0
2000-04-04,12.471,12.471,12.176,12.279,5.626467,1937999.0
2000-04-05,12.176,12.574,12.176,12.381,5.673207,3065331.0
2000-04-06,,,,,,
2000-04-07,12.574,12.87,12.574,12.87,5.897275,1831237.0
2000-04-10,13.076,13.474,13.076,13.371,6.126842,4026187.0
2000-04-11,13.076,13.371,13.076,13.371,6.126842,1272094.0
2000-04-12,13.371,13.577,13.269,13.269,6.080104,2024856.0
2000-04-13,,,,,,
2000-04-14,,,,,,
2000-04-17,12.381,12.677,12.381,12.381,5.673207,4936377.0
2000-04-18,12.78,12.78,12.176,12.279,5.626467,4632377.0
2000-04-19,12.471,12.574,12.381,12.471,5.714445,1006094.0
2000-04-20,12.574,12.574,12.279,12.279,5.626467,224381.0
2000-04-21,12.471,12.471,12.279,12.471,5.714445,1434951.0
2000-04-24,12.471,12.471,12.381,12.381,5.673207,559142.0
2000-04-25,12.381,12.574,12.073,12.381,5.673207,2540569.0
2000-04-26,12.471,12.471,12.176,12.176,5.57927,1056761.0
2000-04-27,12.279,12.381,12.073,12.073,5.532074,734666.0
2000-04-28,12.176,12.176,11.983,12.176,5.57927,857714.0
2000-05-01,,,,,,
2000-05-02,11.983,12.073,11.777,11.777,5.396441,602571.0
2000-05-03,11.777,11.777,11.379,11.481,5.260809,1331809.0
2000-05-04,11.481,11.481,11.379,11.481,5.260809,743714.0
2000-05-05,,,,,,
2000-05-08,11.481,11.584,11.173,11.173,5.119678,821523.0
2000-05-09,11.083,11.379,10.98,11.379,5.214072,2609331.0
2000-05-10,11.379,11.379,11.173,11.379,5.214072,1936189.0
2000-05-11,11.276,11.481,11.276,11.379,5.214072,1773332.0
2000-05-12,11.481,11.88,11.379,11.88,5.443638,919237.0
2000-05-15,11.983,11.983,11.584,11.584,5.308006,1143618.0
2000-05-16,11.674,11.983,11.674,11.983,5.490835,1185237.0
2000-05-17,,,,,,
2000-05-18,11.777,12.381,11.674,12.381,5.673207,2377712.0
2000-05-19,12.471,12.471,12.073,12.073,5.532074,1496475.0
2000-05-22,11.983,11.983,11.481,11.481,5.260809,796190.0
2000-05-23,11.481,11.674,11.379,11.379,5.214072,2164189.0
2000-05-24,11.276,11.276,10.286,10.581,4.848413,3242664.0
2000-05-25,10.774,10.877,9.836,9.977,4.571648,4214378.0
2000-05-26,9.784,9.977,9.386,9.926,4.548278,1758856.0
2000-05-29,9.926,10.286,9.926,9.977,4.571648,2229332.0
2000-05-30,9.977,10.183,9.887,10.08,4.618845,1565237.0
2000-05-31,10.376,10.877,10.286,10.877,4.984045,4851330.0
2000-06-01,10.877,11.083,10.774,10.774,4.936848,3881426.0
2000-06-02,11.173,11.173,10.98,11.083,5.078439,2953141.0
2000-06-05,11.379,11.584,11.276,11.481,5.260809,3519521.0
2000-06-06,11.379,11.379,11.083,11.173,5.119678,1861999.0
2000-06-07,10.98,11.379,10.98,10.98,5.031241,691238.0
2000-06-08,11.083,11.173,10.774,10.877,4.984045,1270285.0
2000-06-09,10.774,10.877,10.684,10.774,4.936848,812476.0
2000-06-12,10.774,10.877,10.774,10.774,4.936848,425238.0
2000-06-13,10.684,10.774,10.581,10.774,4.936848,1127332.0
2000-06-14,10.98,11.379,10.98,11.276,5.166874,1534475.0
2000-06-15,11.276,11.379,11.173,11.173,5.119678,2238379.0
2000-06-16,,,,,,
2000-06-19,,,,,,
2000-06-20,11.379,11.481,11.276,11.481,5.260809,816095.0
2000-06-21,11.379,11.481,11.379,11.481,5.260809,256952.0
2000-06-22,11.481,11.481,11.083,11.173,5.119678,826952.0
2000-06-23,11.083,11.083,10.877,11.083,5.078439,338381.0
2000-06-26,10.98,11.083,10.877,10.877,4.984045,962666.0
2000-06-27,10.98,10.98,10.877,10.877,4.984045,1438570.0
2000-06-28,10.877,10.877,10.684,10.684,4.895608,740095.0
2000-06-29,10.684,10.684,10.08,10.183,4.666039,2039332.0
2000-06-30,10.08,10.376,10.08,10.286,4.713237,745523.0
2000-07-03,10.479,10.479,10.183,10.376,4.754477,2357808.0
2000-07-04,10.286,10.286,10.08,10.183,4.666039,1098380.0
2000-07-05,10.286,10.581,10.286,10.581,4.848413,593523.0
2000-07-06,10.479,10.479,10.286,10.376,4.754477,2055617.0
2000-07-07,10.376,10.581,10.286,10.286,4.713237,2871712.0
2000-07-10,10.581,10.684,10.183,10.183,4.666039,2951331.0
2000-07-11,10.183,10.376,10.08,10.08,4.618845,1136380.0
2000-07-12,10.183,10.581,10.183,10.286,4.713237,2596665.0
2000-07-13,10.479,10.581,10.376,10.479,4.801673,1324570.0
2000-07-14,10.479,10.479,10.183,10.286,4.713237,1060380.0
2000-07-17,,,,,,
2000-07-18,10.286,10.376,10.183,10.286,4.713237,1083904.0
2000-07-19,10.376,10.581,10.376,10.479,4.801673,861333.0
2000-07-20,10.376,10.479,10.183,10.479,4.801673,620666.0
2000-07-21,10.479,10.581,10.286,10.286,4.713237,2480855.0
2000-07-24,10.183,10.183,9.926,9.926,4.548278,2551427.0
2000-07-25,9.784,9.977,9.63,9.977,4.571648,845047.0
2000-07-26,9.977,10.08,9.887,9.887,4.530409,1775142.0
2000-07-27,9.784,10.286,9.681,10.183,4.666039,1518189.0
2000-07-28,10.08,10.08,9.977,9.977,4.571648,121238.0
2000-07-31,9.887,9.887,9.784,9.887,4.530409,361904.0
2000-08-01,9.887,10.08,9.887,10.08,4.618845,734666.0
2000-08-02,9.977,10.376,9.977,10.183,4.666039,1366189.0
2000-08-03,10.286,10.684,10.286,10.376,4.754477,4011711.0
2000-08-04,10.479,10.684,10.376,10.376,4.754477,2687141.0
2000-08-07,10.479,10.479,9.926,9.977,4.571648,1874665.0
2000-08-08,10.286,10.376,10.183,10.376,4.754477,1498285.0
2000-08-09,10.479,10.581,10.183,10.183,4.666039,2151522.0
2000-08-10,10.376,10.479,10.183,10.286,4.713237,2699807.0
2000-08-11,10.376,10.98,10.376,10.98,5.031241,3875997.0
2000-08-14,,,,,,
2000-08-15,11.083,11.083,10.581,10.581,4.848413,2448284.0
2000-08-16,10.684,10.877,10.581,10.877,4.984045,2526093.0
2000-08-17,10.877,10.877,10.479,10.479,4.801673,2589427.0
2000-08-18,10.581,10.581,10.286,10.286,4.713237,2431998.0
2000-08-21,10.286,10.286,10.183,10.183,4.666039,604380.0
2000-08-22,10.183,10.286,10.183,10.183,4.666039,944571.0
2000-08-23,10.286,10.376,9.887,9.926,4.548278,3901330.0
2000-08-24,9.926,9.977,9.887,9.887,4.530409,1548951.0
2000-08-25,9.887,9.926,9.836,9.887,4.530409,229809.0
2000-08-28,9.887,9.887,9.836,9.836,4.50704,193619.0
2000-08-29,9.887,10.08,9.887,10.08,4.618845,177333.0
2000-08-30,10.08,10.183,9.926,9.926,4.548278,1016952.0
2000-08-31,9.977,10.183,9.977,9.977,4.571648,769047.0
2000-09-01,9.977,10.08,9.926,9.926,4.548278,1404189.0
2000-09-04,9.926,10.08,9.926,9.977,4.571648,1058571.0
2000-09-05,9.977,9.977,9.926,9.926,4.548278,1856570.0
2000-09-06,9.926,9.977,9.887,9.977,4.571648,1004285.0
2000-09-07,9.926,9.977,9.887,9.926,4.548278,1487427.0
2000-09-08,,,,,,
2000-09-11,9.887,9.887,9.681,9.681,4.436016,2712474.0
