Date,Open,High,Low,Close
2007-01-03,77.5,77.5,75.0,76.0
2007-01-04,75.5,76.0,74.5,75.0
2007-01-05,75.0,75.0,71.5,73.0
2007-01-08,72.5,77.0,72.5,77.0
2007-01-09,75.5,78.5,74.5,75.0
2007-01-10,72.0,75.0,70.5,75.0
2007-01-11,77.0,77.0,75.0,75.5
2007-01-12,75.5,76.0,74.0,75.0
2007-01-15,74.0,75.0,74.0,75.0
2007-01-16,75.0,75.0,72.5,72.5
2007-01-17,73.5,73.5,71.5,72.0
2007-01-18,72.0,72.0,70.5,71.5
2007-01-19,71.5,73.5,71.5,72.5
2007-01-22,73.0,74.0,72.5,73.5
2007-01-23,73.0,74.0,72.0,74.0
2007-01-24,74.0,74.0,73.0,74.0
2007-01-25,74.0,74.0,72.5,72.5
2007-01-26,72.0,72.5,72.0,72.0
2007-01-29,72.0,73.0,71.5,72.0
2007-01-30,71.5,73.0,71.5,73.0
2007-01-31,73.0,74.5,72.0,74.0
2007-02-01,74.5,75.0,73.0,73.0
2007-02-02,73.5,75.5,73.5,74.5
2007-02-05,75.0,76.0,75.0,76.0
2007-02-06,76.5,77.0,74.5,76.0
2007-02-07,77.0,77.5,77.0,77.0
2007-02-08,77.5,80.5,77.5,80.0
2007-02-09,80.5,83.0,80.5,82.0
2007-02-12,82.0,86.0,82.0,84.5
2007-02-13,84.5,84.5,83.0,83.0
2007-02-14,83.0,83.0,81.5,82.5
2007-02-15,82.5,83.5,81.5,82.0
2007-02-16,82.0,82.0,76.5,76.5
2007-02-19,76.0,78.0,75.5,77.5
2007-02-20,77.5,78.0,77.0,77.5
2007-02-21,77.5,78.0,77.0,77.0
2007-02-22,77.0,77.5,75.5,75.5
2007-02-23,76.0,76.5,75.0,75.5
2007-02-26,76.0,76.0,74.5,75.5
2007-02-27,75.5,76.0,74.0,74.0
2007-02-28,71.0,73.0,71.0,73.0
2007-03-01,73.0,75.0,73.0,74.0
2007-03-02,74.5,75.0,74.5,74.5
2007-03-06,74.5,74.5,73.0,74.5
2007-03-07,74.5,74.5,73.0,73.0
2007-03-08,73.0,73.5,73.0,73.5
2007-03-09,73.5,73.5,72.5,73.0
2007-03-12,73.0,73.0,72.0,72.5
2007-03-13,72.5,73.5,72.0,72.5
2007-03-14,72.0,73.0,71.5,72.0
2007-03-15,72.0,72.5,72.0,72.5
2007-03-16,72.5,73.0,72.0,72.5
2007-03-19,72.5,72.5,71.5,72.0
2007-03-20,72.0,72.5,71.5,72.0
2007-03-21,72.5,73.0,72.0,73.0
2007-03-22,73.0,73.5,72.5,72.5
2007-03-23,72.5,73.0,72.0,72.5
2007-03-26,72.5,73.0,72.5,72.5
2007-03-27,72.5,73.0,70.0,71.0
2007-03-28,71.0,71.0,68.5,69.5
2007-03-29,69.0,70.5,69.0,70.5
2007-03-30,67.0,67.5,66.0,67.0
2007-04-02,67.5,69.5,67.5,68.0
2007-04-03,69.0,73.0,69.0,72.5
2007-04-04,74.0,75.5,73.5,75.0
2007-04-05,75.0,75.0,73.0,73.5
2007-04-09,73.5,73.5,71.5,71.5
2007-04-10,71.0,71.5,70.5,71.0
2007-04-11,71.5,72.0,71.5,72.0
2007-04-12,72.0,72.0,71.0,72.0
2007-04-17,72.0,74.5,72.0,74.0
2007-04-18,74.5,75.5,74.0,74.5
2007-04-19,74.5,74.5,73.0,74.0
2007-04-20,74.0,74.5,74.0,74.0
2007-04-23,74.5,74.5,73.0,73.0
2007-04-24,73.5,73.5,72.5,73.0
2007-04-25,73.0,74.5,73.0,74.5
2007-04-26,75.0,75.5,74.5,74.5
2007-04-27,75.0,76.0,75.0,75.5
2007-04-30,75.5,76.5,75.5,75.5
2007-05-02,75.5,78.0,75.5,78.0
2007-05-03,78.0,82.5,78.0,82.0
2007-05-04,82.0,86.0,82.0,86.0
2007-05-08,86.0,90.5,86.0,87.5
2007-05-09,88.0,89.5,82.5,85.5
2007-05-10,85.5,86.0,85.0,85.5
2007-05-11,85.5,86.0,84.5,85.5
2007-05-14,86.0,89.5,86.0,89.5
2007-05-15,90.5,92.5,89.5,91.0
2007-05-16,91.0,93.5,91.0,93.0
2007-05-17,93.5,93.5,90.0,90.0
2007-05-18,90.5,91.0,89.0,89.0
2007-05-21,89.0,89.0,84.0,86.0
2007-05-22,86.0,88.0,84.5,86.0
2007-05-23,86.0,90.0,86.0,90.0
2007-05-24,89.0,89.5,86.5,87.5
2007-05-25,87.5,88.0,86.0,86.5
2007-05-28,87.0,87.5,86.0,87.0
2007-05-29,87.5,88.0,86.0,87.5
2007-05-30,87.5,90.0,87.5,90.0
2007-06-01,90.0,91.0,89.0,90.5
2007-06-04,90.5,92.5,90.5,90.5
2007-06-05,91.0,91.5,89.0,90.0
2007-06-06,90.0,93.0,90.0,90.5
2007-06-07,91.0,91.0,89.5,90.0
2007-06-08,86.5,89.5,86.0,87.0
2007-06-11,85.0,89.5,85.0,89.5
2007-06-12,87.0,87.5,86.0,86.0
2007-06-13,86.0,86.0,82.0,82.0
2007-06-14,84.5,84.5,82.0,82.5
2007-06-15,84.0,84.0,82.5,83.0
2007-06-18,84.5,88.0,84.5,88.0
2007-06-19,88.0,88.0,87.0,87.5
2007-06-20,88.0,89.5,87.5,89.5
2007-06-21,88.0,89.0,87.5,88.0
2007-06-22,89.0,89.0,86.0,86.5
2007-06-25,86.5,87.0,85.0,85.0
2007-06-26,86.0,86.0,84.0,85.0
2007-06-27,85.0,86.0,83.0,84.5
2007-06-28,84.5,86.5,84.5,86.5
2007-06-29,87.0,87.0,85.0,85.0
2007-07-02,86.0,88.0,86.0,87.5
2007-07-03,88.5,90.0,88.0,89.0
2007-07-04,90.0,91.0,89.5,90.5
2007-07-05,92.0,92.5,89.0,90.0
2007-07-06,89.5,90.0,88.0,89.5
2007-07-09,90.5,92.0,90.0,91.0
2007-07-10,91.0,93.5,91.0,93.5
2007-07-11,91.5,95.0,91.5,93.0
2007-07-12,94.5,95.5,92.5,94.0
2007-07-13,96.0,96.5,94.5,95.5
2007-07-16,95.5,97.0,94.5,95.0
2007-07-17,95.0,96.0,94.5,95.0
2007-07-18,95.0,96.5,95.0,96.5
2007-07-19,96.0,97.0,96.0,97.0
2007-07-20,97.5,99.5,96.5,99.0
2007-07-23,98.0,98.5,96.5,98.5
2007-07-24,100.0,104.0,100.0,103.0
2007-07-25,102.0,105.0,101.0,103.0
2007-07-26,104.0,104.0,99.5,102.0
2007-07-27,98.5,99.5,97.0,98.5
2007-07-31,98.5,100.0,98.0,98.5
2007-08-01,97.5,97.5,93.5,95.0
2007-08-02,97.5,98.0,94.5,97.0
2007-08-03,97.5,99.5,97.0,99.0
2007-08-06,96.5,99.0,96.0,98.5
2007-08-07,99.0,101.0,97.5,98.5
2007-08-08,98.5,100.0,98.0,100.0
2007-08-09,100.0,102.0,97.0,97.0
2007-08-10,94.5,97.5,94.5,97.5
2007-08-14,97.5,97.5,96.5,97.0
2007-08-15,94.5,95.5,93.0,93.0
2007-08-16,89.5,90.0,84.5,86.5
2007-08-17,87.0,89.0,83.5,89.0
2007-08-20,91.5,92.5,90.5,91.5
2007-08-21,93.0,93.5,91.5,92.0
2007-08-22,93.0,94.0,91.5,94.0
2007-08-23,94.0,95.0,93.5,94.5
2007-08-24,91.5,91.5,91.0,91.5
2007-08-27,92.0,92.0,89.0,89.5
2007-08-28,89.5,90.0,88.0,89.5
2007-08-29,88.5,89.5,86.5,89.0
2007-08-30,90.0,90.5,89.5,89.5
2007-08-31,89.0,93.0,89.0,93.0
2007-09-03,92.0,93.5,92.0,93.0
2007-09-04,92.5,92.5,91.5,92.0
2007-09-05,92.5,92.5,91.5,91.5
2007-09-06,90.5,92.5,90.5,92.5
2007-09-07,92.0,92.0,88.5,89.0
2007-09-10,87.5,88.0,86.5,87.0
2007-09-11,88.0,88.5,86.5,88.0
2007-09-12,89.0,89.0,88.5,89.0
2007-09-13,89.0,89.5,88.5,89.0
2007-09-14,89.0,91.0,88.5,90.5
2007-09-17,90.5,90.5,89.0,89.0
2007-09-18,88.0,88.0,87.0,87.5
2007-09-19,89.0,89.0,85.0,85.5
2007-09-20,86.5,87.5,85.5,85.5
2007-09-21,86.5,87.0,86.0,87.0
2007-09-24,87.5,89.5,86.5,89.5
2007-09-25,89.5,90.0,89.0,90.0
2007-09-26,90.0,91.0,89.0,90.5
2007-09-27,91.5,91.5,89.5,90.0
2007-09-28,90.0,90.0,87.5,89.0
2007-10-01,88.5,90.0,88.5,89.5
2007-10-02,90.5,91.0,89.5,89.5
2007-10-03,90.0,92.0,90.0,90.0
2007-10-04,90.0,92.0,89.5,92.0
2007-10-05,92.0,94.5,92.0,93.5
2007-10-08,95.0,96.0,94.5,95.5
2007-10-09,95.5,98.0,95.5,98.0
2007-10-10,98.5,99.5,98.0,98.0
2007-10-11,98.5,98.5,95.0,96.0
2007-10-12,96.0,96.5,94.5,95.0
2007-10-15,94.0,94.5,92.0,93.0
2007-10-16,92.5,93.5,90.5,91.0
2007-10-17,90.5,93.0,90.5,92.0
2007-10-18,93.0,94.0,92.0,93.5
2007-10-19,93.0,93.0,91.0,91.5
2007-10-22,89.5,91.0,89.0,91.0
2007-10-24,91.0,92.0,89.0,90.5
2007-10-25,91.0,92.0,89.0,92.0
2007-10-26,92.5,94.0,91.0,92.0
2007-10-29,92.5,93.5,90.5,91.0
2007-10-30,91.0,92.5,89.0,90.0
2007-10-31,89.5,90.5,89.0,89.0
2007-11-01,90.0,90.5,87.5,88.0
2007-11-02,87.0,89.5,87.0,89.5
2007-11-05,89.0,89.5,87.0,88.0
2007-11-06,87.5,88.5,87.0,88.0
2007-11-07,88.5,89.0,88.0,88.0
2007-11-08,87.0,88.0,87.0,88.0
2007-11-09,87.5,88.0,87.0,87.5
2007-11-12,86.5,86.5,84.5,86.0
2007-11-13,86.0,87.5,86.0,87.5
2007-11-14,89.0,90.0,89.0,90.0
2007-11-15,89.5,89.5,87.5,88.5
2007-11-16,87.5,88.0,87.0,88.0
2007-11-19,87.5,87.5,85.5,86.0
2007-11-20,84.0,87.0,84.0,86.5
