Date,Open,High,Low,Close
2008-01-02,13.2,14.1,13.2,13.7
2008-01-03,13.8,14.0,13.8,13.9
2008-01-04,13.9,13.9,13.8,13.9
2008-01-07,13.9,13.9,13.7,13.7
2008-01-08,13.8,13.8,13.7,13.8
2008-01-09,13.7,13.7,13.5,13.6
2008-01-10,13.5,13.5,13.3,13.4
2008-01-11,13.3,13.4,13.1,13.1
2008-01-14,13.1,13.1,12.9,13.0
2008-01-15,13.2,13.2,12.7,13.0
2008-01-16,12.8,12.9,12.6,12.8
2008-01-17,12.8,13.1,12.8,13.1
2008-01-18,13.0,13.0,12.9,12.9
2008-01-21,13.0,13.1,12.8,12.8
2008-01-22,12.6,12.8,12.4,12.4
2008-01-23,12.4,12.7,12.4,12.4
2008-01-24,12.5,12.5,12.4,12.4
2008-01-25,12.6,12.7,12.6,12.7
2008-01-28,12.6,12.8,12.4,12.6
2008-01-29,12.8,12.9,12.7,12.7
2008-01-30,12.9,13.1,12.8,12.9
2008-01-31,13.0,13.1,12.9,13.0
2008-02-01,13.1,13.4,13.1,13.4
2008-02-04,13.6,13.6,13.2,13.3
2008-02-05,13.3,13.3,13.0,13.0
2008-02-06,13.1,13.2,12.9,13.2
2008-02-07,13.1,13.1,13.0,13.0
2008-02-08,13.1,13.3,13.1,13.1
2008-02-11,13.1,13.1,12.9,12.9
2008-02-12,12.8,13.2,12.8,13.2
2008-02-13,13.2,13.2,13.1,13.2
2008-02-14,13.2,13.3,13.1,13.2
2008-02-15,13.2,13.2,13.0,13.0
2008-02-18,12.9,13.0,12.8,12.9
2008-02-19,13.0,13.4,12.9,13.2
2008-02-20,13.3,14.1,13.3,14.0
2008-02-22,13.8,14.0,13.7,13.7
2008-02-25,14.1,14.2,13.8,14.0
2008-02-26,14.0,14.1,13.5,14.0
2008-02-27,14.0,14.1,13.8,13.9
2008-02-28,14.0,14.9,14.0,14.7
2008-02-29,14.7,14.9,14.5,14.9
2008-03-03,14.9,14.9,14.6,14.9
2008-03-04,15.1,15.1,14.3,14.8
2008-03-05,14.8,14.8,14.0,14.0
2008-03-06,14.3,14.4,14.2,14.3
2008-03-07,14.3,14.3,14.0,14.2
2008-03-10,14.0,14.3,13.7,13.9
2008-03-11,13.8,14.3,13.8,14.2
2008-03-12,14.3,14.4,14.0,14.1
2008-03-13,14.0,14.4,13.7,13.8
2008-03-14,13.9,14.1,13.7,14.1
2008-03-17,13.9,14.0,13.8,13.8
2008-03-18,13.8,13.9,13.8,13.9
2008-03-19,13.9,13.9,13.8,13.8
2008-03-20,13.8,13.8,13.6,13.8
2008-03-21,13.6,13.8,13.6,13.8
2008-03-24,13.7,13.8,13.5,13.8
2008-03-25,13.6,13.8,13.6,13.7
2008-03-26,13.7,14.0,13.5,13.8
2008-03-27,13.7,13.8,13.5,13.7
2008-03-28,13.7,13.8,13.5,13.6
2008-03-31,13.6,13.7,13.3,13.4
2008-04-01,13.2,13.4,13.1,13.3
