Date,Open,High,Low,Close
2007-01-03,5.0,5.2,4.9,5.0
2007-01-04,5.1,5.1,5.0,5.0
2007-01-05,5.0,5.0,4.9,4.9
2007-01-08,5.0,5.0,4.9,4.9
2007-01-09,4.9,5.0,4.8,4.9
2007-01-10,4.8,4.9,4.8,4.9
2007-01-11,4.9,5.1,4.9,5.1
2007-01-12,5.1,5.1,5.0,5.0
2007-01-15,5.0,5.0,5.0,5.0
2007-01-16,4.9,4.9,4.9,4.9
2007-01-17,4.9,4.9,4.9,4.9
2007-01-18,4.9,4.9,4.9,4.9
2007-01-19,4.9,5.0,4.9,4.9
2007-01-22,4.9,4.9,4.7,4.8
2007-01-23,4.7,4.7,4.6,4.6
2007-01-24,4.6,4.6,4.6,4.6
2007-01-25,4.6,4.7,4.6,4.6
2007-01-26,4.6,4.7,4.6,4.7
2007-01-29,4.7,4.7,4.5,4.6
2007-01-30,4.6,4.6,4.5,4.6
2007-01-31,4.6,4.6,4.6,4.6
2007-02-01,4.6,4.7,4.6,4.7
2007-02-02,4.7,4.7,4.6,4.7
2007-02-05,4.7,4.7,4.7,4.7
2007-02-06,4.7,4.7,4.6,4.7
2007-02-07,4.7,4.7,4.6,4.6
2007-02-08,4.7,4.7,4.7,4.7
2007-02-09,4.7,4.8,4.7,4.7
2007-02-12,4.7,4.7,4.7,4.7
2007-02-13,4.7,4.8,4.7,4.7
2007-02-14,4.7,4.8,4.7,4.7
2007-02-15,4.7,4.8,4.7,4.8
2007-02-16,4.8,4.8,4.7,4.8
2007-02-19,4.8,4.8,4.7,4.7
2007-02-20,4.7,4.8,4.7,4.8
2007-02-21,4.7,4.7,4.7,4.7
2007-02-22,4.7,4.8,4.7,4.7
2007-02-23,4.7,4.7,4.7,4.7
2007-02-26,4.7,4.8,4.7,4.8
2007-02-27,4.7,4.8,4.7,4.7
2007-02-28,4.6,4.7,4.6,4.6
2007-03-01,4.6,4.7,4.6,4.6
2007-03-02,4.6,4.6,4.6,4.6
2007-03-06,4.6,4.6,4.5,4.5
2007-03-07,4.6,4.6,4.5,4.5
2007-03-08,4.5,4.5,4.4,4.5
2007-03-09,4.5,4.5,4.4,4.4
2007-03-12,4.5,4.5,4.4,4.4
2007-03-13,4.4,4.5,4.4,4.5
2007-03-14,4.4,4.5,4.4,4.5
2007-03-15,4.5,4.5,4.4,4.5
2007-03-16,4.5,4.5,4.4,4.5
2007-03-19,4.4,4.5,4.4,4.4
2007-03-20,4.4,4.5,4.4,4.5
2007-03-21,4.5,4.5,4.5,4.5
2007-03-22,4.5,4.6,4.5,4.5
2007-03-23,4.5,4.6,4.5,4.6
2007-03-26,4.6,4.6,4.5,4.6
2007-03-27,4.6,4.6,4.6,4.6
2007-03-28,4.6,4.7,4.6,4.6
2007-03-29,4.6,4.7,4.6,4.7
2007-03-30,4.7,4.7,4.6,4.7
2007-04-02,4.7,4.7,4.6,4.6
2007-04-03,4.6,4.6,4.6,4.6
2007-04-04,4.6,4.7,4.6,4.6
2007-04-05,4.6,4.7,4.6,4.7
2007-04-09,4.7,4.7,4.6,4.7
2007-04-10,4.7,4.7,4.7,4.7
2007-04-11,4.7,4.8,4.7,4.7
2007-04-12,4.8,4.8,4.6,4.7
2007-04-17,4.7,4.7,4.6,4.7
2007-04-18,4.7,4.7,4.6,4.7
2007-04-19,4.7,4.7,4.6,4.6
2007-04-20,4.6,4.6,4.6,4.6
2007-04-23,4.6,4.7,4.6,4.7
2007-04-24,4.7,4.7,4.7,4.7
2007-04-25,4.7,4.7,4.6,4.6
2007-04-26,4.6,4.6,4.6,4.6
2007-04-27,4.6,4.6,4.6,4.6
2007-04-30,4.6,4.6,4.5,4.5
2007-05-02,4.5,4.6,4.5,4.5
2007-05-03,4.5,4.6,4.5,4.5
2007-05-04,4.6,4.6,4.5,4.6
2007-05-08,4.6,4.6,4.6,4.6
2007-05-09,4.6,4.6,4.5,4.6
2007-05-10,4.6,4.6,4.5,4.5
2007-05-11,4.5,4.6,4.5,4.5
2007-05-14,4.5,4.6,4.5,4.5
2007-05-15,4.5,4.6,4.5,4.6
2007-05-16,4.6,4.8,4.6,4.8
2007-05-17,4.8,4.8,4.7,4.7
2007-05-18,4.8,4.8,4.7,4.7
2007-05-21,4.7,4.7,4.7,4.7
2007-05-22,4.7,4.7,4.7,4.7
2007-05-23,4.7,4.7,4.6,4.6
2007-05-24,4.7,4.7,4.6,4.6
2007-05-25,4.6,4.7,4.6,4.7
2007-05-28,4.7,4.7,4.7,4.7
2007-05-29,4.7,4.7,4.6,4.7
2007-05-30,4.7,4.8,4.7,4.8
2007-06-01,4.8,4.8,4.7,4.8
2007-06-04,4.8,4.9,4.8,4.8
2007-06-05,4.9,4.9,4.8,4.8
2007-06-06,4.8,4.8,4.7,4.8
2007-06-07,4.7,4.8,4.7,4.8
2007-06-08,4.8,4.8,4.7,4.8
2007-06-11,4.8,4.9,4.8,4.9
2007-06-12,4.9,4.9,4.8,4.9
2007-06-13,4.9,4.9,4.8,4.8
2007-06-14,4.9,4.9,4.8,4.9
2007-06-15,4.9,5.0,4.9,5.0
2007-06-18,5.0,5.0,5.0,5.0
2007-06-19,5.0,5.1,5.0,5.0
2007-06-20,5.0,5.0,5.0,5.0
2007-06-21,5.0,5.2,5.0,5.2
2007-06-22,5.2,5.2,5.0,5.0
2007-06-25,5.0,5.1,5.0,5.0
2007-06-26,5.0,5.1,5.0,5.0
2007-06-27,5.1,5.2,5.1,5.1
2007-06-28,5.2,5.2,5.2,5.2
2007-06-29,5.2,5.2,5.2,5.2
2007-07-02,5.2,5.2,5.2,5.2
2007-07-03,5.3,5.4,5.2,5.4
2007-07-04,5.4,5.4,5.3,5.4
2007-07-05,5.4,5.4,5.2,5.4
2007-07-06,5.3,5.4,5.2,5.4
2007-07-09,5.4,5.7,5.4,5.7
2007-07-10,5.7,5.7,5.4,5.5
2007-07-11,5.4,5.6,5.4,5.4
2007-07-12,5.4,5.4,5.3,5.4
2007-07-13,5.4,5.5,5.4,5.4
2007-07-16,5.4,5.4,5.3,5.3
2007-07-17,5.4,5.4,5.2,5.2
2007-07-18,5.2,5.3,5.2,5.2
2007-07-19,5.2,5.2,5.1,5.2
2007-07-20,5.2,5.3,5.2,5.2
2007-07-23,5.2,5.3,5.2,5.2
2007-07-24,5.3,5.5,5.2,5.4
2007-07-25,5.4,5.4,5.3,5.4
2007-07-26,5.4,5.4,5.3,5.4
2007-07-27,5.2,5.4,5.2,5.2
2007-07-31,5.2,5.3,5.2,5.2
2007-08-01,5.3,5.3,5.0,5.0
2007-08-02,5.2,5.2,5.0,5.0
2007-08-03,5.2,5.2,5.0,5.1
2007-08-06,5.0,5.0,5.0,5.0
2007-08-07,5.0,5.0,4.9,5.0
2007-08-08,5.0,5.1,5.0,5.1
2007-08-09,5.0,5.2,5.0,5.0
2007-08-10,4.9,4.9,4.8,4.8
2007-08-14,4.8,4.8,4.7,4.8
2007-08-15,4.7,4.8,4.7,4.7
2007-08-16,4.5,4.7,4.5,4.7
2007-08-17,4.7,4.7,4.6,4.6
2007-08-20,4.7,4.7,4.6,4.7
2007-08-21,4.7,4.7,4.6,4.6
2007-08-22,4.6,4.6,4.6,4.6
2007-08-23,4.6,4.6,4.6,4.6
2007-08-24,4.6,4.6,4.6,4.6
2007-08-27,4.7,4.7,4.6,4.7
2007-08-28,4.7,4.7,4.7,4.7
2007-08-29,4.7,4.7,4.6,4.6
2007-08-30,4.7,4.7,4.7,4.7
2007-08-31,4.7,4.7,4.6,4.7
2007-09-03,4.7,4.9,4.7,4.9
2007-09-04,4.9,4.9,4.8,4.8
2007-09-05,4.8,4.9,4.8,4.8
2007-09-06,4.8,4.9,4.8,4.8
2007-09-07,4.8,4.8,4.8,4.8
2007-09-10,4.8,4.8,4.7,4.8
2007-09-11,4.8,4.8,4.8,4.8
2007-09-12,4.8,4.9,4.8,4.8
2007-09-13,4.8,4.8,4.8,4.8
2007-09-14,4.8,4.8,4.8,4.8
2007-09-17,4.8,4.9,4.8,4.8
2007-09-18,4.8,4.9,4.8,4.8
2007-09-19,4.9,5.0,4.9,4.9
2007-09-20,4.9,5.0,4.9,4.9
2007-09-21,4.9,4.9,4.9,4.9
2007-09-24,5.0,5.2,5.0,5.1
2007-09-25,5.1,5.1,5.0,5.0
2007-09-26,5.1,5.2,5.1,5.2
2007-09-27,5.2,5.3,5.2,5.2
2007-09-28,5.2,5.2,5.2,5.2
2007-10-01,5.2,5.2,5.2,5.2
2007-10-02,5.2,5.2,5.1,5.2
2007-10-03,5.2,5.2,5.0,5.1
2007-10-04,5.0,5.0,5.0,5.0
2007-10-05,5.0,5.0,5.0,5.0
2007-10-08,5.0,5.1,5.0,5.0
2007-10-09,5.1,5.1,5.0,5.1
2007-10-10,5.2,5.2,5.0,5.1
2007-10-11,5.1,5.1,5.0,5.0
2007-10-12,5.0,5.1,5.0,5.0
2007-10-15,5.0,5.1,5.0,5.0
2007-10-16,5.0,5.0,4.9,5.0
2007-10-17,4.9,5.0,4.9,4.9
2007-10-18,4.9,5.0,4.9,5.0
2007-10-19,5.0,5.0,4.9,4.9
2007-10-22,4.9,4.9,4.9,4.9
2007-10-24,4.9,5.0,4.9,5.0
2007-10-25,5.0,5.0,5.0,5.0
2007-10-26,5.0,5.1,5.0,5.0
2007-10-29,5.0,5.1,5.0,5.0
2007-10-30,5.0,5.0,5.0,5.0
2007-10-31,5.0,5.0,5.0,5.0
2007-11-01,5.1,5.1,5.0,5.0
2007-11-02,5.0,5.0,5.0,5.0
2007-11-05,5.0,5.0,5.0,5.0
2007-11-06,5.0,5.0,5.0,5.0
2007-11-07,5.0,5.0,4.9,5.0
2007-11-08,4.9,4.9,4.9,4.9
2007-11-09,4.9,5.0,4.9,4.9
2007-11-12,4.9,4.9,4.9,4.9
2007-11-13,4.9,5.0,4.9,4.9
2007-11-14,4.9,5.0,4.9,4.9
2007-11-15,4.9,5.0,4.9,4.9
2007-11-16,4.9,4.9,4.9,4.9
2007-11-19,4.9,4.9,4.8,4.9
2007-11-20,4.8,4.9,4.8,4.9
2007-11-21,4.9,4.9,4.7,4.8
2007-11-22,4.7,4.8,4.7,4.7
2007-11-23,4.7,4.8,4.7,4.7
2007-11-26,4.8,4.8,4.8,4.8
2007-11-27,4.7,4.8,4.7,4.7
2007-11-28,4.8,4.8,4.7,4.8
2007-11-29,4.8,4.8,4.7,4.8
2007-11-30,4.8,4.8,4.6,4.6
2007-12-03,4.6,4.6,4.6,4.6
2007-12-04,4.6,4.7,4.6,4.6
2007-12-06,4.6,4.7,4.6,4.6
2007-12-07,4.7,4.7,4.6,4.6
2007-12-11,4.6,4.6,4.6,4.6
2007-12-12,4.6,4.6,4.6,4.6
2007-12-13,4.6,4.6,4.6,4.6
2007-12-14,4.6,4.6,4.6,4.6
2007-12-17,4.6,4.6,4.5,4.5
2007-12-18,4.5,4.5,4.5,4.5
2007-12-19,4.5,4.5,4.5,4.5
2007-12-20,4.5,4.5,4.4,4.5
2007-12-21,4.4,4.4,4.4,4.4
2007-12-24,4.4,4.4,4.4,4.4
2007-12-25,4.4,4.5,4.4,4.5
2007-12-26,4.5,4.5,4.5,4.5
2007-12-27,4.5,4.6,4.5,4.6
2007-12-28,4.7,4.7,4.6,4.6
2008-01-02,4.5,4.6,4.5,4.5
2008-01-03,4.5,4.5,4.5,4.5
2008-01-04,4.5,4.5,4.4,4.4
2008-01-07,4.4,4.4,4.4,4.4
2008-01-08,4.4,4.4,4.4,4.4
2008-01-09,4.4,4.4,4.4,4.4
2008-01-10,4.4,4.4,4.4,4.4
2008-01-11,4.4,4.4,4.4,4.4
2008-01-14,4.4,4.4,4.3,4.4
2008-01-15,4.3,4.4,4.3,4.4
2008-01-16,4.3,4.3,4.3,4.3
2008-01-17,4.3,4.3,4.3,4.3
2008-01-18,4.3,4.3,4.3,4.3
2008-01-21,4.3,4.4,4.2,4.2
2008-01-22,4.1,4.1,3.8,3.9
2008-01-23,4.0,4.1,3.9,4.0
2008-01-24,4.1,4.1,4.0,4.0
2008-01-25,4.1,4.1,4.1,4.1
2008-01-28,4.0,4.1,4.0,4.1
2008-01-29,4.1,4.1,4.0,4.0
2008-01-30,4.1,4.2,4.1,4.2
2008-01-31,4.3,4.3,4.2,4.3
2008-02-01,4.3,4.4,4.3,4.3
2008-02-04,4.4,4.4,4.2,4.2
2008-02-05,4.2,4.3,4.2,4.3
2008-02-06,4.2,4.3,4.2,4.3
2008-02-07,4.2,4.4,4.2,4.3
2008-02-08,4.2,4.3,4.2,4.3
2008-02-11,4.3,4.3,4.3,4.3
2008-02-12,4.3,4.3,4.3,4.3
2008-02-13,4.3,4.3,4.3,4.3
2008-02-14,4.4,4.4,4.3,4.4
2008-02-15,4.4,4.4,4.3,4.4
2008-02-18,4.4,4.5,4.4,4.5
2008-02-19,4.5,4.7,4.5,4.7
2008-02-20,4.7,4.7,4.6,4.6
2008-02-22,4.6,4.6,4.5,4.6
2008-02-25,4.6,4.6,4.6,4.6
2008-02-26,4.6,4.6,4.5,4.6
2008-02-27,4.6,4.6,4.5,4.6
2008-02-28,4.6,4.6,4.5,4.6
2008-02-29,4.6,4.6,4.6,4.6
2008-03-03,4.6,4.6,4.6,4.6
2008-03-04,4.6,4.7,4.6,4.6
2008-03-05,4.6,4.6,4.6,4.6
2008-03-06,4.7,4.7,4.5,4.5
2008-03-07,4.5,4.5,4.5,4.5
2008-03-10,4.5,4.5,4.4,4.5
2008-03-11,4.5,4.5,4.4,4.5
2008-03-12,4.5,4.6,4.5,4.6
2008-03-13,4.6,4.6,4.5,4.6
2008-03-14,4.6,4.6,4.5,4.6
2008-03-17,4.5,4.6,4.5,4.5
2008-03-18,4.5,4.6,4.5,4.6
2008-03-19,4.6,4.6,4.5,4.5
2008-03-20,4.5,4.5,4.5,4.5
2008-03-21,4.5,4.6,4.5,4.6
2008-03-24,4.6,4.6,4.5,4.6
2008-03-25,4.6,4.6,4.6,4.6
2008-03-26,4.6,4.6,4.6,4.6
2008-03-27,4.6,4.6,4.6,4.6
2008-03-28,4.6,4.7,4.6,4.7
2008-03-31,4.6,4.6,4.5,4.6
2008-04-01,4.6,4.6,4.6,4.6
2008-04-02,4.6,4.6,4.6,4.6
2008-04-03,4.6,4.8,4.6,4.7
2008-04-04,4.8,4.8,4.7,4.7
2008-04-08,4.7,4.7,4.7,4.7
2008-04-09,4.7,4.9,4.7,4.8
2008-04-10,4.8,4.9,4.7,4.7
2008-04-11,4.7,4.8,4.7,4.8
2008-04-16,4.8,4.8,4.8,4.8
2008-04-17,4.8,4.9,4.8,4.8
2008-04-18,4.9,4.9,4.8,4.8
2008-04-21,4.8,4.8,4.8,4.8
2008-04-22,4.8,4.8,4.8,4.8
2008-04-23,4.8,4.8,4.8,4.8
2008-04-24,4.8,4.8,4.8,4.8
2008-04-25,4.8,4.8,4.7,4.8
2008-04-28,4.8,4.8,4.8,4.8
2008-04-29,4.8,4.8,4.7,4.7
2008-04-30,4.8,4.8,4.7,4.8
2008-05-02,4.8,4.8,4.7,4.7
2008-05-06,4.7,4.8,4.7,4.7
2008-05-07,4.7,4.7,4.7,4.7
2008-05-08,4.7,4.7,4.7,4.7
