Date,Open,High,Low,Close
2008-01-02,25.5,26.5,25.0,26.2
2008-01-03,25.8,25.8,25.0,25.2
2008-01-04,25.2,26.0,25.2,25.5
2008-01-07,26.0,26.0,25.2,25.2
2008-01-08,25.5,25.5,25.2,25.2
2008-01-09,25.2,25.2,25.0,25.2
2008-01-10,25.2,25.8,25.0,25.2
2008-01-11,25.0,25.2,24.8,25.0
2008-01-14,24.8,25.0,24.7,24.7
2008-01-15,24.8,24.9,24.7,24.8
2008-01-16,24.5,25.5,24.2,25.5
2008-01-17,25.0,25.0,24.8,25.0
2008-01-18,25.0,25.0,24.8,24.8
2008-01-21,24.8,24.9,24.7,24.8
2008-01-22,24.1,24.7,24.0,24.6
2008-01-23,24.5,24.5,24.0,24.0
2008-01-24,24.0,24.3,23.8,23.8
2008-01-25,24.0,24.6,24.0,24.5
2008-01-28,24.3,24.7,24.3,24.5
2008-01-29,24.4,24.8,24.4,24.8
2008-01-30,24.9,25.0,24.8,24.8
2008-01-31,24.5,25.0,24.5,25.0
2008-02-01,25.0,26.0,24.9,25.8
2008-02-04,26.2,27.0,25.0,25.2
2008-02-05,25.5,25.5,25.0,25.0
2008-02-06,25.0,25.2,25.0,25.2
2008-02-07,25.5,25.5,25.0,25.5
2008-02-08,26.0,29.0,26.0,28.0
2008-02-11,28.5,29.2,28.2,28.5
2008-02-12,29.0,29.2,28.5,28.5
2008-02-13,28.5,30.5,28.5,30.2
2008-02-14,31.0,31.2,30.2,30.5
2008-02-15,30.0,30.5,29.2,30.0
2008-02-18,30.2,30.5,28.8,30.0
2008-02-19,30.0,30.5,29.2,29.8
2008-02-20,29.8,29.8,29.0,29.2
2008-02-22,29.2,29.2,28.8,29.0
2008-02-25,29.2,29.8,28.8,29.8
2008-02-26,30.0,30.0,28.8,29.5
2008-02-27,29.8,29.8,29.5,29.5
2008-02-28,29.8,30.2,29.8,29.8
2008-02-29,29.8,30.2,29.5,29.8
2008-03-03,29.8,30.0,29.2,29.5
2008-03-04,29.5,30.0,29.2,29.5
2008-03-05,29.5,29.5,29.0,29.2
2008-03-06,29.8,29.8,29.2,29.2
2008-03-07,29.0,29.5,29.0,29.2
2008-03-10,29.0,29.0,28.5,28.5
2008-03-11,28.8,29.0,28.5,28.8
2008-03-12,29.0,29.2,28.5,28.8
2008-03-13,28.8,28.8,28.0,28.2
2008-03-14,28.5,29.2,28.2,28.8
2008-03-17,28.5,28.8,28.2,28.2
2008-03-18,28.2,28.5,28.2,28.2
2008-03-19,28.5,28.5,28.2,28.2
2008-03-20,28.2,28.2,28.0,28.0
2008-03-21,28.0,28.2,28.0,28.2
2008-03-24,28.0,28.5,28.0,28.5
2008-03-25,28.5,29.2,28.2,29.0
2008-03-26,29.0,29.0,28.8,28.8
2008-03-27,28.8,29.5,28.5,29.5
2008-03-28,29.0,29.2,28.8,28.8
2008-03-31,29.0,29.2,29.0,29.0
2008-04-01,28.8,28.8,28.8,28.8
2008-04-02,29.0,29.2,28.8,28.8
2008-04-03,28.8,29.2,28.5,29.2
2008-04-04,29.5,29.5,28.2,28.5
2008-04-08,28.5,28.8,28.5,28.5
2008-04-09,28.5,28.5,28.0,28.0
2008-04-10,28.2,28.2,28.0,28.0
2008-04-11,28.2,28.2,28.0,28.2
2008-04-16,28.2,28.2,28.0,28.0
2008-04-17,28.0,28.8,28.0,28.2
2008-04-18,28.2,28.2,28.0,28.0
2008-04-21,28.2,28.2,27.8,28.0
2008-04-22,28.0,28.2,27.8,28.0
