Date,Open,High,Low,Close
2008-01-02,232.0,232.0,226.0,228.0
2008-01-03,226.0,228.0,224.0,224.0
2008-01-04,224.0,228.0,224.0,224.0
2008-01-07,224.0,226.0,224.0,224.0
2008-01-08,226.0,228.0,224.0,226.0
2008-01-09,224.0,226.0,222.0,226.0
2008-01-10,224.0,226.0,222.0,222.0
2008-01-11,222.0,226.0,220.0,222.0
2008-01-14,222.0,224.0,218.0,222.0
2008-01-15,222.0,224.0,220.0,222.0
2008-01-16,218.0,222.0,218.0,222.0
2008-01-17,222.0,226.0,220.0,224.0
2008-01-18,222.0,226.0,222.0,222.0
2008-01-21,224.0,226.0,220.0,220.0
2008-01-22,218.0,220.0,212.0,216.0
2008-01-23,220.0,222.0,212.0,216.0
2008-01-24,214.0,214.0,204.0,204.0
2008-01-25,206.0,210.0,206.0,208.0
2008-01-28,206.0,206.0,200.0,202.0
2008-01-29,204.0,206.0,202.0,204.0
2008-01-30,204.0,206.0,202.0,204.0
2008-01-31,204.0,210.0,202.0,206.0
2008-02-01,212.0,214.0,210.0,212.0
2008-02-04,218.0,222.0,216.0,218.0
2008-02-05,216.0,218.0,214.0,214.0
2008-02-06,210.0,214.0,210.0,212.0
2008-02-07,212.0,214.0,210.0,214.0
2008-02-08,214.0,216.0,212.0,216.0
2008-02-11,216.0,216.0,212.0,212.0
2008-02-12,212.0,216.0,212.0,214.0
2008-02-13,216.0,218.0,214.0,214.0
2008-02-14,216.0,218.0,214.0,216.0
2008-02-15,214.0,216.0,212.0,216.0
2008-02-18,214.0,216.0,212.0,214.0
2008-02-19,216.0,218.0,214.0,216.0
2008-02-20,216.0,216.0,214.0,214.0
2008-02-22,212.0,216.0,212.0,216.0
2008-02-25,216.0,218.0,214.0,218.0
2008-02-26,218.0,220.0,214.0,216.0
2008-02-27,218.0,218.0,214.0,214.0
2008-02-28,214.0,216.0,212.0,216.0
2008-02-29,214.0,218.0,214.0,216.0
2008-03-03,214.0,218.0,214.0,216.0
2008-03-04,216.0,218.0,214.0,214.0
2008-03-05,214.0,216.0,212.0,212.0
2008-03-06,214.0,216.0,214.0,214.0
2008-03-07,214.0,214.0,210.0,212.0
2008-03-10,208.0,210.0,206.0,206.0
2008-03-11,206.0,210.0,206.0,210.0
2008-03-12,214.0,214.0,210.0,210.0
2008-03-13,210.0,212.0,206.0,208.0
2008-03-14,208.0,210.0,208.0,208.0
2008-03-17,206.0,206.0,204.0,204.0
2008-03-18,204.0,208.0,202.0,208.0
2008-03-19,210.0,214.0,210.0,210.0
2008-03-20,208.0,212.0,208.0,212.0
2008-03-21,212.0,214.0,212.0,214.0
2008-03-24,214.0,214.0,212.0,214.0
2008-03-25,216.0,218.0,214.0,216.0
2008-03-26,216.0,216.0,212.0,214.0
2008-03-27,214.0,216.0,212.0,214.0
2008-03-28,214.0,216.0,214.0,216.0
2008-03-31,216.0,218.0,214.0,214.0
2008-04-01,216.0,218.0,216.0,218.0
2008-04-02,220.0,220.0,216.0,218.0
2008-04-03,210.0,214.0,210.0,214.0
2008-04-04,212.0,214.0,210.0,210.0
2008-04-08,210.0,212.0,206.0,206.0
2008-04-09,208.0,208.0,206.0,208.0
2008-04-10,208.0,208.0,204.0,206.0
2008-04-11,206.0,206.0,204.0,204.0
2008-04-16,204.0,206.0,204.0,204.0
2008-04-17,206.0,208.0,204.0,208.0
2008-04-18,208.0,210.0,206.0,210.0
2008-04-21,210.0,212.0,208.0,210.0
2008-04-22,210.0,210.0,208.0,210.0
2008-04-23,210.0,210.0,206.0,206.0
2008-04-24,208.0,210.0,208.0,208.0
2008-04-25,210.0,210.0,208.0,208.0
2008-04-28,208.0,208.0,206.0,206.0
2008-04-29,208.0,208.0,206.0,206.0
2008-04-30,206.0,208.0,206.0,208.0
2008-05-02,210.0,216.0,208.0,212.0
2008-05-06,214.0,216.0,212.0,216.0
2008-05-07,218.0,218.0,212.0,214.0
2008-05-08,212.0,216.0,212.0,214.0
2008-05-09,214.0,214.0,210.0,212.0
2008-05-12,210.0,210.0,208.0,208.0
2008-05-13,210.0,210.0,206.0,208.0
2008-05-14,208.0,210.0,208.0,210.0
2008-05-15,210.0,212.0,208.0,208.0
2008-05-16,210.0,212.0,208.0,210.0
2008-05-20,212.0,212.0,208.0,208.0
2008-05-21,208.0,210.0,208.0,208.0
2008-05-22,206.0,208.0,204.0,206.0
2008-05-23,206.0,208.0,204.0,204.0
2008-05-26,204.0,206.0,202.0,204.0
2008-05-27,204.0,206.0,204.0,206.0
2008-05-28,206.0,206.0,202.0,204.0
2008-05-29,204.0,206.0,202.0,204.0
2008-05-30,204.0,204.0,202.0,202.0
2008-06-02,204.0,204.0,202.0,202.0
2008-06-03,202.0,204.0,202.0,202.0
2008-06-04,202.0,204.0,202.0,204.0
