Date,Open,High,Low,Close
2008-01-02,14.2,14.6,13.9,14.2
2008-01-03,14.1,14.2,14.0,14.0
2008-01-04,14.0,14.1,13.9,13.9
2008-01-07,13.9,13.9,13.8,13.9
2008-01-08,13.9,14.0,13.8,13.9
2008-01-09,13.8,14.0,13.8,14.0
2008-01-10,14.0,14.0,13.8,13.8
2008-01-11,13.9,14.0,13.9,14.0
2008-01-14,14.0,14.1,13.7,13.8
2008-01-15,13.9,13.9,13.5,13.5
2008-01-16,13.4,13.4,13.3,13.4
2008-01-17,13.4,13.6,13.3,13.3
2008-01-18,13.3,13.7,13.2,13.5
2008-01-21,13.7,14.1,13.4,13.4
2008-01-22,13.2,13.3,12.8,12.9
2008-01-23,13.1,13.3,12.8,12.9
2008-01-24,12.9,13.1,12.8,12.8
2008-01-25,13.0,13.5,13.0,13.5
2008-01-28,13.3,13.4,13.1,13.2
2008-01-29,13.5,13.8,13.2,13.7
2008-01-30,13.7,13.9,13.6,13.9
2008-01-31,13.8,14.3,13.8,14.2
2008-02-01,14.4,14.6,14.2,14.5
2008-02-04,14.7,14.8,14.5,14.6
2008-02-05,14.5,14.6,14.4,14.5
2008-02-06,14.1,14.3,14.1,14.2
2008-02-07,14.2,14.3,14.2,14.3
2008-02-08,14.5,14.8,14.5,14.6
2008-02-11,14.7,15.0,14.7,14.7
2008-02-12,14.8,15.5,14.8,15.4
2008-02-13,15.4,15.9,15.4,15.6
2008-02-14,15.8,15.9,15.2,15.3
2008-02-15,15.2,15.6,15.1,15.5
2008-02-18,15.5,15.6,15.4,15.5
2008-02-19,15.5,15.9,15.5,15.7
2008-02-20,15.7,15.7,15.1,15.4
2008-02-22,15.4,15.4,15.2,15.3
2008-02-25,15.4,15.5,15.3,15.4
2008-02-26,15.5,15.8,15.2,15.4
2008-02-27,15.5,15.7,15.5,15.5
2008-02-28,15.5,15.7,15.5,15.7
2008-02-29,15.6,15.7,15.4,15.4
2008-03-03,15.5,15.5,15.1,15.1
2008-03-04,15.2,15.4,15.0,15.1
2008-03-05,15.1,15.2,15.1,15.1
2008-03-06,15.1,15.3,15.1,15.1
2008-03-07,15.1,15.1,14.8,14.9
2008-03-10,14.7,14.8,14.5,14.8
2008-03-11,14.6,14.8,14.6,14.7
2008-03-12,14.9,14.9,14.5,14.5
2008-03-13,14.6,14.7,14.5,14.6
2008-03-14,14.6,14.7,14.6,14.6
2008-03-17,14.5,14.6,14.5,14.5
2008-03-18,14.4,15.0,14.4,14.8
2008-03-19,15.1,15.1,14.9,14.9
2008-03-20,14.8,15.2,14.8,15.0
2008-03-21,15.2,15.4,15.0,15.3
2008-03-24,15.3,15.5,15.2,15.3
2008-03-25,15.4,15.5,15.1,15.3
2008-03-26,15.3,15.4,15.2,15.2
2008-03-27,15.4,15.4,15.3,15.3
2008-03-28,15.3,15.5,15.3,15.5
2008-03-31,15.5,15.5,15.4,15.5
2008-04-01,15.5,15.5,15.3,15.3
2008-04-02,15.5,15.7,15.5,15.5
2008-04-03,15.5,15.5,15.2,15.4
2008-04-04,15.4,15.4,15.2,15.3
2008-04-08,15.3,15.5,15.2,15.3
2008-04-09,15.4,15.5,15.3,15.4
2008-04-10,15.4,15.4,15.3,15.4
2008-04-11,15.3,15.6,15.3,15.4
2008-04-16,15.4,16.1,15.4,15.9
2008-04-17,16.1,16.2,16.0,16.1
2008-04-18,16.1,16.3,16.1,16.2
2008-04-21,17.3,18.2,17.2,18.0
2008-04-22,17.9,18.0,17.6,17.7
2008-04-23,17.6,17.6,16.5,16.7
2008-04-24,16.7,16.7,16.3,16.5
2008-04-25,16.6,17.2,16.5,16.9
2008-04-28,17.1,17.1,16.8,16.8
2008-04-29,16.9,16.9,16.8,16.8
2008-04-30,16.8,17.1,16.8,16.9
2008-05-02,16.9,17.6,16.9,17.5
2008-05-06,17.5,17.8,17.5,17.6
2008-05-07,17.8,17.9,17.5,17.6
2008-05-08,17.0,17.0,16.8,16.8
2008-05-09,16.9,17.0,16.7,16.9
2008-05-12,16.9,16.9,16.3,16.4
2008-05-13,16.3,16.5,16.2,16.5
2008-05-14,16.5,16.9,16.5,16.8
2008-05-15,16.9,17.1,16.8,17.0
2008-05-16,17.2,17.3,17.0,17.3
2008-05-20,17.3,17.3,16.6,16.6
2008-05-21,16.6,17.0,16.6,17.0
2008-05-22,17.0,17.0,16.4,16.6
2008-05-23,16.8,17.2,16.7,16.8
2008-05-26,16.7,16.7,16.3,16.5
2008-05-27,16.5,16.7,16.4,16.5
2008-05-28,16.5,16.6,16.0,16.0
2008-05-29,16.3,16.4,15.9,16.2
2008-05-30,16.2,16.2,15.6,15.6
2008-06-02,15.5,15.6,14.7,14.8
2008-06-03,14.9,15.0,14.8,14.8
2008-06-04,14.9,15.1,14.7,14.8
2008-06-05,14.8,14.8,14.5,14.7
2008-06-06,14.9,15.1,14.7,15.1
2008-06-09,14.6,14.8,14.6,14.7
2008-06-10,14.8,14.8,14.5,14.6
2008-06-11,14.6,14.7,14.5,14.6
2008-06-12,14.5,14.5,14.2,14.4
2008-06-13,14.6,14.6,13.8,13.9
2008-06-16,14.0,14.2,13.9,13.9
2008-06-17,13.9,14.0,13.7,13.9
2008-06-18,13.7,14.0,13.7,13.9
2008-06-19,13.7,13.7,13.4,13.5
2008-06-20,13.4,13.6,13.2,13.6
2008-06-23,13.3,13.5,13.2,13.4
2008-06-24,13.4,13.5,13.3,13.4
2008-06-25,13.3,13.7,13.3,13.7
2008-06-26,13.8,14.1,13.7,13.9
2008-06-27,13.6,13.8,13.5,13.6
2008-06-30,13.6,13.7,13.4,13.4
2008-07-02,13.4,13.5,13.3,13.4
2008-07-03,13.3,13.5,13.1,13.3
2008-07-04,13.5,13.6,13.4,13.6
2008-07-07,13.6,13.6,13.4,13.5
2008-07-08,13.4,13.5,13.3,13.4
2008-07-09,13.5,13.5,13.3,13.3
2008-07-10,13.3,13.5,13.2,13.5
2008-07-11,13.4,13.6,13.4,13.4
2008-07-14,13.4,13.4,13.2,13.3
2008-07-15,13.2,13.2,13.0,13.0
2008-07-16,13.0,13.3,12.9,13.3
2008-07-18,13.3,13.4,12.6,12.6
2008-07-21,12.9,13.0,12.6,12.9
2008-07-22,12.8,12.9,12.3,12.3
2008-07-23,12.5,12.7,12.4,12.6
2008-07-24,12.6,12.6,12.3,12.4
2008-07-25,12.2,12.3,12.1,12.1
2008-07-28,12.1,12.2,11.7,12.0
2008-07-29,11.8,12.1,11.8,12.0
2008-07-30,12.0,12.0,11.8,11.9
2008-07-31,11.8,11.9,11.5,11.8
2008-08-01,11.6,11.7,11.4,11.5
2008-08-04,11.4,11.6,11.4,11.5
2008-08-05,11.5,11.7,11.3,11.6
2008-08-06,11.7,11.9,11.6,11.6
2008-08-07,11.6,12.2,11.6,12.2
2008-08-08,11.9,12.0,11.5,11.6
2008-08-11,12.0,12.4,11.9,12.1
2008-08-13,12.1,12.9,12.0,12.6
2008-08-14,12.8,12.8,12.5,12.7
2008-08-15,12.7,12.8,12.5,12.8
2008-08-18,12.7,12.7,12.2,12.2
2008-08-19,12.1,12.2,11.9,12.0
2008-08-20,12.0,12.1,11.9,12.0
2008-08-21,12.1,12.1,11.6,11.7
2008-08-22,11.7,11.8,11.6,11.8
2008-08-25,11.7,11.8,11.6,11.7
2008-08-26,11.5,11.6,11.3,11.3
2008-08-27,11.4,11.6,11.4,11.5
2008-08-28,11.5,11.8,11.5,11.6
2008-08-29,11.7,11.8,11.5,11.8
2008-09-01,11.6,11.6,11.4,11.5
2008-09-02,11.2,11.5,11.2,11.3
2008-09-03,11.3,11.3,11.1,11.2
2008-09-04,11.2,11.4,11.1,11.4
2008-09-05,11.2,11.3,11.2,11.3
2008-09-08,11.4,11.7,11.4,11.7
2008-09-09,11.6,11.7,11.4,11.6
2008-09-10,11.5,11.5,11.4,11.4
2008-09-11,11.4,11.5,11.2,11.2
2008-09-12,11.3,11.4,11.3,11.4
2008-09-15,11.4,11.4,11.1,11.1
2008-09-16,10.8,10.9,10.6,10.7
2008-09-17,10.9,10.9,10.3,10.5
2008-09-18,10.3,10.4,10.0,10.3
2008-09-19,10.7,11.0,10.6,11.0
2008-09-22,11.0,11.0,10.5,10.5
2008-09-23,10.4,10.6,10.3,10.6
2008-09-24,10.6,11.0,10.6,10.9
2008-09-25,10.8,10.9,10.7,10.9
2008-09-26,10.9,11.0,10.8,10.9
2008-09-29,11.0,11.1,10.4,10.5
2008-09-30,10.1,10.7,10.1,10.6
2008-10-01,10.7,10.8,10.6,10.8
2008-10-02,11.0,11.3,10.9,11.1
2008-10-03,11.1,11.1,10.7,10.8
2008-10-06,10.6,10.6,10.2,10.3
2008-10-07,10.0,10.2,9.8,9.8
2008-10-08,9.2,9.2,8.4,8.8
2008-10-09,8.8,8.8,7.8,8.8
2008-10-10,8.0,8.0,7.2,7.4
2008-10-13,7.6,7.8,7.4,7.6
2008-10-14,8.0,8.3,8.0,8.2
2008-10-15,8.0,8.1,7.5,7.6
2008-10-16,7.2,7.2,6.6,7.2
2008-10-17,7.1,7.3,6.8,7.0
2008-10-20,7.0,7.2,7.0,7.0
2008-10-21,7.2,7.2,7.0,7.0
2008-10-22,7.0,7.0,6.8,6.9
2008-10-24,6.9,6.9,4.8,6.0
2008-10-27,5.8,5.8,4.9,5.1
2008-10-28,5.2,5.4,5.0,5.2
2008-10-29,5.7,6.4,5.4,5.8
2008-10-30,6.2,7.6,6.2,7.4
2008-10-31,7.1,7.4,6.8,7.1
2008-11-03,7.4,7.6,7.3,7.3
2008-11-04,7.2,7.7,7.2,7.5
2008-11-05,7.8,7.9,7.0,7.2
2008-11-06,7.0,7.2,6.9,7.2
2008-11-07,7.3,7.6,7.2,7.4
2008-11-10,7.5,7.5,7.0,7.0
2008-11-11,7.0,7.0,6.6,6.6
2008-11-12,6.5,6.6,6.1,6.1
2008-11-13,5.8,5.8,5.4,5.7
2008-11-14,5.8,6.0,5.8,5.8
2008-11-17,5.8,6.2,5.8,6.2
2008-11-18,6.0,6.2,5.8,6.0
2008-11-19,6.0,6.4,6.0,6.2
2008-11-20,6.0,6.0,5.8,6.0
2008-11-21,5.9,6.2,5.8,6.0
2008-11-24,6.0,6.2,6.0,6.1
2008-11-25,6.3,6.6,6.2,6.6
2008-11-26,6.4,6.5,6.2,6.4
2008-11-27,6.4,6.6,6.4,6.4
2008-11-28,6.6,7.0,6.6,6.8
2008-12-01,6.9,7.0,6.7,6.7
2008-12-02,6.6,6.7,6.4,6.6
2008-12-03,6.8,6.8,6.6,6.6
2008-12-04,6.7,6.7,6.2,6.4
2008-12-08,6.4,7.0,6.4,7.0
2008-12-09,6.9,7.1,6.9,7.0
2008-12-11,7.0,7.2,6.6,6.7
2008-12-12,6.7,6.8,6.6,6.7
2008-12-15,6.8,6.8,6.5,6.6
2008-12-16,6.6,6.9,6.6,6.8
2008-12-17,6.9,7.0,6.8,6.8
2008-12-18,6.8,7.0,6.8,6.8
2008-12-19,6.8,6.8,6.7,6.7
2008-12-22,6.7,6.8,6.6,6.6
2008-12-23,6.6,6.8,6.5,6.8
2008-12-24,6.8,7.1,6.8,7.0
2008-12-25,7.0,7.1,7.0,7.0
2008-12-26,7.1,7.1,7.0,7.0
2008-12-29,7.0,7.0,7.0,7.0
2008-12-30,7.0,7.2,7.0,7.0
2009-01-02,7.0,7.0,7.0,7.0
2009-01-05,7.2,7.4,7.1,7.4
2009-01-06,7.4,7.6,7.3,7.4
2009-01-07,7.5,7.5,7.0,7.1
2009-01-08,6.9,7.0,6.8,6.9
2009-01-09,7.0,7.0,7.0,7.0
2009-01-12,7.2,7.2,7.0,7.1
2009-01-13,7.0,7.0,7.0,7.0
2009-01-14,7.0,7.1,6.9,7.0
2009-01-15,6.8,7.0,6.8,7.0
2009-01-16,7.0,7.0,7.0,7.0
2009-01-19,7.1,7.1,7.0,7.0
2009-01-20,7.0,7.1,7.0,7.1
2009-01-21,7.0,7.2,7.0,7.2
2009-01-22,7.2,7.2,7.1,7.1
2009-01-23,7.1,7.1,7.0,7.0
2009-01-26,7.0,7.2,7.0,7.1
2009-01-27,7.2,7.2,7.1,7.2
2009-01-28,7.2,7.2,7.2,7.2
2009-01-29,7.2,7.4,7.2,7.2
2009-01-30,7.2,7.4,7.2,7.4
2009-02-02,7.4,7.4,7.4,7.4
2009-02-03,7.4,7.6,7.4,7.4
2009-02-04,7.6,7.8,7.6,7.7
2009-02-05,7.8,7.9,7.6,7.8
2009-02-06,7.8,7.9,7.8,7.8
2009-02-10,7.8,7.9,7.6,7.8
2009-02-11,7.8,7.8,7.6,7.7
2009-02-12,7.8,7.8,7.6,7.6
2009-02-13,7.7,7.9,7.7,7.8
2009-02-16,7.8,8.0,7.8,8.0
2009-02-17,8.0,8.0,7.8,7.8
2009-02-18,7.8,8.0,7.8,8.0
2009-02-19,8.0,8.0,8.0,8.0
2009-02-20,8.0,8.0,7.8,7.8
2009-02-23,7.8,8.0,7.8,7.9
2009-02-24,7.8,7.9,7.8,7.8
2009-02-25,7.8,8.0,7.8,8.0
2009-02-26,8.0,8.1,8.0,8.0
2009-02-27,8.0,8.2,8.0,8.0
2009-03-02,8.0,8.0,7.8,7.9
2009-03-03,7.8,7.9,7.8,7.9
2009-03-04,7.8,7.9,7.8,7.8
2009-03-05,7.9,7.9,7.8,7.8
2009-03-06,7.8,7.8,7.8,7.8
2009-03-09,7.8,7.9,7.8,7.9
2009-03-10,8.0,8.0,7.9,8.0
2009-03-11,8.1,8.2,8.0,8.0
2009-03-12,8.0,8.2,8.0,8.1
2009-03-13,8.2,8.3,8.2,8.3
2009-03-16,8.2,8.6,8.2,8.6
2009-03-17,8.5,8.7,8.5,8.5
2009-03-18,8.6,9.1,8.6,8.9
2009-03-19,9.0,9.4,9.0,9.2
2009-03-20,9.2,9.4,9.2,9.4
