Date,Open,High,Low,Close
2007-01-03,20.8,20.8,19.7,19.9
2007-01-04,19.7,19.9,19.7,19.7
2007-01-05,19.7,19.7,19.2,19.7
2007-01-08,19.4,19.6,19.2,19.4
2007-01-09,18.3,19.6,18.3,18.3
2007-01-10,17.9,18.4,17.6,17.9
2007-01-11,18.6,18.9,18.0,18.6
2007-01-12,19.1,19.3,18.9,19.1
2007-01-15,20.2,20.5,19.2,20.2
2007-01-16,20.2,20.7,20.0,20.7
2007-01-17,20.4,20.8,20.4,20.7
2007-01-18,20.8,20.8,20.6,20.7
2007-01-19,20.7,20.9,20.6,20.8
2007-01-22,20.7,20.7,20.6,20.6
2007-01-23,20.5,20.5,20.4,20.5
2007-01-24,20.5,21.0,20.5,20.8
2007-01-25,20.8,20.8,20.6,20.7
2007-01-26,20.6,20.7,20.4,20.6
2007-01-29,20.6,20.6,20.2,20.2
2007-01-30,20.2,20.3,19.7,19.8
2007-01-31,19.7,19.9,19.7,19.7
2007-02-01,19.7,19.9,19.7,19.9
2007-02-02,19.9,20.3,19.9,20.1
2007-02-05,20.4,20.4,20.2,20.3
2007-02-06,20.5,20.5,20.2,20.2
2007-02-07,20.2,20.3,20.1,20.1
2007-02-08,20.1,20.6,20.1,20.4
2007-02-09,20.5,20.6,20.3,20.4
2007-02-12,20.4,20.4,20.3,20.3
2007-02-13,20.4,20.4,20.0,20.2
2007-02-14,20.2,20.3,20.1,20.2
2007-02-15,20.3,20.3,19.9,19.9
2007-02-16,19.9,19.9,19.8,19.9
2007-02-19,19.7,20.0,19.7,20.0
2007-02-20,20.0,20.0,19.9,20.0
2007-02-21,20.0,20.0,19.9,19.9
2007-02-22,20.0,20.1,20.0,20.0
2007-02-23,20.0,20.0,19.9,20.0
2007-02-26,19.9,19.9,19.9,19.9
2007-02-27,20.0,20.1,19.9,19.9
2007-02-28,19.2,20.2,19.2,20.2
2007-03-01,20.4,21.1,20.3,20.9
2007-03-02,21.0,21.2,20.9,21.0
2007-03-06,21.0,21.0,20.7,20.9
2007-03-07,21.0,21.1,20.9,20.9
2007-03-08,20.9,20.9,20.8,20.9
2007-03-09,21.1,21.2,21.0,21.1
2007-03-12,21.2,21.6,21.2,21.6
2007-03-13,21.6,21.9,21.6,21.9
2007-03-14,21.6,22.0,21.6,21.6
2007-03-15,21.7,22.0,21.7,22.0
2007-03-16,22.1,22.7,22.1,22.4
2007-03-19,22.5,22.5,22.3,22.3
2007-03-20,22.4,22.5,22.3,22.5
2007-03-21,22.5,22.5,22.2,22.4
2007-03-22,22.4,22.4,22.2,22.3
2007-03-23,22.4,22.7,22.3,22.6
2007-03-26,22.6,22.6,22.3,22.3
2007-03-27,20.1,20.7,20.1,20.4
2007-03-28,20.4,20.8,20.3,20.3
2007-03-29,20.1,20.2,19.9,20.0
2007-03-30,20.1,20.1,19.9,20.0
2007-04-02,20.0,20.0,19.9,19.9
2007-04-03,19.7,19.9,19.5,19.9
2007-04-04,19.9,19.9,19.7,19.8
2007-04-05,19.8,19.8,19.7,19.8
2007-04-09,19.8,19.9,19.7,19.7
2007-04-10,19.7,19.7,19.6,19.7
2007-04-11,19.8,19.9,19.8,19.9
2007-04-12,19.9,20.0,19.8,20.0
2007-04-17,20.0,20.6,20.0,20.5
2007-04-18,20.5,20.5,20.3,20.3
2007-04-19,20.2,20.3,20.0,20.1
2007-04-20,20.1,20.3,20.1,20.2
2007-04-23,20.3,20.4,20.2,20.3
2007-04-24,20.3,20.3,20.1,20.1
2007-04-25,20.1,21.6,20.1,21.6
2007-04-26,21.5,21.6,21.2,21.2
2007-04-27,21.2,21.5,20.9,21.0
2007-04-30,21.1,21.3,21.0,21.2
2007-05-02,21.2,21.3,21.0,21.1
2007-05-03,21.2,21.4,21.2,21.3
2007-05-04,21.4,21.7,21.3,21.5
2007-05-08,21.5,21.5,21.2,21.5
2007-05-09,21.5,21.5,21.3,21.4
2007-05-10,21.4,21.5,21.2,21.2
2007-05-11,21.2,21.4,21.2,21.3
2007-05-14,21.5,22.2,21.5,21.8
2007-05-15,22.1,22.1,21.6,21.6
2007-05-16,21.6,21.9,21.5,21.7
2007-05-17,21.7,22.0,21.7,21.7
2007-05-18,21.9,22.1,21.7,21.7
2007-05-21,21.7,22.0,21.6,21.7
2007-05-22,21.7,22.7,21.7,22.3
2007-05-23,22.5,22.8,22.3,22.6
2007-05-24,22.4,22.5,21.7,21.8
2007-05-25,21.9,22.2,21.8,21.8
2007-05-28,21.8,22.5,21.8,22.3
2007-05-29,22.2,22.5,22.2,22.5
2007-05-30,22.4,22.8,22.1,22.1
2007-06-01,22.1,22.5,22.1,22.5
2007-06-04,24.3,25.3,23.9,24.6
2007-06-05,25.1,25.1,24.1,24.1
2007-06-06,24.1,24.3,23.9,23.9
2007-06-07,23.6,23.9,23.6,23.6
2007-06-08,23.3,23.9,23.3,23.5
2007-06-11,23.6,24.1,23.6,24.1
2007-06-12,24.1,24.1,23.6,23.6
2007-06-13,23.6,23.6,22.4,23.1
2007-06-14,23.6,24.1,23.3,24.1
2007-06-15,24.1,24.3,23.9,24.3
2007-06-18,25.1,26.5,24.8,25.8
2007-06-19,25.8,26.9,25.3,26.2
2007-06-20,26.2,27.2,26.2,26.9
2007-06-21,26.7,26.9,26.0,26.2
2007-06-22,26.5,26.7,26.0,26.0
2007-06-25,25.8,26.0,25.5,25.5
2007-06-26,25.8,26.0,25.3,25.5
2007-06-27,25.5,26.7,25.5,26.2
2007-06-28,26.5,26.5,25.8,26.2
2007-06-29,26.2,26.2,26.0,26.0
2007-07-02,26.2,26.9,26.2,26.2
2007-07-03,26.9,27.9,26.9,27.4
2007-07-04,27.7,29.8,27.4,29.3
2007-07-05,29.8,30.0,27.7,28.1
2007-07-06,28.1,28.8,27.4,28.8
2007-07-09,29.3,29.3,28.4,28.4
2007-07-10,28.1,29.1,28.1,28.8
2007-07-11,28.4,28.8,28.4,28.8
2007-07-12,28.6,28.8,28.4,28.8
2007-07-13,29.5,29.8,28.8,29.1
2007-07-16,29.3,29.8,29.1,29.1
2007-07-17,29.5,31.2,29.3,31.2
2007-07-18,31.9,32.4,31.2,31.4
2007-07-19,31.4,31.4,30.0,30.2
2007-07-20,31.2,32.4,31.2,31.7
2007-07-23,31.2,32.4,31.0,32.1
2007-07-24,32.8,32.8,32.1,32.4
2007-07-25,32.1,32.4,31.0,31.7
2007-07-26,31.9,31.9,30.2,30.2
2007-07-27,29.1,29.8,28.6,29.3
2007-07-31,29.3,29.3,28.1,29.1
2007-08-01,29.1,29.1,26.9,27.4
2007-08-02,28.1,28.1,26.9,27.7
2007-08-03,28.1,28.6,28.1,28.4
2007-08-06,26.7,27.9,26.7,27.7
2007-08-07,28.1,28.4,27.2,27.4
2007-08-08,27.4,28.1,27.4,27.9
2007-08-09,28.4,28.4,26.7,26.9
2007-08-10,26.2,26.9,26.2,26.5
2007-08-14,26.5,27.4,26.5,27.4
2007-08-15,26.9,27.2,26.5,27.2
2007-08-16,26.5,26.5,25.8,25.8
2007-08-17,26.2,26.2,24.6,25.8
2007-08-20,26.9,27.7,26.7,27.4
2007-08-21,27.7,27.7,25.5,26.5
2007-08-22,26.9,26.9,26.2,26.7
2007-08-23,27.2,27.2,26.0,26.2
2007-08-24,26.0,26.5,26.0,26.2
2007-08-27,26.7,26.9,26.5,26.5
2007-08-28,26.2,26.5,26.0,26.2
2007-08-29,26.0,26.0,25.3,26.0
2007-08-30,26.2,26.2,25.3,25.5
2007-08-31,25.8,26.7,25.5,26.5
2007-09-03,26.5,26.5,26.2,26.2
2007-09-04,26.2,26.5,25.5,25.5
2007-09-05,26.0,26.5,26.0,26.5
2007-09-06,26.2,26.2,26.0,26.0
2007-09-07,26.2,26.2,26.0,26.0
2007-09-10,25.8,26.2,25.5,26.2
2007-09-11,26.2,26.2,25.8,26.0
2007-09-12,26.0,26.2,25.8,26.2
2007-09-13,26.2,26.5,26.2,26.2
2007-09-14,26.2,26.5,26.0,26.2
2007-09-17,26.2,26.2,26.0,26.2
2007-09-18,26.2,26.2,26.0,26.0
2007-09-19,26.7,26.9,26.2,26.9
2007-09-20,26.7,26.9,26.5,26.9
2007-09-21,26.9,27.9,26.5,27.7
2007-09-24,28.1,28.4,27.7,27.9
2007-09-25,27.7,28.1,27.7,28.1
2007-09-26,28.1,29.1,27.9,28.8
2007-09-27,28.8,28.8,28.1,28.4
2007-09-28,28.4,28.6,28.1,28.4
2007-10-01,28.4,29.3,28.4,29.1
2007-10-02,29.3,29.8,29.3,29.8
2007-10-03,29.8,30.0,29.1,30.0
2007-10-04,30.0,30.0,29.3,30.0
2007-10-05,29.8,30.2,29.5,30.2
2007-10-08,30.0,30.5,30.0,30.2
2007-10-09,30.2,30.7,29.8,29.8
2007-10-10,30.0,30.2,30.0,30.0
2007-10-11,30.0,30.0,28.8,29.8
2007-10-12,29.5,29.5,28.8,28.8
2007-10-15,29.1,29.5,28.8,28.8
2007-10-16,28.8,28.8,27.4,27.7
2007-10-17,27.4,27.9,27.2,27.4
2007-10-18,27.7,27.7,27.2,27.2
2007-10-19,27.4,27.4,27.2,27.4
2007-10-22,26.9,27.4,26.9,27.2
2007-10-24,27.2,27.7,27.2,27.2
2007-10-25,27.2,27.9,27.2,27.9
2007-10-26,28.1,28.4,27.7,27.9
2007-10-29,28.1,28.1,27.7,27.9
2007-10-30,27.9,28.1,27.7,27.7
2007-10-31,27.7,28.6,27.7,28.4
2007-11-01,28.6,28.6,27.9,28.1
2007-11-02,27.7,27.9,27.4,27.4
2007-11-05,27.2,27.2,26.5,26.7
2007-11-06,26.7,26.7,26.2,26.7
2007-11-07,26.5,26.5,25.5,25.5
2007-11-08,25.5,25.5,24.6,25.3
2007-11-09,25.3,25.3,24.8,25.1
2007-11-12,24.8,25.1,24.3,24.8
2007-11-13,24.8,25.3,24.8,24.8
2007-11-14,25.3,26.0,25.3,26.0
2007-11-15,26.0,26.0,25.1,25.3
2007-11-16,24.8,25.1,24.8,24.8
2007-11-19,25.1,25.1,24.6,24.8
2007-11-20,24.6,25.3,24.6,25.3
2007-11-21,25.1,25.1,24.6,24.6
2007-11-22,24.6,25.1,24.6,25.1
2007-11-23,25.1,25.1,24.6,25.1
2007-11-26,25.3,25.8,25.1,25.8
2007-11-27,25.3,25.5,24.8,25.3
2007-11-28,25.5,25.5,25.1,25.1
2007-11-29,25.3,25.8,25.3,25.3
2007-11-30,25.5,25.5,25.3,25.5
2007-12-03,25.5,25.5,24.8,25.1
2007-12-04,24.8,25.3,24.8,25.3
2007-12-06,25.3,25.5,25.3,25.5
2007-12-07,25.8,26.0,25.8,26.0
2007-12-11,26.0,26.2,25.5,26.2
2007-12-12,25.8,26.0,25.5,26.0
2007-12-13,25.8,25.8,25.3,25.8
2007-12-14,25.8,25.8,25.3,25.8
2007-12-17,25.5,25.5,24.8,25.1
2007-12-18,24.8,25.3,24.8,25.3
2007-12-19,25.3,25.5,25.3,25.5
2007-12-20,25.5,25.8,25.3,25.8
