Date,Open,High,Low,Close
2007-01-03,50.0,51.5,50.0,51.0
2007-01-04,50.5,51.5,50.5,51.0
2007-01-05,50.0,50.0,48.5,48.5
2007-01-08,48.8,49.2,47.8,48.5
2007-01-09,48.8,48.8,46.5,46.5
2007-01-10,45.5,47.2,45.2,47.2
2007-01-11,47.2,52.0,47.2,52.0
2007-01-12,55.0,55.0,54.0,54.0
2007-01-15,54.5,56.0,54.5,55.5
2007-01-16,56.0,56.0,54.5,54.5
2007-01-17,54.5,55.0,54.0,54.0
2007-01-18,54.5,54.5,53.5,54.0
2007-01-19,54.0,55.0,54.0,54.5
2007-01-22,55.0,55.0,54.5,55.0
2007-01-23,55.0,55.5,54.5,55.5
2007-01-24,56.5,57.5,56.5,57.5
2007-01-25,58.0,58.5,57.0,58.0
2007-01-26,57.0,58.0,57.0,57.5
2007-01-29,58.0,58.5,58.0,58.5
2007-01-30,58.0,58.0,57.0,57.0
2007-01-31,58.0,58.5,57.5,57.5
2007-02-01,58.5,58.5,58.0,58.0
2007-02-02,58.0,59.5,58.0,59.0
2007-02-05,59.0,59.5,58.5,59.0
2007-02-06,59.5,59.5,58.0,58.5
2007-02-07,59.0,59.0,58.5,58.5
2007-02-08,58.5,59.5,58.5,58.5
2007-02-09,59.0,59.0,58.0,58.0
2007-02-12,57.0,57.5,56.0,56.5
2007-02-13,56.5,56.5,55.5,55.5
2007-02-14,56.0,56.5,55.5,56.0
2007-02-15,56.0,56.5,55.0,55.5
2007-02-16,55.5,56.0,54.5,54.5
2007-02-19,55.0,56.0,55.0,55.5
2007-02-20,56.0,56.5,56.0,56.5
2007-02-21,57.0,57.5,56.5,57.0
2007-02-22,57.5,58.0,56.5,57.0
2007-02-23,57.5,57.5,56.5,56.5
2007-02-26,56.5,57.0,56.5,57.0
2007-02-27,56.5,57.0,56.0,56.5
2007-02-28,54.5,56.0,54.5,56.0
2007-03-01,56.0,56.0,55.0,56.0
2007-03-02,56.0,56.0,55.5,56.0
2007-03-06,55.5,56.0,55.5,56.0
2007-03-07,56.5,56.5,56.0,56.5
2007-03-08,56.5,57.5,56.5,57.5
2007-03-09,57.5,58.0,57.5,57.5
