Date,Open,High,Low,Close
2008-01-02,40.5,41.0,39.5,39.8
2008-01-03,39.5,40.2,39.5,40.2
2008-01-04,40.0,40.2,39.5,39.8
2008-01-07,39.8,40.0,39.8,40.0
2008-01-08,39.8,40.0,39.5,40.0
2008-01-09,40.0,40.0,39.5,40.0
2008-01-10,40.0,41.0,39.8,40.0
2008-01-11,40.0,40.2,39.8,40.0
2008-01-14,39.8,40.5,39.8,40.5
2008-01-15,40.5,40.8,40.2,40.8
2008-01-16,39.8,40.0,39.2,39.8
2008-01-17,39.2,39.5,39.2,39.5
2008-01-18,39.5,39.5,38.5,39.0
2008-01-21,39.0,39.0,37.0,37.0
2008-01-22,36.2,36.2,34.8,35.0
2008-01-23,35.5,35.8,35.0,35.8
2008-01-24,35.0,35.0,33.2,33.2
2008-01-25,34.0,34.8,33.8,34.8
2008-01-28,34.5,35.0,34.2,35.0
2008-01-29,35.0,35.5,34.8,35.0
2008-01-30,35.2,36.0,35.0,36.0
2008-01-31,36.0,36.8,35.8,36.8
2008-02-01,37.0,38.0,37.0,37.0
2008-02-04,37.2,37.8,37.0,37.8
2008-02-05,38.0,38.2,37.8,38.2
2008-02-06,37.2,37.8,37.2,37.8
2008-02-07,38.2,38.2,38.0,38.0
2008-02-08,38.0,38.5,38.0,38.5
2008-02-11,39.0,39.8,38.8,39.0
2008-02-12,39.2,39.8,39.2,39.2
2008-02-13,40.0,40.0,39.8,39.8
2008-02-14,40.0,40.2,39.8,40.0
2008-02-15,39.8,40.0,39.8,40.0
2008-02-18,40.0,40.0,39.5,39.8
2008-02-19,39.2,39.8,38.8,39.8
2008-02-20,39.8,39.8,39.2,39.8
2008-02-22,39.8,39.8,39.2,39.2
2008-02-25,39.2,39.5,39.0,39.0
2008-02-26,39.5,39.5,39.0,39.0
2008-02-27,39.0,39.0,38.5,38.8
2008-02-28,38.8,38.8,38.8,38.8
2008-02-29,38.8,38.8,37.0,37.0
2008-03-03,37.8,37.8,35.2,35.8
2008-03-04,36.2,36.8,36.0,36.0
2008-03-05,36.5,36.5,35.8,36.0
2008-03-06,35.8,35.8,35.0,35.5
2008-03-07,35.5,35.5,34.5,35.0
2008-03-10,35.0,35.2,34.5,34.8
2008-03-11,34.8,35.2,34.2,34.8
2008-03-12,35.2,35.2,34.8,35.0
2008-03-13,35.0,35.2,34.5,35.0
2008-03-14,34.8,35.0,34.5,34.8
2008-03-17,34.8,34.8,34.0,34.5
2008-03-18,34.5,34.5,33.5,34.2
2008-03-19,34.5,34.5,34.0,34.2
2008-03-20,34.2,34.2,33.5,33.8
2008-03-21,34.0,34.2,34.0,34.2
2008-03-24,34.0,34.2,34.0,34.2
2008-03-25,34.2,34.2,33.5,33.5
2008-03-26,33.5,34.2,33.5,34.2
2008-03-27,34.5,34.8,34.5,34.5
2008-03-28,34.5,34.8,34.2,34.8
2008-03-31,34.8,34.8,34.0,34.0
2008-04-01,34.5,34.5,33.5,33.8
2008-04-02,34.2,34.2,32.2,32.8
2008-04-03,32.8,33.2,32.8,33.0
2008-04-04,33.2,33.2,33.0,33.0
2008-04-08,33.0,33.5,33.0,33.2
2008-04-09,33.2,33.2,32.5,32.8
2008-04-10,33.0,33.2,32.8,33.2
2008-04-11,33.2,33.2,32.8,32.8
2008-04-16,32.8,33.2,31.5,31.5
2008-04-17,31.5,31.8,30.8,31.0
2008-04-18,31.5,31.5,31.0,31.2
2008-04-21,31.2,32.0,31.2,31.8
2008-04-22,32.0,33.0,32.0,32.2
2008-04-23,32.5,32.5,32.0,32.2
2008-04-24,32.5,32.5,32.2,32.2
2008-04-25,32.5,32.8,32.0,32.5
2008-04-28,32.8,32.8,32.5,32.5
2008-04-29,32.0,32.2,31.8,32.0
2008-04-30,32.0,32.8,32.0,32.2
2008-05-02,32.2,33.2,32.2,33.0
2008-05-06,33.0,35.0,33.0,35.0
2008-05-07,35.5,35.5,34.2,35.0
2008-05-08,34.8,35.8,34.8,35.0
2008-05-09,35.2,35.5,35.0,35.2
2008-05-12,35.5,36.2,35.5,36.0
2008-05-13,36.0,36.2,35.2,35.5
2008-05-14,35.5,35.8,35.0,35.0
2008-05-15,35.0,35.5,34.8,35.2
2008-05-16,35.0,35.5,34.8,35.0
2008-05-20,35.0,35.2,34.2,34.2
2008-05-21,34.2,35.0,34.0,34.5
2008-05-22,34.5,34.8,34.2,34.8
2008-05-23,34.8,36.5,34.8,36.0
2008-05-26,35.8,36.0,35.0,35.5
2008-05-27,35.5,37.0,35.5,36.5
2008-05-28,36.5,38.0,36.5,37.8
2008-05-29,38.0,38.2,37.0,37.2
2008-05-30,37.2,38.2,37.2,37.5
2008-06-02,37.0,37.0,34.8,35.0
2008-06-03,34.5,35.2,34.5,35.2
2008-06-04,35.2,36.2,35.2,36.0
2008-06-05,36.5,36.8,35.8,36.8
2008-06-06,36.8,37.8,36.8,37.8
2008-06-09,37.5,37.5,36.8,37.2
2008-06-10,37.5,37.8,36.5,37.2
2008-06-11,37.0,37.0,36.5,36.5
2008-06-12,36.2,36.2,34.8,35.0
2008-06-13,35.2,35.2,34.8,34.8
2008-06-16,34.8,36.5,34.8,36.0
2008-06-17,36.0,36.0,35.8,36.0
2008-06-18,36.0,37.0,35.8,35.8
2008-06-19,36.0,36.0,35.2,36.0
2008-06-20,35.2,35.8,35.0,35.8
2008-06-23,35.8,35.8,34.8,35.0
2008-06-24,35.0,35.0,34.8,34.8
2008-06-25,35.0,35.5,35.0,35.2
2008-06-26,35.0,35.2,34.0,34.5
2008-06-27,34.5,36.0,34.0,35.5
2008-06-30,35.5,35.5,35.2,35.2
2008-07-02,35.2,36.0,35.2,36.0
2008-07-03,36.0,36.0,35.0,36.0
2008-07-04,35.5,36.0,35.5,35.8
2008-07-07,35.8,35.8,35.5,35.5
2008-07-08,35.8,35.8,35.2,35.5
2008-07-09,35.8,36.0,35.8,36.0
2008-07-10,35.8,37.0,35.8,36.5
2008-07-11,36.5,36.8,35.8,35.8
2008-07-14,36.0,36.8,35.8,36.0
2008-07-15,36.5,36.5,35.0,35.0
2008-07-16,35.0,36.0,34.8,35.5
2008-07-18,35.5,36.0,35.0,36.0
2008-07-21,36.0,37.0,35.5,37.0
2008-07-22,37.0,37.0,36.0,36.8
2008-07-23,37.2,38.0,36.5,36.8
2008-07-24,37.2,37.2,36.8,36.8
2008-07-25,36.2,37.0,36.2,36.8
2008-07-28,36.8,37.0,36.2,36.5
2008-07-29,36.5,36.5,35.8,35.8
2008-07-30,36.2,36.5,35.8,36.5
2008-07-31,37.0,37.0,36.5,36.8
2008-08-01,36.8,36.8,36.0,36.5
2008-08-04,36.8,37.0,36.8,37.0
2008-08-05,37.0,37.0,36.2,36.5
2008-08-06,36.8,37.0,36.5,36.8
2008-08-07,37.0,37.8,36.8,36.8
2008-08-08,37.2,37.8,37.0,37.8
2008-08-11,38.0,38.5,37.8,37.8
2008-08-13,37.8,39.0,37.8,38.5
2008-08-14,39.0,39.0,38.2,38.2
2008-08-15,38.8,39.0,38.2,39.0
2008-08-18,39.2,39.5,39.0,39.5
2008-08-19,39.0,39.2,38.5,39.0
2008-08-20,38.8,39.0,38.2,38.5
2008-08-21,38.5,38.8,38.0,38.0
2008-08-22,38.0,38.0,37.8,38.0
2008-08-25,38.0,38.0,36.8,36.8
2008-08-26,36.8,37.0,36.2,37.0
2008-08-27,37.0,37.5,36.8,37.2
2008-08-28,37.5,37.8,37.2,37.2
2008-08-29,37.5,37.5,37.0,37.5
2008-09-01,37.0,37.5,37.0,37.0
2008-09-02,36.8,36.8,36.0,36.8
2008-09-03,36.5,36.8,36.5,36.5
2008-09-04,36.2,36.8,36.0,36.8
2008-09-05,36.0,36.2,35.5,35.8
2008-09-08,35.8,36.2,35.8,36.2
2008-09-09,35.8,35.8,35.0,35.8
2008-09-10,36.0,36.0,35.2,35.5
2008-09-11,35.0,35.0,33.0,33.0
2008-09-12,33.2,34.2,33.2,34.2
2008-09-15,34.5,34.5,34.0,34.5
2008-09-16,34.0,34.0,33.2,33.8
2008-09-17,33.8,34.0,33.5,34.0
2008-09-18,33.2,33.2,31.8,33.0
2008-09-19,32.8,33.8,32.8,33.8
2008-09-22,33.8,33.8,33.2,33.2
2008-09-23,33.2,33.2,32.2,32.5
2008-09-24,32.8,33.5,32.5,33.5
2008-09-25,33.5,33.5,32.5,32.8
2008-09-26,32.0,33.0,32.0,33.0
2008-09-29,32.8,33.0,32.0,32.5
2008-09-30,31.0,32.2,30.8,32.0
2008-10-01,32.5,32.5,32.0,32.5
2008-10-02,32.2,32.5,32.0,32.5
2008-10-03,32.2,32.5,31.8,31.8
2008-10-06,31.0,31.0,29.8,30.5
2008-10-07,28.5,29.0,28.0,28.0
2008-10-08,27.0,27.8,25.5,27.0
2008-10-09,26.8,28.2,26.5,27.2
2008-10-10,25.5,25.8,24.7,24.8
2008-10-13,24.5,24.5,24.1,24.4
2008-10-14,25.8,26.0,25.2,25.8
2008-10-15,25.8,26.0,25.5,25.5
2008-10-16,25.0,25.5,24.5,25.5
2008-10-17,25.5,25.5,25.0,25.0
2008-10-20,24.7,24.9,24.5,24.5
2008-10-21,24.8,25.0,24.7,24.7
