Date,Open,High,Low,Close
2008-01-02,12.6,12.6,12.0,12.1
2008-01-03,12.0,12.0,11.8,11.8
2008-01-04,11.8,12.0,11.6,11.6
2008-01-07,11.6,11.6,11.4,11.5
2008-01-08,11.6,11.9,11.6,11.9
2008-01-09,11.8,12.0,11.7,12.0
2008-01-10,11.9,12.0,11.7,11.7
2008-01-11,11.8,12.0,11.6,11.7
2008-01-14,11.6,11.6,11.6,11.6
2008-01-15,11.6,11.7,11.4,11.4
2008-01-16,11.4,11.4,10.9,11.0
2008-01-17,11.1,11.4,11.0,11.2
2008-01-18,11.0,11.2,11.0,11.0
2008-01-21,11.2,11.4,11.0,11.0
2008-01-22,10.8,10.8,10.0,10.2
2008-01-23,10.5,10.5,10.0,10.1
2008-01-24,10.1,10.2,9.9,9.9
2008-01-25,10.0,10.3,10.0,10.1
2008-01-28,10.0,10.0,9.8,10.0
2008-01-29,10.2,10.2,10.0,10.2
2008-01-30,10.1,10.2,9.9,10.2
2008-01-31,10.2,11.5,10.2,11.5
2008-02-01,11.7,12.8,11.6,12.6
2008-02-04,12.8,13.1,12.4,12.4
2008-02-05,12.5,12.5,12.2,12.2
2008-02-06,11.8,12.1,11.8,12.0
2008-02-07,12.2,12.2,12.1,12.2
2008-02-08,12.4,13.2,12.4,13.2
2008-02-11,13.2,13.2,12.6,12.8
2008-02-12,12.8,13.1,12.8,13.0
2008-02-13,13.0,13.9,13.0,13.6
2008-02-14,13.8,14.1,13.4,13.4
2008-02-15,13.1,13.8,13.0,13.8
2008-02-18,13.9,14.1,13.6,13.9
2008-02-19,14.2,15.0,14.1,14.9
2008-02-20,15.1,15.1,14.0,14.2
2008-02-22,14.2,14.2,13.8,13.8
2008-02-25,14.0,14.4,13.9,13.9
2008-02-26,14.0,14.2,13.1,13.8
2008-02-27,13.8,13.8,13.2,13.2
2008-02-28,13.2,13.5,12.8,13.5
2008-02-29,13.5,14.9,13.2,14.1
2008-03-03,14.6,15.0,14.5,14.6
2008-03-04,14.6,14.6,14.0,14.0
2008-03-05,14.1,14.1,13.2,13.6
2008-03-06,13.8,14.4,13.8,13.9
2008-03-07,13.8,13.9,13.6,13.8
2008-03-10,13.4,13.9,13.4,13.9
2008-03-11,13.8,14.2,13.6,14.0
2008-03-12,14.4,14.5,14.1,14.4
2008-03-13,14.4,14.4,13.6,13.6
2008-03-14,13.6,13.9,13.4,13.5
2008-03-17,13.1,13.5,13.1,13.5
2008-03-18,13.2,14.2,13.2,14.2
2008-03-19,14.5,14.5,14.1,14.4
2008-03-20,13.9,14.0,13.6,13.8
2008-03-21,14.0,14.0,13.6,13.6
2008-03-24,13.9,13.9,13.6,13.8
2008-03-25,13.9,14.1,13.5,13.6
2008-03-26,13.6,14.0,13.6,13.6
2008-03-27,13.8,13.9,13.6,13.9
2008-03-28,13.9,13.9,13.6,13.8
2008-03-31,13.8,14.1,13.6,14.1
2008-04-01,14.1,14.1,13.9,13.9
2008-04-02,14.1,14.4,14.1,14.2
2008-04-03,14.4,14.5,14.2,14.4
2008-04-04,14.5,14.5,14.4,14.5
2008-04-08,14.6,14.6,14.1,14.2
2008-04-09,14.1,14.1,13.9,14.0
2008-04-10,14.1,14.1,13.6,14.0
2008-04-11,14.0,14.1,14.0,14.1
2008-04-16,14.2,14.5,14.2,14.4
2008-04-17,14.5,14.5,14.4,14.4
2008-04-18,14.2,14.5,14.2,14.5
2008-04-21,14.4,14.5,14.4,14.5
2008-04-22,14.4,14.5,14.2,14.4
2008-04-23,14.2,14.2,13.8,13.8
2008-04-24,13.8,14.0,13.8,13.8
2008-04-25,13.9,14.0,13.8,14.0
2008-04-28,14.0,14.0,13.9,13.9
2008-04-29,14.0,14.1,13.9,13.9
2008-04-30,13.9,14.4,13.9,14.4
2008-05-02,14.2,14.5,14.1,14.4
2008-05-06,14.5,14.5,14.0,14.2
2008-05-07,14.2,14.2,13.8,13.8
2008-05-08,13.8,13.9,13.5,13.5
2008-05-09,13.5,13.6,13.1,13.2
2008-05-12,13.2,13.2,12.6,12.9
2008-05-13,12.9,13.0,12.8,12.8
2008-05-14,12.8,12.8,12.4,12.4
2008-05-15,12.6,12.9,12.6,12.8
2008-05-16,13.2,14.0,13.2,13.9
2008-05-20,14.0,14.0,13.4,13.4
2008-05-21,13.4,13.4,13.0,13.4
2008-05-22,13.4,13.4,13.0,13.2
2008-05-23,13.2,13.9,13.2,13.8
2008-05-26,13.6,13.9,13.2,13.9
2008-05-27,13.9,14.0,13.8,13.9
2008-05-28,14.0,14.0,13.4,13.4
2008-05-29,13.4,13.4,12.9,12.9
2008-05-30,12.9,13.0,12.5,12.5
2008-06-02,12.6,12.6,12.4,12.6
2008-06-03,12.6,12.8,12.5,12.8
2008-06-04,12.8,12.9,12.6,12.9
2008-06-05,12.9,13.0,12.6,12.8
2008-06-06,12.9,13.1,12.6,12.6
2008-06-09,12.5,12.8,12.5,12.8
2008-06-10,12.6,12.8,12.4,12.4
2008-06-11,12.4,12.6,12.4,12.4
2008-06-12,12.4,12.4,12.3,12.4
2008-06-13,12.4,12.4,12.1,12.1
2008-06-16,12.2,12.2,12.0,12.0
2008-06-17,12.0,12.0,11.6,11.8
2008-06-18,11.8,11.8,11.7,11.8
2008-06-19,11.6,11.8,11.4,11.6
2008-06-20,11.6,11.8,11.0,11.8
2008-06-23,11.4,11.8,11.3,11.8
2008-06-24,11.8,11.8,11.5,11.7
2008-06-25,11.6,11.9,11.6,11.9
2008-06-26,12.0,12.2,12.0,12.0
2008-06-27,11.8,12.0,11.6,12.0
2008-06-30,12.0,12.0,11.7,11.7
2008-07-02,11.6,11.8,11.0,11.2
2008-07-03,11.2,11.2,10.8,11.0
2008-07-04,11.0,11.0,10.8,10.8
2008-07-07,10.8,10.8,10.5,10.6
2008-07-08,10.6,10.7,10.4,10.7
2008-07-09,10.8,11.0,10.5,10.8
2008-07-10,10.8,10.9,10.6,10.7
2008-07-11,10.8,11.0,10.6,10.8
2008-07-14,10.8,10.8,10.6,10.6
2008-07-15,10.5,10.6,10.4,10.4
2008-07-16,10.3,10.6,9.4,9.4
2008-07-18,9.7,9.8,9.4,9.4
2008-07-21,9.6,9.8,9.4,9.6
2008-07-22,9.6,9.8,9.3,9.4
2008-07-23,9.6,10.2,9.5,10.2
2008-07-24,10.2,11.1,10.0,10.8
2008-07-25,10.6,10.7,10.5,10.6
2008-07-28,10.6,10.7,10.4,10.6
2008-07-29,10.4,10.5,10.1,10.2
2008-07-30,10.4,10.6,10.2,10.2
2008-07-31,10.3,10.3,9.9,10.0
2008-08-01,10.0,10.3,10.0,10.2
2008-08-04,10.2,10.2,10.0,10.0
2008-08-05,10.0,10.0,9.7,9.8
2008-08-06,10.0,10.2,9.8,10.0
2008-08-07,10.1,10.8,10.0,10.8
2008-08-08,10.5,10.6,10.2,10.2
2008-08-11,10.6,11.1,10.6,10.7
2008-08-13,10.6,11.0,10.5,10.8
2008-08-14,10.8,10.8,10.4,10.6
2008-08-15,10.8,10.8,10.5,10.6
2008-08-18,10.4,10.6,10.4,10.5
2008-08-19,10.4,10.5,10.2,10.3
2008-08-20,10.4,10.4,10.0,10.2
2008-08-21,10.2,10.2,10.0,10.0
2008-08-22,10.2,10.2,10.0,10.2
2008-08-25,10.2,10.2,10.0,10.0
2008-08-26,10.0,10.0,9.9,10.0
2008-08-27,10.0,10.2,10.0,10.2
2008-08-28,10.2,10.4,10.2,10.4
2008-08-29,10.5,10.5,10.2,10.2
2008-09-01,10.2,10.3,10.0,10.2
2008-09-02,9.9,10.0,9.6,9.8
2008-09-03,9.8,9.8,9.6,9.7
2008-09-04,9.6,9.7,9.5,9.7
2008-09-05,9.6,9.6,9.4,9.6
2008-09-08,9.6,9.8,9.6,9.8
2008-09-09,9.8,9.8,9.6,9.7
2008-09-10,9.6,9.7,9.6,9.7
2008-09-11,9.7,9.8,9.5,9.6
2008-09-12,9.6,9.7,9.6,9.7
2008-09-15,9.6,9.6,9.5,9.6
2008-09-16,9.4,9.4,9.2,9.3
2008-09-17,9.4,9.4,9.0,9.2
2008-09-18,9.0,9.0,8.5,8.9
2008-09-19,9.2,9.4,9.0,9.2
2008-09-22,9.3,9.4,9.0,9.2
2008-09-23,9.2,9.2,8.8,8.8
2008-09-24,8.9,9.1,8.8,9.0
2008-09-25,9.0,9.0,8.8,8.8
2008-09-26,8.8,8.8,8.6,8.6
2008-09-29,8.6,8.6,8.2,8.2
2008-09-30,7.6,8.4,7.6,8.2
2008-10-01,8.3,8.4,8.2,8.4
2008-10-02,8.5,9.1,8.5,8.8
2008-10-03,8.8,8.9,8.8,8.8
2008-10-06,8.8,8.9,8.0,8.1
2008-10-07,8.0,8.0,7.4,7.5
2008-10-08,7.2,7.2,6.4,6.4
2008-10-09,6.6,6.6,5.6,5.8
2008-10-10,5.0,5.2,4.8,4.8
2008-10-13,5.0,5.2,4.8,5.2
2008-10-14,5.5,5.7,5.4,5.6
2008-10-15,5.5,5.6,5.2,5.2
2008-10-16,4.9,4.9,4.8,4.9
2008-10-17,4.9,5.2,4.7,4.7
2008-10-20,4.8,4.8,4.4,4.5
2008-10-21,4.6,4.6,4.3,4.4
2008-10-22,4.4,4.5,4.4,4.5
2008-10-24,4.4,4.4,4.0,4.1
2008-10-27,4.0,4.2,3.8,3.8
2008-10-28,3.9,4.0,3.6,3.9
2008-10-29,4.0,4.3,4.0,4.1
2008-10-30,4.1,4.8,4.1,4.6
2008-10-31,4.5,4.8,4.5,4.6
2008-11-03,4.8,5.0,4.8,5.0
2008-11-04,5.0,6.2,5.0,6.2
2008-11-05,6.8,6.9,6.0,6.2
2008-11-06,5.8,6.4,5.8,6.4
2008-11-07,6.6,6.7,6.2,6.5
2008-11-10,6.7,6.7,5.9,5.9
2008-11-11,5.8,6.0,5.8,5.8
2008-11-12,5.8,5.8,5.4,5.4
2008-11-13,5.0,6.0,4.9,5.8
2008-11-14,6.0,6.0,5.8,5.8
2008-11-17,5.6,5.9,5.6,5.8
2008-11-18,5.8,5.8,5.4,5.5
2008-11-19,5.5,5.5,5.1,5.2
