Date,Open,High,Low,Close
2008-01-02,6.1,6.4,6.0,6.2
2008-01-03,6.0,6.2,6.0,6.1
2008-01-04,6.0,6.1,5.9,6.0
2008-01-07,5.8,5.9,5.8,5.8
2008-01-08,5.8,5.8,5.7,5.8
2008-01-09,5.7,5.8,5.6,5.8
2008-01-10,5.8,5.8,5.6,5.6
2008-01-11,5.6,5.6,5.6,5.6
2008-01-14,5.5,5.6,5.4,5.4
2008-01-15,5.5,5.6,5.3,5.4
2008-01-16,5.2,5.4,5.1,5.4
2008-01-17,5.4,5.5,5.2,5.4
2008-01-18,5.4,5.4,5.2,5.4
2008-01-21,5.4,5.4,5.0,5.0
2008-01-22,4.9,5.0,4.8,4.8
2008-01-23,5.0,5.0,4.9,4.9
2008-01-24,4.9,5.0,4.8,4.8
2008-01-25,4.9,5.1,4.9,5.0
2008-01-28,5.0,5.0,4.9,5.0
2008-01-29,5.0,5.0,5.0,5.0
2008-01-30,5.0,5.1,5.0,5.1
2008-01-31,5.1,5.3,5.0,5.2
2008-02-01,5.3,5.5,5.2,5.5
2008-02-04,5.6,5.6,5.4,5.5
2008-02-05,5.4,5.6,5.4,5.5
2008-02-06,5.4,5.4,5.3,5.4
2008-02-07,5.4,5.4,5.4,5.4
2008-02-08,5.4,5.5,5.4,5.4
2008-02-11,5.5,5.6,5.4,5.4
2008-02-12,5.4,5.5,5.4,5.4
2008-02-13,5.4,5.6,5.4,5.4
2008-02-14,5.5,5.6,5.4,5.4
2008-02-15,5.4,5.4,5.4,5.4
2008-02-18,5.4,5.4,5.4,5.4
2008-02-19,5.4,5.4,5.4,5.4
2008-02-20,5.4,5.4,5.2,5.2
2008-02-22,5.3,5.4,5.3,5.4
2008-02-25,5.4,5.6,5.4,5.5
2008-02-26,5.6,5.6,5.4,5.6
2008-02-27,5.6,5.8,5.6,5.7
2008-02-28,5.7,6.0,5.6,6.0
2008-02-29,5.9,6.0,5.9,6.0
2008-03-03,6.0,6.1,6.0,6.0
2008-03-04,6.0,6.1,5.9,5.9
2008-03-05,6.0,6.0,5.9,5.9
2008-03-06,6.0,6.0,6.0,6.0
2008-03-07,6.0,6.0,5.9,6.0
2008-03-10,6.0,6.0,5.8,5.9
2008-03-11,5.9,6.0,5.8,6.0
2008-03-12,6.0,6.2,6.0,6.1
2008-03-13,6.1,6.2,6.0,6.0
2008-03-14,5.8,5.9,5.8,5.8
2008-03-17,5.6,5.7,5.6,5.6
2008-03-18,5.6,5.8,5.6,5.8
2008-03-19,5.8,5.9,5.8,5.8
2008-03-20,5.8,5.8,5.8,5.8
2008-03-21,5.8,5.8,5.7,5.8
2008-03-24,5.8,5.8,5.7,5.8
2008-03-25,5.8,5.9,5.8,5.8
2008-03-26,5.8,5.9,5.8,5.8
2008-03-27,5.8,5.8,5.8,5.8
2008-03-28,5.8,5.9,5.8,5.8
2008-03-31,5.8,5.8,5.7,5.8
2008-04-01,5.8,5.8,5.7,5.8
2008-04-02,5.8,5.8,5.7,5.8
2008-04-03,5.8,5.8,5.7,5.8
2008-04-04,5.8,5.8,5.7,5.8
2008-04-08,5.8,5.8,5.7,5.8
2008-04-09,5.8,5.8,5.7,5.8
2008-04-10,5.8,5.8,5.7,5.8
2008-04-11,5.7,5.8,5.7,5.8
2008-04-16,5.8,5.8,5.7,5.8
2008-04-17,5.8,5.9,5.8,5.8
2008-04-18,5.8,5.9,5.8,5.8
2008-04-21,5.9,6.0,5.8,5.9
2008-04-22,5.9,6.1,5.8,6.1
2008-04-23,6.0,6.1,5.8,5.9
2008-04-24,5.9,6.0,5.9,5.9
2008-04-25,5.9,6.0,5.8,5.8
2008-04-28,5.8,5.9,5.8,5.8
2008-04-29,5.8,5.8,5.8,5.8
2008-04-30,5.8,5.8,5.8,5.8
2008-05-02,5.8,5.9,5.8,5.8
2008-05-06,5.8,5.9,5.8,5.8
2008-05-07,5.8,5.8,5.7,5.8
2008-05-08,5.8,5.8,5.7,5.7
2008-05-09,5.8,5.8,5.4,5.6
2008-05-12,5.5,5.5,5.4,5.4
2008-05-13,5.4,5.4,5.4,5.4
2008-05-14,5.4,5.6,5.4,5.6
2008-05-15,5.6,5.7,5.6,5.7
2008-05-16,5.6,5.7,5.5,5.6
2008-05-20,5.6,5.6,5.4,5.4
2008-05-21,5.4,5.6,5.4,5.6
2008-05-22,5.5,5.6,5.4,5.4
2008-05-23,5.4,5.6,5.4,5.5
2008-05-26,5.4,5.4,5.1,5.1
2008-05-27,5.2,5.2,5.1,5.2
2008-05-28,5.2,5.2,5.0,5.0
2008-05-29,5.1,5.1,5.0,5.0
2008-05-30,5.0,5.2,5.0,5.0
2008-06-02,5.0,5.0,4.9,4.9
2008-06-03,4.9,5.0,4.9,5.0
2008-06-04,4.9,5.0,4.9,5.0
2008-06-05,5.0,5.0,4.9,5.0
2008-06-06,5.0,5.0,4.9,4.9
2008-06-09,4.9,4.9,4.8,4.8
2008-06-10,4.8,4.8,4.7,4.7
2008-06-11,4.7,4.7,4.6,4.7
2008-06-12,4.6,4.7,4.6,4.6
2008-06-13,4.6,4.8,4.6,4.6
2008-06-16,4.7,4.8,4.6,4.7
2008-06-17,4.7,4.7,4.4,4.4
2008-06-18,4.2,4.3,4.2,4.2
2008-06-19,4.1,4.1,3.9,3.9
2008-06-20,3.8,4.1,3.8,4.1
2008-06-23,4.0,4.1,4.0,4.0
2008-06-24,4.0,4.0,4.0,4.0
2008-06-25,4.0,4.1,4.0,4.0
