Date,Open,High,Low,Close
2008-01-02,28.0,28.2,27.5,27.8
2008-01-03,27.8,27.8,27.2,27.5
2008-01-04,27.5,27.8,27.2,27.2
2008-01-07,27.2,27.2,27.0,27.0
2008-01-08,27.2,27.2,27.0,27.2
2008-01-09,27.0,27.5,27.0,27.5
2008-01-10,27.2,27.2,27.0,27.0
2008-01-11,27.2,27.2,27.0,27.2
2008-01-14,27.0,27.2,27.0,27.2
2008-01-15,27.5,27.5,27.2,27.5
2008-01-16,27.0,27.2,26.8,27.2
2008-01-17,27.0,27.2,26.8,27.2
2008-01-18,27.0,27.5,27.0,27.5
2008-01-21,27.2,28.0,27.2,27.8
2008-01-22,27.2,27.5,27.0,27.2
2008-01-23,27.8,27.8,27.2,27.2
2008-01-24,27.2,27.8,27.2,27.8
2008-01-25,28.0,28.8,28.0,28.2
2008-01-28,28.2,28.8,28.0,28.8
2008-01-29,28.8,28.8,28.2,28.5
2008-01-30,28.5,29.8,28.5,29.2
2008-01-31,29.8,29.8,29.0,29.0
2008-02-01,29.0,29.5,29.0,29.2
2008-02-04,29.8,29.8,28.8,28.8
2008-02-05,28.8,29.5,28.8,29.2
2008-02-06,29.0,29.5,28.8,29.2
2008-02-07,29.0,29.0,29.0,29.0
2008-02-08,29.0,29.2,29.0,29.2
2008-02-11,29.0,29.2,29.0,29.0
2008-02-12,29.2,29.8,29.0,29.0
2008-02-13,29.0,29.8,29.0,29.5
2008-02-14,29.8,30.2,29.2,29.5
2008-02-15,29.0,29.2,29.0,29.2
2008-02-18,29.2,29.8,29.2,29.5
2008-02-19,29.5,29.8,29.2,29.5
2008-02-20,29.8,29.8,29.0,29.0
2008-02-22,29.0,30.0,29.0,29.8
2008-02-25,29.8,29.8,29.2,29.5
2008-02-26,29.8,29.8,29.0,29.0
2008-02-27,29.2,29.5,29.2,29.2
2008-02-28,29.2,29.2,29.0,29.0
2008-02-29,29.2,29.5,29.0,29.5
2008-03-03,29.2,29.8,29.2,29.5
2008-03-04,29.2,29.5,29.2,29.2
2008-03-05,29.2,29.2,29.0,29.0
2008-03-06,29.2,29.8,29.0,29.0
2008-03-07,29.0,29.2,28.8,29.0
2008-03-10,28.5,28.8,28.2,28.2
2008-03-11,28.2,28.8,28.2,28.2
2008-03-12,28.8,29.2,28.8,29.2
2008-03-13,29.0,29.0,28.2,28.5
2008-03-14,28.5,28.8,28.5,28.5
2008-03-17,28.5,28.5,28.0,28.2
2008-03-18,28.2,29.0,28.2,29.0
2008-03-19,29.2,29.2,28.8,29.0
2008-03-20,28.8,28.8,28.5,28.8
2008-03-21,29.0,29.2,29.0,29.0
2008-03-24,29.0,29.8,28.8,29.5
2008-03-25,28.2,28.5,28.0,28.2
2008-03-26,28.5,28.8,28.2,28.5
2008-03-27,28.5,29.2,28.2,29.2
2008-03-28,29.0,29.0,29.0,29.0
2008-03-31,29.0,29.0,28.8,28.8
2008-04-01,29.0,29.2,28.5,28.5
2008-04-02,28.8,29.0,28.5,28.8
2008-04-03,29.0,29.0,28.8,29.0
2008-04-04,29.0,29.0,28.8,28.8
2008-04-08,28.8,29.0,28.5,28.8
2008-04-09,28.8,29.0,28.5,28.5
2008-04-10,28.8,29.0,28.8,28.8
2008-04-11,28.8,29.0,28.8,29.0
2008-04-16,29.0,29.0,28.5,28.8
2008-04-17,29.0,29.8,29.0,29.5
2008-04-18,29.5,30.0,29.5,30.0
2008-04-21,30.2,30.2,30.0,30.0
2008-04-22,30.0,30.2,29.8,30.2
2008-04-23,30.0,30.0,29.8,30.0
2008-04-24,30.0,30.0,29.8,29.8
2008-04-25,30.0,30.0,29.8,29.8
2008-04-28,29.8,29.8,29.5,29.8
2008-04-29,29.8,30.2,29.5,30.2
2008-04-30,30.0,30.0,29.8,30.0
2008-05-02,30.0,30.0,29.5,29.5
2008-05-06,29.5,30.2,29.5,30.0
2008-05-07,30.0,30.0,29.8,30.0
2008-05-08,29.5,29.8,29.5,29.5
2008-05-09,29.8,29.8,29.2,29.5
2008-05-12,29.5,29.8,29.2,29.8
2008-05-13,29.8,29.8,29.2,29.2
2008-05-14,29.5,29.8,29.5,29.8
2008-05-15,30.0,30.0,30.0,30.0
2008-05-16,30.2,31.0,30.0,31.0
2008-05-20,31.0,31.0,29.8,29.8
2008-05-21,30.0,30.0,29.8,30.0
2008-05-22,30.0,30.0,29.2,29.2
2008-05-23,29.2,30.2,29.2,30.0
2008-05-26,30.0,30.0,28.8,29.5
2008-05-27,29.5,29.8,29.5,29.8
2008-05-28,29.5,29.5,29.0,29.2
2008-05-29,29.0,29.0,28.2,28.5
2008-05-30,28.5,28.8,28.2,28.2
2008-06-02,28.5,28.5,28.0,28.0
2008-06-03,28.0,28.5,28.0,28.5
2008-06-04,28.5,29.0,28.5,28.8
2008-06-05,28.8,28.8,28.2,28.5
2008-06-06,28.8,29.0,28.5,29.0
2008-06-09,28.5,28.5,28.2,28.5
2008-06-10,28.2,28.8,28.0,28.8
2008-06-11,28.5,28.5,28.0,28.2
2008-06-12,27.8,28.2,27.8,28.0
2008-06-13,28.2,28.5,28.0,28.0
2008-06-16,28.5,28.5,27.8,28.0
2008-06-17,28.0,28.0,27.0,27.0
2008-06-18,27.0,27.2,26.8,27.0
2008-06-19,26.8,27.0,26.5,26.5
2008-06-20,26.2,27.2,26.2,27.2
2008-06-23,27.0,27.0,26.5,26.5
2008-06-24,26.8,26.8,26.5,26.8
2008-06-25,26.8,27.2,26.8,27.0
2008-06-26,27.0,27.0,26.5,26.8
2008-06-27,26.5,26.8,26.2,26.5
2008-06-30,26.5,26.5,25.0,25.0
2008-07-02,25.0,25.5,25.0,25.5
2008-07-03,25.0,25.5,24.6,24.9
2008-07-04,24.8,24.9,24.4,24.5
2008-07-07,24.5,24.5,24.1,24.2
2008-07-08,24.2,24.2,23.3,23.4
2008-07-09,23.6,24.0,23.3,23.3
2008-07-10,23.2,23.3,23.0,23.3
2008-07-11,23.3,23.5,23.2,23.3
2008-07-14,23.3,23.3,23.0,23.1
2008-07-15,23.1,23.1,22.5,22.5
2008-07-16,22.5,22.5,21.1,21.3
2008-07-18,21.3,21.7,21.3,21.3
