Date,Open,High,Low,Close
2008-01-02,6.2,6.3,6.0,6.0
2008-01-03,5.9,6.1,5.8,6.1
2008-01-04,6.1,6.1,6.0,6.1
2008-01-07,6.0,6.0,5.8,5.9
2008-01-08,6.0,6.0,5.8,5.9
2008-01-09,6.0,6.0,5.8,5.95
2008-01-10,6.0,6.0,5.8,6.0
2008-01-11,6.0,6.0,5.8,5.8
2008-01-14,5.85,5.85,5.65,5.65
2008-01-15,5.7,5.7,5.5,5.5
2008-01-16,5.2,5.5,5.2,5.5
2008-01-17,5.5,5.8,5.5,5.8
2008-01-18,5.7,5.9,5.7,5.9
2008-01-21,5.9,6.1,5.8,5.9
2008-01-22,5.6,5.7,5.4,5.4
2008-01-23,5.6,5.6,5.5,5.5
2008-01-24,5.6,5.8,5.5,5.6
2008-01-25,5.5,5.699999999999999,5.45,5.5
2008-01-28,5.4,5.6,5.4,5.4
2008-01-29,5.550000000000001,5.699999999999999,5.5,5.6
2008-01-30,5.7,5.8,5.6,5.8
2008-01-31,5.8,5.9,5.7,5.8
2008-02-01,6.3,6.35,6.1,6.3
2008-02-04,6.8,6.8,6.5,6.8
2008-02-05,6.7,6.7,6.5,6.5
2008-02-06,6.2,6.4,6.2,6.3
2008-02-07,6.3,6.4,6.3,6.4
2008-02-08,6.4,6.5,6.3,6.5
2008-02-11,6.5,6.8,6.5,6.7
2008-02-12,6.7,7.0,6.7,6.9
2008-02-13,6.9,7.2,6.9,7.1
2008-02-14,7.1,7.2,7.0,7.0
2008-02-15,6.9,6.9,6.8,6.8
2008-02-18,6.9,7.050000000000001,6.85,7.0
2008-02-19,6.9,7.2,6.9,7.2
2008-02-20,6.9,7.050000000000001,6.800000000000001,7.0
2008-02-22,6.9,6.9,6.7,6.8
2008-02-25,7.0,7.2,7.0,7.2
2008-02-26,7.05,7.15,7.0,7.1
2008-02-27,7.1,7.1,7.0,7.0
2008-02-28,6.9,7.0,6.9,6.9
2008-02-29,6.9,7.2,6.9,7.0
2008-03-03,7.0,7.9,7.0,7.9
2008-03-04,7.9,8.0,7.6,7.6
2008-03-05,7.85,7.9,7.65,7.65
2008-03-06,7.8,7.8,7.7,7.7
2008-03-07,7.6,7.6,7.4,7.6
2008-03-10,7.5,7.5,7.1,7.1
2008-03-11,7.1,7.6,7.1,7.5
2008-03-12,7.8,7.9,7.6,7.6
2008-03-13,7.6,7.7,7.5,7.7
2008-03-14,7.6,7.7,7.6,7.6
2008-03-17,7.55,7.7,7.55,7.6
2008-03-18,7.5,7.7,7.5,7.6
2008-03-19,7.7,7.7,7.5,7.5
2008-03-20,7.4,7.5,7.3,7.5
2008-03-21,7.5,7.8,7.4,7.8
2008-03-24,7.9,7.9,7.8,7.8
2008-03-25,7.9,8.3,7.9,8.2
2008-03-26,8.2,8.2,8.0,8.1
2008-03-27,8.1,8.4,8.1,8.1
2008-03-28,8.2,8.2,7.9,7.9
2008-03-31,7.9,8.1,7.8,8.1
2008-04-01,7.975,8.125,7.825,8.075
2008-04-02,8.05,8.149999999999999,7.85,8.05
2008-04-03,8.125,8.174999999999999,7.875,8.025
2008-04-04,8.2,8.2,7.9,8.0
2008-04-08,8.0,8.0,7.8,7.8
2008-04-09,7.8,8.0,7.6,7.8
2008-04-10,7.7,7.8,7.6,7.7
2008-04-11,7.8,7.9,7.7,7.9
2008-04-16,7.9,8.1,7.9,8.0
2008-04-17,8.0,8.0,8.0,8.0
2008-04-18,8.0,8.0,7.8,7.8
2008-04-21,7.9,8.0,7.6,7.7
2008-04-22,7.7,7.8,7.6,7.7
2008-04-23,7.7,7.7,7.5,7.5
2008-04-24,7.5,7.5,7.1,7.2
2008-04-25,7.2,7.3,7.1,7.2
2008-04-28,7.3,7.4,7.1,7.2
2008-04-29,7.3,7.5,7.2,7.5
2008-04-30,7.4,7.5,7.4,7.5
2008-05-02,7.5,7.6,7.5,7.5
2008-05-06,7.5,7.5,7.3,7.4
2008-05-07,7.4,7.6,7.4,7.5
2008-05-08,7.45,7.55,7.4,7.5
2008-05-09,7.5,7.5,7.4,7.5
2008-05-12,7.5,7.5,7.4,7.4
2008-05-13,7.5,7.5,7.4,7.5
2008-05-14,7.5,7.7,7.4,7.5
2008-05-15,7.5,7.6,7.5,7.5
2008-05-16,7.6,7.699999999999999,7.45,7.5
2008-05-20,7.7,7.8,7.4,7.5
2008-05-21,7.4,7.4,7.2,7.3
2008-05-22,7.2,7.2,7.1,7.1
2008-05-23,7.2,7.4,7.2,7.4
2008-05-26,7.3,7.3,7.1,7.1
2008-05-27,7.2,7.2,7.1,7.1
2008-05-28,7.2,7.2,6.8,6.9
2008-05-29,6.9,6.9,6.5,6.6
2008-05-30,6.7,6.9,6.7,6.8
2008-06-02,6.6,6.7,6.1,6.2
2008-06-03,6.2,6.2,5.9,6.0
2008-06-04,6.15,6.300000000000001,6.0,6.2
2008-06-05,6.1,6.4,6.1,6.4
2008-06-06,6.5,6.5,6.4,6.5
