Date,BBL
2007-01-03,108.0
2007-01-04,103.0
2007-01-05,99.75
2007-01-08,99.25
2007-01-09,97.5
2007-01-10,95.0
2007-01-11,99.0
2007-01-12,104.0
2007-01-15,105.0
2007-01-16,105.0
2007-01-17,105.0
2007-01-18,106.5
2007-01-19,108.5
2007-01-22,109.5
2007-01-23,106.5
2007-01-24,107.5
2007-01-25,108.5
2007-01-26,108.0
2007-01-29,107.5
2007-01-30,108.0
2007-01-31,107.0
2007-02-01,107.0
2007-02-02,108.5
2007-02-05,110.0
2007-02-06,110.0
2007-02-07,109.0
2007-02-08,110.0
2007-02-09,111.5
2007-02-12,112.5
2007-02-13,112.0
2007-02-14,112.5
2007-02-15,112.5
2007-02-16,111.5
2007-02-19,110.5
2007-02-20,110.5
2007-02-21,110.5
2007-02-22,111.5
2007-02-23,111.0
2007-02-26,111.0
2007-02-27,111.0
2007-02-28,108.5
2007-03-01,109.5
2007-03-02,108.0
2007-03-06,108.5
2007-03-07,108.5
2007-03-08,107.5
2007-03-09,108.5
2007-03-12,109.0
2007-03-13,108.0
2007-03-14,107.5
2007-03-15,108.5
2007-03-16,107.5
2007-03-19,107.0
2007-03-20,107.0
2007-03-21,106.5
2007-03-22,107.5
2007-03-23,108.0
2007-03-26,108.5
2007-03-27,108.5
2007-03-28,108.0
2007-03-29,107.5
2007-03-30,108.0
2007-04-02,108.5
2007-04-03,109.5
2007-04-04,112.0
2007-04-05,113.0
2007-04-09,112.5
2007-04-10,112.5
2007-04-11,112.5
2007-04-12,112.5
2007-04-17,113.0
2007-04-18,114.0
2007-04-19,112.5
2007-04-20,112.5
2007-04-23,112.5
2007-04-24,110.0
2007-04-25,110.5
2007-04-26,110.0
2007-04-27,110.5
2007-04-30,110.0
2007-05-02,111.0
2007-05-03,112.5
2007-05-04,112.0
2007-05-08,111.5
2007-05-09,110.0
2007-05-10,109.0
2007-05-11,109.5
2007-05-14,110.5
2007-05-15,110.5
2007-05-16,110.5
2007-05-17,111.5
2007-05-18,113.0
2007-05-21,113.0
2007-05-22,115.0
2007-05-23,115.5
2007-05-24,114.0
2007-05-25,112.5
2007-05-28,112.5
2007-05-29,112.5
2007-05-30,113.5
2007-06-01,117.0
2007-06-04,119.5
2007-06-05,117.5
2007-06-06,116.5
2007-06-07,116.0
2007-06-08,115.0
2007-06-11,114.5
2007-06-12,114.0
2007-06-13,112.5
2007-06-14,113.0
2007-06-15,113.5
2007-06-18,116.5
2007-06-19,117.0
2007-06-20,118.5
2007-06-21,119.0
2007-06-22,119.0
2007-06-25,117.0
