Date,BCP
2007-01-03,7.9
2007-01-04,7.8
2007-01-05,7.699999999999999
2007-01-08,7.4
2007-01-09,7.449999999999999
2007-01-10,7.5
2007-01-11,7.45
2007-01-12,7.55
2007-01-15,7.55
2007-01-16,7.6
2007-01-17,7.5
2007-01-18,7.4
2007-01-19,7.45
2007-01-22,7.45
2007-01-23,7.4
2007-01-24,7.5
2007-01-25,7.6
2007-01-26,7.6
2007-01-29,7.699999999999999
2007-01-30,7.75
2007-01-31,7.8
2007-02-01,7.8
2007-02-02,7.85
2007-02-05,8.05
2007-02-06,8.2
2007-02-07,8.55
2007-02-08,8.8
2007-02-09,8.8
2007-02-12,8.75
2007-02-13,8.75
2007-02-14,8.75
2007-02-15,8.7
2007-02-16,8.7
2007-02-19,8.75
2007-02-20,8.8
2007-02-21,8.9
2007-02-22,9.0
2007-02-23,9.0
2007-02-26,8.85
2007-02-27,8.75
2007-02-28,8.65
2007-03-01,8.7
2007-03-02,8.7
2007-03-06,8.6
2007-03-07,8.649999999999999
2007-03-08,8.649999999999999
2007-03-09,8.649999999999999
2007-03-12,8.6
2007-03-13,8.75
2007-03-14,8.7
2007-03-15,8.7
2007-03-16,8.649999999999999
2007-03-19,8.649999999999999
2007-03-20,8.7
2007-03-21,8.6
2007-03-22,8.6
2007-03-23,8.6
2007-03-26,8.6
2007-03-27,8.4
2007-03-28,8.45
2007-03-29,8.45
2007-03-30,8.5
2007-04-02,8.5
2007-04-03,8.4
2007-04-04,8.45
2007-04-05,8.45
2007-04-09,8.45
2007-04-10,8.45
2007-04-11,8.4
2007-04-12,8.4
2007-04-17,8.45
2007-04-18,8.5
2007-04-19,8.45
2007-04-20,8.4
2007-04-23,8.4
2007-04-24,8.4
2007-04-25,8.4
2007-04-26,8.4
2007-04-27,8.4
2007-04-30,8.4
2007-05-02,8.4
2007-05-03,8.4
2007-05-04,8.45
2007-05-08,8.45
2007-05-09,8.45
2007-05-10,8.4
2007-05-11,8.4
2007-05-14,8.4
2007-05-15,8.4
2007-05-16,8.350000000000001
2007-05-17,8.4
2007-05-18,8.4
2007-05-21,8.45
2007-05-22,8.4
2007-05-23,8.4
2007-05-24,8.5
2007-05-25,8.45
2007-05-28,8.65
2007-05-29,8.7
2007-05-30,8.649999999999999
2007-06-01,8.649999999999999
2007-06-04,8.95
2007-06-05,9.25
2007-06-06,9.2
2007-06-07,9.149999999999999
2007-06-08,9.2
2007-06-11,9.25
2007-06-12,9.2
