Date,BDMS
2007-01-03,3.4
2007-01-04,3.4
2007-01-05,3.2
2007-01-08,3.2
2007-01-09,3.1
2007-01-10,3.1
2007-01-11,3.2
2007-01-12,3.2
2007-01-15,3.3
2007-01-16,3.3
2007-01-17,3.25
2007-01-18,3.4
2007-01-19,3.4
2007-01-22,3.4
2007-01-23,3.45
2007-01-24,3.45
2007-01-25,3.4
2007-01-26,3.4
2007-01-29,3.5
2007-01-30,3.5
2007-01-31,3.5
2007-02-01,3.5
2007-02-02,3.55
2007-02-05,3.6
2007-02-06,3.6
2007-02-07,3.6
2007-02-08,3.55
2007-02-09,3.6
2007-02-12,3.75
2007-02-13,3.75
2007-02-14,3.7
2007-02-15,3.6500000000000004
2007-02-16,3.6500000000000004
2007-02-19,3.6500000000000004
2007-02-20,3.6
2007-02-21,3.6500000000000004
2007-02-22,3.7
2007-02-23,3.6500000000000004
2007-02-26,3.6500000000000004
2007-02-27,3.6
2007-02-28,3.55
2007-03-01,3.6
2007-03-02,3.6
2007-03-06,3.6500000000000004
2007-03-07,3.6500000000000004
2007-03-08,3.6500000000000004
2007-03-09,3.6
2007-03-12,3.6
2007-03-13,3.55
2007-03-14,3.5
2007-03-15,3.55
2007-03-16,3.6
2007-03-19,3.55
2007-03-20,3.6
2007-03-21,3.55
2007-03-22,3.55
2007-03-23,3.55
2007-03-26,3.5
2007-03-27,3.5
2007-03-28,3.6
2007-03-29,3.6
2007-03-30,3.55
2007-04-02,3.55
2007-04-03,3.5
2007-04-04,3.55
2007-04-05,3.6
2007-04-09,3.6
2007-04-10,3.6
2007-04-11,3.6500000000000004
2007-04-12,3.75
2007-04-17,3.75
2007-04-18,3.6500000000000004
2007-04-19,3.6
2007-04-20,3.6
2007-04-23,3.6500000000000004
2007-04-24,3.6500000000000004
2007-04-25,3.75
2007-04-26,3.75
2007-04-27,3.7
2007-04-30,3.75
2007-05-02,3.9
2007-05-03,3.95
2007-05-04,3.9
2007-05-08,3.95
2007-05-09,3.95
2007-05-10,4.05
2007-05-11,4.05
2007-05-14,4.1
2007-05-15,4.1
2007-05-16,4.0
2007-05-17,4.0
2007-05-18,4.0
2007-05-21,4.0
2007-05-22,4.0
2007-05-23,4.0
2007-05-24,4.0
2007-05-25,4.0
2007-05-28,4.0
2007-05-29,4.0
2007-05-30,4.05
2007-06-01,4.1
2007-06-04,4.2
2007-06-05,4.2
2007-06-06,4.2
2007-06-07,4.2
2007-06-08,4.25
2007-06-11,4.3
2007-06-12,4.3
2007-06-13,4.25
2007-06-14,4.25
2007-06-15,4.3
2007-06-18,4.35
2007-06-19,4.4
2007-06-20,4.4
2007-06-21,4.4
2007-06-22,4.4
2007-06-25,4.35
2007-06-26,4.4
2007-06-27,4.45
2007-06-28,4.5
2007-06-29,4.45
2007-07-02,4.45
2007-07-03,4.6
2007-07-04,4.55
2007-07-05,4.55
2007-07-06,4.55
2007-07-09,4.6
2007-07-10,4.6
2007-07-11,4.6
2007-07-12,4.6
2007-07-13,4.6
2007-07-16,4.6
2007-07-17,4.6
2007-07-18,4.6
2007-07-19,4.6
2007-07-20,4.6
2007-07-23,4.6
2007-07-24,4.55
2007-07-25,4.55
2007-07-26,4.6
2007-07-27,4.55
2007-07-31,4.55
2007-08-01,4.35
2007-08-02,4.3
2007-08-03,4.35
2007-08-06,4.35
2007-08-07,4.25
2007-08-08,4.15
2007-08-09,4.1
2007-08-10,4.05
2007-08-14,3.95
2007-08-15,3.8
2007-08-16,3.55
2007-08-17,3.6500000000000004
2007-08-20,3.8
2007-08-21,3.7
2007-08-22,3.6500000000000004
2007-08-23,3.75
2007-08-24,3.8
2007-08-27,3.8
2007-08-28,3.8499999999999996
2007-08-29,3.8
2007-08-30,3.8
2007-08-31,3.8
2007-09-03,3.8499999999999996
2007-09-04,3.9
2007-09-05,3.95
2007-09-06,4.0
2007-09-07,3.95
2007-09-10,3.9
2007-09-11,3.9
2007-09-12,3.9
2007-09-13,3.9
2007-09-14,3.9
2007-09-17,4.0
2007-09-18,4.0
2007-09-19,4.0
2007-09-20,3.95
2007-09-21,3.9
2007-09-24,3.9
2007-09-25,3.9
2007-09-26,3.95
2007-09-27,4.0
2007-09-28,4.0
2007-10-01,4.0
2007-10-02,4.0
2007-10-03,3.95
2007-10-04,3.95
2007-10-05,3.95
2007-10-08,3.9
2007-10-09,3.95
2007-10-10,4.0
2007-10-11,4.0
2007-10-12,4.0
2007-10-15,4.0
2007-10-16,3.95
2007-10-17,3.8499999999999996
2007-10-18,3.8499999999999996
2007-10-19,3.8
2007-10-22,3.7
2007-10-24,3.75
2007-10-25,3.8
2007-10-26,3.95
2007-10-29,3.9
2007-10-30,3.95
2007-10-31,4.0
2007-11-01,3.95
2007-11-02,3.9
2007-11-05,3.9
2007-11-06,3.9
2007-11-07,3.9
2007-11-08,3.75
2007-11-09,3.75
2007-11-12,3.7
2007-11-13,3.6500000000000004
2007-11-14,3.7
2007-11-15,3.6500000000000004
2007-11-16,3.6
2007-11-19,3.55
2007-11-20,3.45
2007-11-21,3.3
2007-11-22,3.2
2007-11-23,3.25
2007-11-26,3.3
2007-11-27,3.25
2007-11-28,3.25
2007-11-29,3.3
2007-11-30,3.3499999999999996
2007-12-03,3.3499999999999996
2007-12-04,3.3
2007-12-06,3.3
2007-12-07,3.3
2007-12-11,3.3
2007-12-12,3.3
2007-12-13,3.3
2007-12-14,3.25
2007-12-17,3.3
2007-12-18,3.25
2007-12-19,3.2
2007-12-20,3.1500000000000004
2007-12-21,3.1500000000000004
2007-12-24,3.2
2007-12-25,3.25
2007-12-26,3.3
2007-12-27,3.3499999999999996
2007-12-28,3.4
2008-01-02,3.25
2008-01-03,3.25
2008-01-04,3.3
2008-01-07,3.3
2008-01-08,3.3
2008-01-09,3.3
2008-01-10,3.3
2008-01-11,3.3
2008-01-14,3.3
2008-01-15,3.25
2008-01-16,3.1500000000000004
2008-01-17,3.1500000000000004
2008-01-18,3.2
2008-01-21,3.1
2008-01-22,3.0
2008-01-23,2.95
2008-01-24,2.9
2008-01-25,2.95
2008-01-28,2.95
2008-01-29,2.9
2008-01-30,2.8
2008-01-31,2.8
2008-02-01,2.95
2008-02-04,2.95
2008-02-05,2.8499999999999996
2008-02-06,2.8499999999999996
2008-02-07,2.8499999999999996
2008-02-08,2.95
2008-02-11,3.0
2008-02-12,3.0
2008-02-13,3.1
2008-02-14,3.2
2008-02-15,3.2
2008-02-18,3.2
2008-02-19,3.2
2008-02-20,3.25
2008-02-22,3.25
2008-02-25,3.25
2008-02-26,3.3
2008-02-27,3.3499999999999996
2008-02-28,3.4
2008-02-29,3.4
2008-03-03,3.3499999999999996
2008-03-04,3.3499999999999996
2008-03-05,3.3499999999999996
2008-03-06,3.25
2008-03-07,3.3
2008-03-10,3.25
2008-03-11,3.2
2008-03-12,3.1500000000000004
2008-03-13,3.1500000000000004
2008-03-14,3.2
2008-03-17,3.2
2008-03-18,3.1
2008-03-19,3.2
2008-03-20,3.2
2008-03-21,3.2
2008-03-24,3.2
2008-03-25,3.2
2008-03-26,3.2
2008-03-27,3.2
2008-03-28,3.2
2008-03-31,3.2
2008-04-01,3.2
2008-04-02,3.2
2008-04-03,3.2
2008-04-04,3.2
2008-04-08,3.3
2008-04-09,3.25
2008-04-10,3.3
2008-04-11,3.3499999999999996
2008-04-16,3.3499999999999996
2008-04-17,3.3
2008-04-18,3.3
2008-04-21,3.4
2008-04-22,3.4
2008-04-23,3.4
2008-04-24,3.4
2008-04-25,3.45
2008-04-28,3.5
2008-04-29,3.5
2008-04-30,3.55
2008-05-02,3.6500000000000004
2008-05-06,3.75
2008-05-07,3.8
2008-05-08,3.8
2008-05-09,3.8
2008-05-12,3.8
2008-05-13,3.9
2008-05-14,3.9
2008-05-15,3.9
2008-05-16,3.95
2008-05-20,4.0
2008-05-21,3.9
2008-05-22,3.8
2008-05-23,3.8499999999999996
2008-05-26,3.8499999999999996
2008-05-27,3.95
2008-05-28,4.0
2008-05-29,4.0
2008-05-30,3.95
2008-06-02,3.8499999999999996
2008-06-03,3.8
2008-06-04,3.8499999999999996
2008-06-05,3.9
2008-06-06,3.8
2008-06-09,3.8
2008-06-10,3.8499999999999996
2008-06-11,3.9
2008-06-12,3.8499999999999996
2008-06-13,3.8
2008-06-16,3.8499999999999996
2008-06-17,3.8499999999999996
2008-06-18,3.8
2008-06-19,3.75
2008-06-20,3.8
2008-06-23,3.75
2008-06-24,3.7
2008-06-25,3.6500000000000004
2008-06-26,3.6500000000000004
2008-06-27,3.6500000000000004
2008-06-30,3.8
2008-07-02,3.8
2008-07-03,3.75
2008-07-04,3.8
2008-07-07,3.8
2008-07-08,3.8
2008-07-09,3.8
2008-07-10,3.8
2008-07-11,3.9
2008-07-14,3.95
2008-07-15,3.75
2008-07-16,3.75
