Date,BH
2007-01-03,36.75
2007-01-04,36.25
2007-01-05,35.85
2007-01-08,34.75
2007-01-09,34.85
2007-01-10,33.6
2007-01-11,34.4
2007-01-12,34.5
2007-01-15,35.4
2007-01-16,36.0
2007-01-17,35.9
2007-01-18,35.8
2007-01-19,35.8
2007-01-22,35.8
2007-01-23,35.85
2007-01-24,36.0
2007-01-25,36.0
2007-01-26,36.1
2007-01-29,36.1
2007-01-30,36.1
2007-01-31,36.0
2007-02-01,36.2
2007-02-02,36.75
2007-02-05,36.9
2007-02-06,37.1
2007-02-07,37.2
2007-02-08,37.1
2007-02-09,37.0
2007-02-12,37.15
2007-02-13,37.25
2007-02-14,37.35
2007-02-15,37.4
2007-02-16,37.1
2007-02-19,37.1
2007-02-20,37.5
2007-02-21,37.1
2007-02-22,36.9
2007-02-23,37.0
2007-02-26,37.35
2007-02-27,37.0
2007-02-28,36.85
2007-03-01,37.25
2007-03-02,36.9
2007-03-06,37.0
2007-03-07,36.9
2007-03-08,36.9
2007-03-09,36.8
2007-03-12,36.9
2007-03-13,36.8
2007-03-14,37.25
2007-03-15,38.15
2007-03-16,38.35
2007-03-19,37.9
2007-03-20,38.15
2007-03-21,38.75
2007-03-22,39.2
2007-03-23,39.2
2007-03-26,39.2
2007-03-27,39.6
2007-03-28,40.4
2007-03-29,40.9
2007-03-30,39.9
2007-04-02,39.8
2007-04-03,40.4
2007-04-04,40.9
2007-04-05,41.1
2007-04-09,41.4
2007-04-10,41.5
2007-04-11,41.1
2007-04-12,41.0
2007-04-17,41.25
2007-04-18,41.2
2007-04-19,41.35
2007-04-20,42.0
2007-04-23,42.1
2007-04-24,43.2
2007-04-25,45.9
2007-04-26,45.9
2007-04-27,46.1
2007-04-30,47.5
2007-05-02,49.0
2007-05-03,49.9
2007-05-04,49.8
2007-05-08,50.15
2007-05-09,50.5
2007-05-10,49.6
2007-05-11,48.25
2007-05-14,48.2
2007-05-15,47.85
2007-05-16,48.0
2007-05-17,48.5
2007-05-18,49.5
2007-05-21,48.9
2007-05-22,48.75
2007-05-23,47.85
2007-05-24,47.2
2007-05-25,47.2
2007-05-28,47.0
2007-05-29,46.9
2007-05-30,46.25
2007-06-01,46.5
2007-06-04,46.5
2007-06-05,46.1
2007-06-06,46.0
2007-06-07,46.1
2007-06-08,47.25
2007-06-11,48.85
2007-06-12,49.3
2007-06-13,47.9
2007-06-14,47.9
2007-06-15,48.0
2007-06-18,48.35
2007-06-19,48.25
2007-06-20,48.1
2007-06-21,48.65
2007-06-22,49.1
2007-06-25,49.1
2007-06-26,48.5
2007-06-27,48.35
2007-06-28,48.35
2007-06-29,48.0
2007-07-02,48.0
2007-07-03,48.1
2007-07-04,48.35
2007-07-05,48.5
2007-07-06,48.35
2007-07-09,48.5
2007-07-10,48.5
2007-07-11,48.25
2007-07-12,48.25
2007-07-13,48.25
2007-07-16,48.5
2007-07-17,48.5
2007-07-18,48.2
2007-07-19,48.1
2007-07-20,48.1
2007-07-23,48.0
2007-07-24,48.1
2007-07-25,48.1
2007-07-26,48.1
2007-07-27,48.0
2007-07-31,47.9
2007-08-01,47.0
2007-08-02,46.85
2007-08-03,46.5
2007-08-06,46.1
2007-08-07,46.1
2007-08-08,46.0
2007-08-09,45.9
2007-08-10,45.1
2007-08-14,44.35
2007-08-15,41.6
2007-08-16,39.65
2007-08-17,40.6
2007-08-20,43.0
2007-08-21,41.9
2007-08-22,41.65
2007-08-23,43.15
2007-08-24,43.5
2007-08-27,43.65
2007-08-28,43.8
2007-08-29,43.5
2007-08-30,43.35
2007-08-31,43.65
2007-09-03,43.5
2007-09-04,44.0
2007-09-05,44.25
2007-09-06,44.35
2007-09-07,44.25
2007-09-10,43.25
2007-09-11,42.9
2007-09-12,43.0
2007-09-13,43.2
2007-09-14,43.1
2007-09-17,43.1
2007-09-18,43.1
2007-09-19,43.0
2007-09-20,42.5
2007-09-21,42.4
2007-09-24,42.8
2007-09-25,43.1
2007-09-26,44.5
2007-09-27,45.5
2007-09-28,45.0
2007-10-01,45.0
2007-10-02,45.75
2007-10-03,45.6
2007-10-04,45.25
2007-10-05,45.5
2007-10-08,45.65
2007-10-09,45.5
2007-10-10,46.0
2007-10-11,46.1
2007-10-12,46.2
2007-10-15,46.25
2007-10-16,45.35
2007-10-17,44.85
2007-10-18,44.5
2007-10-19,45.35
2007-10-22,44.8
2007-10-24,44.9
2007-10-25,44.8
2007-10-26,44.75
2007-10-29,45.75
2007-10-30,45.15
2007-10-31,44.6
2007-11-01,44.5
2007-11-02,43.9
2007-11-05,43.35
2007-11-06,43.75
2007-11-07,43.9
2007-11-08,43.1
2007-11-09,43.25
2007-11-12,43.65
2007-11-13,44.0
2007-11-14,43.6
2007-11-15,43.7
2007-11-16,43.1
2007-11-19,42.75
2007-11-20,42.35
2007-11-21,41.1
2007-11-22,39.65
2007-11-23,40.3
2007-11-26,40.9
2007-11-27,40.8
2007-11-28,40.8
2007-11-29,41.0
2007-11-30,40.5
2007-12-03,39.6
2007-12-04,39.4
2007-12-06,39.65
2007-12-07,39.5
2007-12-11,39.25
2007-12-12,38.9
2007-12-13,38.5
2007-12-14,38.15
2007-12-17,38.35
2007-12-18,38.7
2007-12-19,39.2
2007-12-20,38.85
2007-12-21,39.0
2007-12-24,39.0
2007-12-25,39.75
2007-12-26,40.5
2007-12-27,40.75
2007-12-28,40.75
2008-01-02,40.15
2008-01-03,39.85
2008-01-04,39.9
2008-01-07,39.9
2008-01-08,39.9
2008-01-09,40.0
2008-01-10,40.0
2008-01-11,40.0
2008-01-14,40.15
2008-01-15,40.65
2008-01-16,39.8
2008-01-17,39.35
2008-01-18,39.25
2008-01-21,38.0
2008-01-22,35.6
2008-01-23,35.65
2008-01-24,34.1
2008-01-25,34.4
2008-01-28,34.75
2008-01-29,35.0
2008-01-30,35.6
2008-01-31,36.4
2008-02-01,37.0
2008-02-04,37.5
2008-02-05,38.1
2008-02-06,37.5
2008-02-07,38.1
2008-02-08,38.25
2008-02-11,39.0
2008-02-12,39.2
2008-02-13,39.9
2008-02-14,40.0
2008-02-15,39.9
2008-02-18,39.9
2008-02-19,39.5
2008-02-20,39.8
2008-02-22,39.5
2008-02-25,39.1
2008-02-26,39.25
2008-02-27,38.9
2008-02-28,38.8
2008-02-29,37.9
2008-03-03,36.8
2008-03-04,36.1
2008-03-05,36.25
2008-03-06,35.65
2008-03-07,35.25
2008-03-10,34.9
2008-03-11,34.8
2008-03-12,35.1
2008-03-13,35.0
2008-03-14,34.8
2008-03-17,34.65
2008-03-18,34.35
2008-03-19,34.35
2008-03-20,34.0
2008-03-21,34.1
2008-03-24,34.1
2008-03-25,33.85
2008-03-26,33.85
2008-03-27,34.5
2008-03-28,34.65
2008-03-31,34.4
2008-04-01,34.15
2008-04-02,33.5
2008-04-03,32.9
2008-04-04,33.1
2008-04-08,33.1
2008-04-09,33.0
2008-04-10,33.1
2008-04-11,33.0
2008-04-16,32.15
2008-04-17,31.25
2008-04-18,31.35
2008-04-21,31.5
2008-04-22,32.1
2008-04-23,32.35
2008-04-24,32.35
2008-04-25,32.5
2008-04-28,32.65
2008-04-29,32.0
2008-04-30,32.1
2008-05-02,32.6
2008-05-06,34.0
2008-05-07,35.25
2008-05-08,34.9
2008-05-09,35.2
2008-05-12,35.75
2008-05-13,35.75
2008-05-14,35.25
2008-05-15,35.1
2008-05-16,35.0
2008-05-20,34.6
2008-05-21,34.35
2008-05-22,34.65
2008-05-23,35.4
2008-05-26,35.65
2008-05-27,36.0
2008-05-28,37.15
2008-05-29,37.6
2008-05-30,37.35
2008-06-02,36.0
2008-06-03,34.85
2008-06-04,35.6
2008-06-05,36.65
2008-06-06,37.3
2008-06-09,37.35
2008-06-10,37.35
2008-06-11,36.75
2008-06-12,35.6
2008-06-13,35.0
2008-06-16,35.4
2008-06-17,36.0
2008-06-18,35.9
2008-06-19,36.0
2008-06-20,35.5
2008-06-23,35.4
2008-06-24,34.9
2008-06-25,35.1
2008-06-26,34.75
2008-06-27,35.0
2008-06-30,35.35
2008-07-02,35.6
2008-07-03,36.0
2008-07-04,35.65
2008-07-07,35.65
2008-07-08,35.65
2008-07-09,35.9
2008-07-10,36.15
2008-07-11,36.15
2008-07-14,36.0
2008-07-15,35.75
2008-07-16,35.25
2008-07-18,35.75
2008-07-21,36.5
2008-07-22,36.9
2008-07-23,37.0
2008-07-24,37.0
2008-07-25,36.5
2008-07-28,36.65
2008-07-29,36.15
2008-07-30,36.35
2008-07-31,36.9
2008-08-01,36.65
2008-08-04,36.9
2008-08-05,36.75
2008-08-06,36.8
2008-08-07,36.9
2008-08-08,37.5
2008-08-11,37.9
2008-08-13,38.15
2008-08-14,38.6
2008-08-15,38.9
2008-08-18,39.35
2008-08-19,39.0
2008-08-20,38.65
2008-08-21,38.25
2008-08-22,38.0
2008-08-25,37.4
2008-08-26,36.9
2008-08-27,37.1
2008-08-28,37.35
2008-08-29,37.5
2008-09-01,37.0
2008-09-02,36.8
2008-09-03,36.5
2008-09-04,36.5
2008-09-05,35.9
2008-09-08,36.0
2008-09-09,35.8
2008-09-10,35.75
2008-09-11,34.0
2008-09-12,33.7
2008-09-15,34.5
2008-09-16,33.9
2008-09-17,33.9
2008-09-18,33.1
2008-09-19,33.3
2008-09-22,33.5
2008-09-23,32.85
2008-09-24,33.15
2008-09-25,33.15
2008-09-26,32.5
2008-09-29,32.65
2008-09-30,31.5
2008-10-01,32.5
2008-10-02,32.35
2008-10-03,32.0
2008-10-06,30.75
2008-10-07,28.25
2008-10-08,27.0
2008-10-09,27.0
2008-10-10,25.15
2008-10-13,24.45
2008-10-14,25.8
2008-10-15,25.65
2008-10-16,25.25
2008-10-17,25.25
2008-10-20,24.6
2008-10-21,24.75
2008-10-22,24.85
2008-10-24,24.7
2008-10-27,23.75
2008-10-28,24.1
2008-10-29,23.4
2008-10-30,22.55
2008-10-31,22.15
2008-11-03,22.299999999999997
2008-11-04,22.35
2008-11-05,22.9
2008-11-06,22.950000000000003
2008-11-07,22.85
2008-11-10,22.35
2008-11-11,21.299999999999997
2008-11-12,20.049999999999997
2008-11-13,18.799999999999997
2008-11-14,18.5
2008-11-17,18.45
2008-11-18,18.5
2008-11-19,18.65
2008-11-20,18.15
2008-11-21,18.299999999999997
2008-11-24,18.3
2008-11-25,18.9
2008-11-26,18.7
2008-11-27,18.9
2008-11-28,18.950000000000003
2008-12-01,18.5
2008-12-02,17.75
2008-12-03,17.75
2008-12-04,17.1
