Date,EGCO
2007-01-03,95.25
2007-01-04,94.5
2007-01-05,93.25
2007-01-08,92.5
2007-01-09,94.75
2007-01-10,93.5
2007-01-11,94.75
2007-01-12,96.0
2007-01-15,98.0
2007-01-16,98.0
2007-01-17,98.0
2007-01-18,97.0
2007-01-19,97.5
2007-01-22,98.5
2007-01-23,97.75
2007-01-24,97.25
2007-01-25,97.75
2007-01-26,97.5
2007-01-29,97.5
2007-01-30,97.0
2007-01-31,97.75
2007-02-01,98.5
2007-02-02,99.25
2007-02-05,99.75
2007-02-06,99.0
2007-02-07,98.75
2007-02-08,99.75
2007-02-09,101.0
2007-02-12,101.5
2007-02-13,101.0
2007-02-14,103.0
2007-02-15,103.0
2007-02-16,102.5
2007-02-19,102.5
2007-02-20,101.5
2007-02-21,101.0
2007-02-22,101.5
2007-02-23,100.5
2007-02-26,100.5
2007-02-27,101.0
2007-02-28,99.25
2007-03-01,99.75
2007-03-02,99.5
2007-03-06,99.0
2007-03-07,99.75
2007-03-08,99.5
2007-03-09,99.0
2007-03-12,99.25
2007-03-13,99.25
2007-03-14,99.75
2007-03-15,99.75
2007-03-16,99.75
2007-03-19,99.5
2007-03-20,99.5
2007-03-21,99.5
2007-03-22,99.75
2007-03-23,99.5
2007-03-26,99.75
2007-03-27,100.0
2007-03-28,98.25
2007-03-29,99.0
2007-03-30,98.5
2007-04-02,98.25
2007-04-03,99.5
2007-04-04,105.0
2007-04-05,107.5
2007-04-09,106.5
2007-04-10,105.0
2007-04-11,105.5
2007-04-12,106.0
2007-04-17,105.5
2007-04-18,104.0
2007-04-19,102.5
2007-04-20,103.0
2007-04-23,103.5
2007-04-24,103.5
2007-04-25,104.0
2007-04-26,104.5
2007-04-27,105.0
2007-04-30,104.5
2007-05-02,104.0
2007-05-03,104.5
2007-05-04,104.0
2007-05-08,102.5
2007-05-09,102.0
2007-05-10,101.5
2007-05-11,102.0
2007-05-14,103.0
2007-05-15,103.0
2007-05-16,103.0
2007-05-17,103.0
2007-05-18,103.0
2007-05-21,104.0
2007-05-22,104.0
2007-05-23,104.5
2007-05-24,103.0
2007-05-25,103.0
2007-05-28,103.5
2007-05-29,103.5
2007-05-30,103.5
2007-06-01,104.0
2007-06-04,106.5
2007-06-05,108.0
2007-06-06,106.0
2007-06-07,104.5
2007-06-08,105.5
2007-06-11,107.0
2007-06-12,106.0
2007-06-13,104.0
2007-06-14,104.5
2007-06-15,105.0
2007-06-18,107.0
2007-06-19,107.0
2007-06-20,106.5
2007-06-21,106.5
2007-06-22,106.0
2007-06-25,105.5
2007-06-26,105.5
2007-06-27,106.0
2007-06-28,108.5
2007-06-29,108.5
2007-07-02,109.0
2007-07-03,110.0
2007-07-04,111.5
2007-07-05,112.0
2007-07-06,111.0
2007-07-09,112.5
2007-07-10,114.5
2007-07-11,117.0
2007-07-12,119.0
2007-07-13,121.0
2007-07-16,120.0
2007-07-17,120.0
2007-07-18,119.5
2007-07-19,118.5
2007-07-20,118.5
2007-07-23,118.0
2007-07-24,119.0
2007-07-25,118.0
2007-07-26,119.5
2007-07-27,119.5
2007-07-31,119.5
2007-08-01,115.5
2007-08-02,115.5
2007-08-03,117.5
2007-08-06,115.0
2007-08-07,115.0
2007-08-08,116.0
2007-08-09,117.5
2007-08-10,114.0
2007-08-14,114.5
2007-08-15,113.0
2007-08-16,110.0
2007-08-17,109.5
2007-08-20,113.5
2007-08-21,114.0
2007-08-22,114.0
2007-08-23,114.5
2007-08-24,114.0
2007-08-27,115.5
2007-08-28,115.0
2007-08-29,115.5
2007-08-30,116.0
2007-08-31,115.5
2007-09-03,116.5
2007-09-04,117.0
2007-09-05,114.0
2007-09-06,114.0
2007-09-07,114.5
2007-09-10,113.5
2007-09-11,113.5
2007-09-12,112.5
2007-09-13,112.5
2007-09-14,112.5
2007-09-17,112.0
2007-09-18,111.0
2007-09-19,112.0
2007-09-20,112.0
2007-09-21,112.5
2007-09-24,112.5
2007-09-25,112.5
2007-09-26,113.0
2007-09-27,114.0
2007-09-28,115.5
2007-10-01,116.5
2007-10-02,117.5
2007-10-03,117.5
2007-10-04,117.0
2007-10-05,117.0
2007-10-08,120.0
2007-10-09,121.0
2007-10-10,123.5
2007-10-11,125.0
2007-10-12,125.0
2007-10-15,124.0
2007-10-16,122.5
2007-10-17,120.0
2007-10-18,120.0
2007-10-19,120.5
2007-10-22,116.5
2007-10-24,116.5
