Date,IRPC
2007-01-03,5.800000000000001
2007-01-04,5.75
2007-01-05,5.4
2007-01-08,5.15
2007-01-09,5.1
2007-01-10,4.95
2007-01-11,5.25
2007-01-12,5.55
2007-01-15,5.65
2007-01-16,5.8
2007-01-17,5.65
2007-01-18,5.699999999999999
2007-01-19,5.7
2007-01-22,5.65
2007-01-23,5.55
2007-01-24,5.6
2007-01-25,5.65
2007-01-26,5.6
2007-01-29,5.5
2007-01-30,5.4
2007-01-31,5.35
2007-02-01,5.4
2007-02-02,5.6
2007-02-05,5.85
2007-02-06,5.85
2007-02-07,5.8
2007-02-08,5.9
2007-02-09,6.05
2007-02-12,6.15
2007-02-13,6.15
2007-02-14,6.300000000000001
2007-02-15,6.300000000000001
2007-02-16,6.15
2007-02-19,6.0
2007-02-20,6.05
2007-02-21,6.0
2007-02-22,6.05
2007-02-23,6.1
2007-02-26,6.0
2007-02-27,6.0
2007-02-28,5.75
2007-03-01,5.9
2007-03-02,6.0
2007-03-06,6.0
2007-03-07,6.0
2007-03-08,6.0
2007-03-09,6.0
2007-03-12,6.0
2007-03-13,6.0
2007-03-14,6.0
2007-03-15,6.0
2007-03-16,6.0
2007-03-19,6.0
2007-03-20,6.0
2007-03-21,6.0
2007-03-22,6.05
2007-03-23,6.05
2007-03-26,6.05
2007-03-27,6.1
2007-03-28,6.0
2007-03-29,5.95
2007-03-30,6.0
2007-04-02,6.0
2007-04-03,6.1
2007-04-04,6.2
2007-04-05,6.2
2007-04-09,6.2
2007-04-10,6.1
2007-04-11,6.15
2007-04-12,6.15
2007-04-17,6.2
2007-04-18,6.1
2007-04-19,6.0
2007-04-20,6.0
2007-04-23,6.05
2007-04-24,6.0
2007-04-25,6.0
2007-04-26,6.0
2007-04-27,6.0
2007-04-30,6.0
2007-05-02,5.95
2007-05-03,5.95
2007-05-04,6.0
2007-05-08,6.0
2007-05-09,5.95
2007-05-10,5.85
2007-05-11,5.85
2007-05-14,5.95
2007-05-15,6.0
2007-05-16,6.0
2007-05-17,6.05
2007-05-18,6.15
2007-05-21,6.1
2007-05-22,6.05
2007-05-23,6.0
2007-05-24,6.0
2007-05-25,6.0
2007-05-28,6.0
2007-05-29,6.0
2007-05-30,6.0
2007-06-01,6.2
2007-06-04,6.4
2007-06-05,6.300000000000001
2007-06-06,6.2
2007-06-07,6.2
2007-06-08,6.1
2007-06-11,6.05
2007-06-12,6.0
2007-06-13,5.95
2007-06-14,5.95
2007-06-15,5.95
2007-06-18,6.0
2007-06-19,6.05
2007-06-20,6.15
2007-06-21,6.1
2007-06-22,6.05
2007-06-25,6.0
2007-06-26,6.0
2007-06-27,6.0
2007-06-28,6.05
2007-06-29,6.0
2007-07-02,6.1
2007-07-03,6.2
2007-07-04,6.2
2007-07-05,6.6
2007-07-06,6.8
2007-07-09,7.0
2007-07-10,7.0
2007-07-11,7.0
2007-07-12,7.05
2007-07-13,7.2
2007-07-16,7.2
2007-07-17,7.2
2007-07-18,7.05
2007-07-19,6.85
2007-07-20,6.9
2007-07-23,6.9
2007-07-24,7.2
2007-07-25,7.25
2007-07-26,7.4
2007-07-27,7.05
2007-07-31,7.1
2007-08-01,6.9
2007-08-02,6.85
2007-08-03,6.9
2007-08-06,6.699999999999999
2007-08-07,6.65
2007-08-08,6.75
2007-08-09,6.699999999999999
2007-08-10,6.5
2007-08-14,6.55
2007-08-15,6.4
2007-08-16,6.2
2007-08-17,6.2
2007-08-20,6.4
2007-08-21,6.4
2007-08-22,6.4
2007-08-23,6.55
2007-08-24,6.45
2007-08-27,6.55
2007-08-28,6.5
2007-08-29,6.5
2007-08-30,6.6
2007-08-31,6.5
2007-09-03,6.55
2007-09-04,6.5
2007-09-05,6.55
2007-09-06,6.45
2007-09-07,6.45
2007-09-10,6.4
2007-09-11,6.4
2007-09-12,6.4
2007-09-13,6.4
2007-09-14,6.4
2007-09-17,6.35
2007-09-18,6.4
2007-09-19,6.4
2007-09-20,6.4
2007-09-21,6.6
2007-09-24,6.9
2007-09-25,6.85
2007-09-26,6.9
2007-09-27,6.9
2007-09-28,6.9
2007-10-01,6.85
2007-10-02,6.9
2007-10-03,6.8
2007-10-04,6.8
2007-10-05,6.8
2007-10-08,6.8
2007-10-09,6.8
2007-10-10,6.8
2007-10-11,6.9
2007-10-12,6.85
2007-10-15,6.8
2007-10-16,6.85
2007-10-17,6.8
2007-10-18,6.75
2007-10-19,6.75
2007-10-22,6.6
2007-10-24,6.6
2007-10-25,6.75
2007-10-26,6.800000000000001
2007-10-29,6.8
2007-10-30,6.8
2007-10-31,6.7
2007-11-01,6.699999999999999
2007-11-02,6.6
2007-11-05,6.699999999999999
2007-11-06,6.7
2007-11-07,6.65
2007-11-08,6.6
2007-11-09,6.65
2007-11-12,6.6
2007-11-13,6.6
2007-11-14,6.6
2007-11-15,6.6
2007-11-16,6.45
2007-11-19,6.300000000000001
2007-11-20,6.05
2007-11-21,6.0
2007-11-22,5.95
2007-11-23,6.0
2007-11-26,6.0
2007-11-27,6.1
2007-11-28,6.05
2007-11-29,6.15
2007-11-30,6.05
2007-12-03,6.05
2007-12-04,6.0
2007-12-06,5.95
2007-12-07,5.9
2007-12-11,5.699999999999999
2007-12-12,5.45
2007-12-13,5.7
2007-12-14,6.1
2007-12-17,5.95
2007-12-18,6.0
2007-12-19,5.949999999999999
2007-12-20,5.8
2007-12-21,5.85
2007-12-24,5.9
2007-12-25,5.95
2007-12-26,6.05
2007-12-27,6.05
2007-12-28,6.2
2008-01-02,6.15
2008-01-03,6.05
2008-01-04,6.0
2008-01-07,5.8
2008-01-08,5.8
2008-01-09,5.75
2008-01-10,5.699999999999999
2008-01-11,5.6
2008-01-14,5.45
2008-01-15,5.45
2008-01-16,5.300000000000001
2008-01-17,5.4
2008-01-18,5.4
2008-01-21,5.2
2008-01-22,4.85
2008-01-23,4.95
2008-01-24,4.85
2008-01-25,4.95
2008-01-28,5.0
2008-01-29,5.0
2008-01-30,5.05
2008-01-31,5.15
2008-02-01,5.4
2008-02-04,5.55
2008-02-05,5.45
2008-02-06,5.4
2008-02-07,5.4
2008-02-08,5.4
2008-02-11,5.45
2008-02-12,5.4
2008-02-13,5.4
2008-02-14,5.45
2008-02-15,5.4
2008-02-18,5.4
2008-02-19,5.4
2008-02-20,5.300000000000001
2008-02-22,5.35
2008-02-25,5.45
2008-02-26,5.6
2008-02-27,5.65
2008-02-28,5.85
2008-02-29,5.95
2008-03-03,6.0
2008-03-04,5.95
2008-03-05,5.95
2008-03-06,6.0
2008-03-07,6.0
2008-03-10,5.95
2008-03-11,5.95
2008-03-12,6.05
2008-03-13,6.05
2008-03-14,5.8
2008-03-17,5.6
2008-03-18,5.699999999999999
2008-03-19,5.8
2008-03-20,5.8
2008-03-21,5.8
2008-03-24,5.8
2008-03-25,5.8
2008-03-26,5.8
2008-03-27,5.8
2008-03-28,5.8
2008-03-31,5.8
2008-04-01,5.8
2008-04-02,5.8
2008-04-03,5.8
2008-04-04,5.8
2008-04-08,5.8
2008-04-09,5.8
2008-04-10,5.8
2008-04-11,5.75
2008-04-16,5.8
2008-04-17,5.8
2008-04-18,5.8
2008-04-21,5.9
2008-04-22,6.0
2008-04-23,5.95
2008-04-24,5.9
2008-04-25,5.85
2008-04-28,5.8
2008-04-29,5.8
2008-04-30,5.8
2008-05-02,5.8
2008-05-06,5.8
2008-05-07,5.8
2008-05-08,5.75
2008-05-09,5.699999999999999
2008-05-12,5.45
2008-05-13,5.4
2008-05-14,5.5
2008-05-15,5.65
2008-05-16,5.6
2008-05-20,5.5
2008-05-21,5.5
2008-05-22,5.45
2008-05-23,5.45
2008-05-26,5.25
2008-05-27,5.2
2008-05-28,5.1
2008-05-29,5.05
2008-05-30,5.0
2008-06-02,4.95
2008-06-03,4.95
2008-06-04,4.95
2008-06-05,5.0
2008-06-06,4.95
2008-06-09,4.85
2008-06-10,4.75
2008-06-11,4.7
2008-06-12,4.6
2008-06-13,4.6
2008-06-16,4.7
2008-06-17,4.550000000000001
2008-06-18,4.2
2008-06-19,4.0
2008-06-20,3.9499999999999997
2008-06-23,4.0
2008-06-24,4.0
2008-06-25,4.0
2008-06-26,4.05
2008-06-27,4.0
2008-06-30,4.1
2008-07-02,4.0
2008-07-03,3.9
2008-07-04,3.9
2008-07-07,3.8
2008-07-08,3.6500000000000004
2008-07-09,3.6500000000000004
2008-07-10,3.7
2008-07-11,3.9
2008-07-14,3.95
2008-07-15,3.8499999999999996
2008-07-16,3.8499999999999996
2008-07-18,3.95
2008-07-21,4.0
2008-07-22,4.0
2008-07-23,4.05
2008-07-24,4.1
2008-07-25,4.0
2008-07-28,4.05
2008-07-29,4.0
2008-07-30,4.0
2008-07-31,4.0
2008-08-01,4.0
2008-08-04,4.0
2008-08-05,3.95
2008-08-06,4.0
2008-08-07,4.05
2008-08-08,4.05
2008-08-11,4.1
2008-08-13,4.05
2008-08-14,4.0
2008-08-15,4.0
2008-08-18,4.0
2008-08-19,4.0
2008-08-20,4.0
2008-08-21,4.0
2008-08-22,4.05
2008-08-25,4.0
2008-08-26,3.95
2008-08-27,4.05
2008-08-28,4.1
2008-08-29,4.1
2008-09-01,4.1
2008-09-02,4.0
2008-09-03,4.0
2008-09-04,3.95
2008-09-05,3.95
2008-09-08,4.05
2008-09-09,4.1
2008-09-10,4.15
2008-09-11,4.15
2008-09-12,4.199999999999999
2008-09-15,4.2
2008-09-16,4.1
2008-09-17,4.05
2008-09-18,3.95
2008-09-19,4.1
2008-09-22,4.1
2008-09-23,4.05
2008-09-24,4.1
2008-09-25,4.1
2008-09-26,4.1
2008-09-29,4.1
2008-09-30,3.9499999999999997
2008-10-01,4.0
