Date,KKP
2007-01-03,27.1
2007-01-04,26.5
2007-01-05,26.5
2007-01-08,26.8
2007-01-09,26.4
2007-01-10,25.9
2007-01-11,26.5
2007-01-12,27.35
2007-01-15,27.75
2007-01-16,27.9
2007-01-17,27.9
2007-01-18,27.9
2007-01-19,27.9
2007-01-22,27.8
2007-01-23,27.9
2007-01-24,28.0
2007-01-25,28.0
2007-01-26,27.8
2007-01-29,27.6
2007-01-30,27.75
2007-01-31,27.65
2007-02-01,28.25
2007-02-02,28.85
2007-02-05,29.25
2007-02-06,28.85
2007-02-07,29.0
2007-02-08,29.2
2007-02-09,29.5
2007-02-12,29.65
2007-02-13,29.35
2007-02-14,29.5
2007-02-15,29.1
2007-02-16,28.75
2007-02-19,28.35
2007-02-20,28.65
2007-02-21,29.0
2007-02-22,29.25
2007-02-23,29.65
2007-02-26,29.65
2007-02-27,29.8
2007-02-28,29.4
2007-03-01,30.0
2007-03-02,29.9
2007-03-06,30.0
2007-03-07,30.35
2007-03-08,30.0
2007-03-09,29.8
2007-03-12,30.0
2007-03-13,29.9
2007-03-14,29.5
2007-03-15,29.65
2007-03-16,29.8
2007-03-19,29.75
2007-03-20,29.8
2007-03-21,29.65
2007-03-22,29.5
2007-03-23,29.65
2007-03-26,28.9
2007-03-27,28.8
2007-03-28,28.5
2007-03-29,28.1
2007-03-30,28.5
2007-04-02,29.1
2007-04-03,29.2
2007-04-04,29.5
2007-04-05,29.25
2007-04-09,28.75
2007-04-10,28.9
2007-04-11,28.9
2007-04-12,28.9
2007-04-17,28.9
2007-04-18,28.9
2007-04-19,29.25
2007-04-20,29.2
2007-04-23,29.0
2007-04-24,28.9
2007-04-25,29.2
2007-04-26,29.2
2007-04-27,29.5
2007-04-30,29.5
2007-05-02,29.35
2007-05-03,29.5
2007-05-04,29.8
2007-05-08,29.8
2007-05-09,29.3
2007-05-10,28.5
2007-05-11,28.1
2007-05-14,27.9
2007-05-15,27.4
2007-05-16,27.25
2007-05-17,27.8
2007-05-18,27.9
2007-05-21,27.65
2007-05-22,28.15
2007-05-23,28.25
2007-05-24,27.9
2007-05-25,27.6
2007-05-28,27.8
2007-05-29,27.65
2007-05-30,27.0
2007-06-01,27.15
2007-06-04,28.6
2007-06-05,29.35
2007-06-06,29.5
2007-06-07,29.65
2007-06-08,29.25
2007-06-11,29.0
2007-06-12,28.6
2007-06-13,28.2
2007-06-14,28.65
2007-06-15,28.9
2007-06-18,29.85
2007-06-19,30.25
2007-06-20,30.5
2007-06-21,31.75
2007-06-22,32.25
2007-06-25,31.4
2007-06-26,30.8
2007-06-27,31.25
2007-06-28,31.5
2007-06-29,31.9
2007-07-02,32.5
2007-07-03,33.1
2007-07-04,34.15
2007-07-05,34.9
2007-07-06,34.9
2007-07-09,35.6
2007-07-10,35.25
2007-07-11,34.15
2007-07-12,33.3
2007-07-13,33.1
2007-07-16,33.5
2007-07-17,34.1
2007-07-18,34.35
2007-07-19,34.1
2007-07-20,34.0
2007-07-23,33.9
2007-07-24,34.6
2007-07-25,34.75
2007-07-26,34.15
2007-07-27,32.7
2007-07-31,32.1
2007-08-01,31.75
2007-08-02,31.85
2007-08-03,32.5
2007-08-06,31.4
2007-08-07,31.2
2007-08-08,31.6
2007-08-09,31.75
2007-08-10,30.8
2007-08-14,30.9
2007-08-15,30.75
2007-08-16,30.15
2007-08-17,29.9
2007-08-20,31.1
2007-08-21,30.6
2007-08-22,29.0
2007-08-23,29.35
2007-08-24,29.1
2007-08-27,29.0
2007-08-28,29.1
2007-08-29,28.8
2007-08-30,28.6
2007-08-31,28.85
2007-09-03,29.1
2007-09-04,28.75
2007-09-05,28.8
2007-09-06,28.8
2007-09-07,28.65
2007-09-10,28.35
2007-09-11,28.2
2007-09-12,28.0
2007-09-13,28.0
2007-09-14,28.2
2007-09-17,28.2
2007-09-18,28.1
2007-09-19,28.5
2007-09-20,28.35
2007-09-21,28.6
2007-09-24,29.35
2007-09-25,29.5
2007-09-26,29.75
2007-09-27,30.1
2007-09-28,30.65
2007-10-01,31.15
2007-10-02,31.4
2007-10-03,31.1
2007-10-04,31.35
2007-10-05,31.5
2007-10-08,31.9
2007-10-09,32.0
2007-10-10,32.25
2007-10-11,32.5
2007-10-12,32.15
2007-10-15,31.75
2007-10-16,31.5
2007-10-17,31.6
2007-10-18,31.9
2007-10-19,31.5
2007-10-22,29.9
2007-10-24,30.0
2007-10-25,30.25
2007-10-26,30.15
2007-10-29,29.9
2007-10-30,29.25
2007-10-31,29.15
2007-11-01,29.75
2007-11-02,29.0
2007-11-05,28.6
2007-11-06,28.35
2007-11-07,28.4
2007-11-08,28.0
2007-11-09,28.2
2007-11-12,28.1
2007-11-13,28.2
2007-11-14,28.5
2007-11-15,28.5
2007-11-16,28.35
2007-11-19,28.35
2007-11-20,28.1
2007-11-21,27.65
2007-11-22,27.65
2007-11-23,27.9
2007-11-26,28.0
2007-11-27,27.9
2007-11-28,27.8
2007-11-29,28.0
2007-11-30,27.9
2007-12-03,27.65
2007-12-04,27.65
2007-12-06,27.8
2007-12-07,27.75
2007-12-11,27.15
2007-12-12,26.65
2007-12-13,26.9
2007-12-14,26.9
2007-12-17,26.65
2007-12-18,26.75
2007-12-19,26.8
2007-12-20,26.75
2007-12-21,26.8
2007-12-24,26.8
2007-12-25,27.4
2007-12-26,28.0
2007-12-27,28.1
2007-12-28,28.1
2008-01-02,27.9
2008-01-03,27.65
2008-01-04,27.35
2008-01-07,27.1
2008-01-08,27.2
2008-01-09,27.25
2008-01-10,27.1
2008-01-11,27.2
2008-01-14,27.1
2008-01-15,27.5
2008-01-16,27.1
2008-01-17,27.1
2008-01-18,27.25
2008-01-21,27.5
2008-01-22,27.2
2008-01-23,27.5
2008-01-24,27.5
2008-01-25,28.1
2008-01-28,28.5
2008-01-29,28.65
2008-01-30,28.85
2008-01-31,29.4
2008-02-01,29.1
2008-02-04,29.3
2008-02-05,29.0
2008-02-06,29.1
2008-02-07,29.0
2008-02-08,29.1
2008-02-11,29.0
2008-02-12,29.1
2008-02-13,29.25
2008-02-14,29.65
2008-02-15,29.1
2008-02-18,29.35
2008-02-19,29.5
2008-02-20,29.4
2008-02-22,29.4
2008-02-25,29.65
2008-02-26,29.4
2008-02-27,29.2
2008-02-28,29.1
2008-02-29,29.35
2008-03-03,29.35
2008-03-04,29.2
2008-03-05,29.1
2008-03-06,29.1
2008-03-07,29.0
2008-03-10,28.35
2008-03-11,28.2
2008-03-12,29.0
2008-03-13,28.75
2008-03-14,28.5
2008-03-17,28.35
2008-03-18,28.6
2008-03-19,29.1
2008-03-20,28.8
2008-03-21,29.0
2008-03-24,29.25
2008-03-25,28.2
2008-03-26,28.5
2008-03-27,28.85
2008-03-28,29.0
2008-03-31,28.9
2008-04-01,28.75
2008-04-02,28.8
2008-04-03,29.0
2008-04-04,28.9
2008-04-08,28.8
2008-04-09,28.65
2008-04-10,28.8
2008-04-11,28.9
2008-04-16,28.9
