Date,MINT
2007-01-03,9.0
2007-01-04,8.8
2007-01-05,8.8
2007-01-08,8.7
2007-01-09,8.1
2007-01-10,8.6
2007-01-11,8.9
2007-01-12,8.9
2007-01-15,9.2
2007-01-16,8.95
2007-01-17,8.850000000000001
2007-01-18,8.8
2007-01-19,8.9
2007-01-22,9.0
2007-01-23,9.1
2007-01-24,9.1
2007-01-25,9.25
2007-01-26,9.25
2007-01-29,9.3
2007-01-30,9.100000000000001
2007-01-31,8.95
2007-02-01,9.05
2007-02-02,9.350000000000001
2007-02-05,9.4
2007-02-06,9.4
2007-02-07,9.5
2007-02-08,9.7
2007-02-09,9.75
2007-02-12,9.649999999999999
2007-02-13,9.5
2007-02-14,9.45
2007-02-15,9.75
2007-02-16,9.7
2007-02-19,9.45
2007-02-20,9.5
2007-02-21,9.45
2007-02-22,9.4
2007-02-23,9.45
2007-02-26,9.3
2007-02-27,9.05
2007-02-28,9.0
2007-03-01,9.2
2007-03-02,8.9
2007-03-06,8.8
2007-03-07,8.850000000000001
2007-03-08,8.8
2007-03-09,8.8
2007-03-12,8.8
2007-03-13,8.8
2007-03-14,8.75
2007-03-15,8.850000000000001
2007-03-16,8.9
2007-03-19,8.9
2007-03-20,8.95
2007-03-21,8.9
2007-03-22,9.0
2007-03-23,9.05
2007-03-26,9.0
2007-03-27,9.05
2007-03-28,9.1
2007-03-29,9.1
2007-03-30,9.149999999999999
2007-04-02,9.149999999999999
2007-04-03,9.2
2007-04-04,9.149999999999999
2007-04-05,9.1
2007-04-09,9.0
2007-04-10,9.05
2007-04-11,9.0
2007-04-12,9.0
2007-04-17,9.0
2007-04-18,9.0
2007-04-19,8.95
2007-04-20,8.850000000000001
2007-04-23,8.95
2007-04-24,8.9
2007-04-25,9.0
2007-04-26,9.05
2007-04-27,9.1
2007-04-30,9.100000000000001
2007-05-02,9.45
2007-05-03,9.65
2007-05-04,9.9
2007-05-08,9.8
2007-05-09,9.7
2007-05-10,9.9
2007-05-11,10.05
2007-05-14,10.1
2007-05-15,9.9
2007-05-16,9.75
2007-05-17,9.7
2007-05-18,9.850000000000001
2007-05-21,9.75
2007-05-22,9.850000000000001
2007-05-23,10.0
2007-05-24,9.850000000000001
2007-05-25,9.8
2007-05-28,9.8
2007-05-29,9.8
2007-05-30,9.75
2007-06-01,10.05
2007-06-04,10.25
2007-06-05,10.45
2007-06-06,10.5
2007-06-07,10.6
2007-06-08,10.45
2007-06-11,10.5
2007-06-12,10.350000000000001
2007-06-13,10.05
2007-06-14,10.05
2007-06-15,10.350000000000001
2007-06-18,10.55
2007-06-19,10.6
2007-06-20,10.7
2007-06-21,11.0
2007-06-22,11.600000000000001
2007-06-25,11.5
2007-06-26,11.8
2007-06-27,11.8
2007-06-28,11.6
2007-06-29,11.35
2007-07-02,11.4
2007-07-03,11.649999999999999
2007-07-04,11.649999999999999
2007-07-05,11.45
2007-07-06,11.25
2007-07-09,11.3
2007-07-10,11.3
2007-07-11,11.4
2007-07-12,11.350000000000001
2007-07-13,11.399999999999999
2007-07-16,10.850000000000001
2007-07-17,11.1
2007-07-18,11.2
2007-07-19,11.35
2007-07-20,11.649999999999999
2007-07-23,11.75
2007-07-24,12.5
2007-07-25,12.85
2007-07-26,13.15
2007-07-27,12.649999999999999
2007-07-31,12.95
2007-08-01,12.45
2007-08-02,12.3
2007-08-03,12.350000000000001
