Date,PTTEP
2007-01-03,90.65
2007-01-04,92.1
2007-01-05,90.6
2007-01-08,89.95
2007-01-09,89.9
2007-01-10,87.45
2007-01-11,89.65
2007-01-12,91.6
2007-01-15,92.1
2007-01-16,92.6
2007-01-17,91.1
2007-01-18,91.35
2007-01-19,91.35
2007-01-22,91.1
2007-01-23,89.45
2007-01-24,91.35
2007-01-25,92.35
2007-01-26,91.6
2007-01-29,91.35
2007-01-30,90.6
2007-01-31,91.85
2007-02-01,91.85
2007-02-02,92.6
2007-02-05,94.5
2007-02-06,94.3
2007-02-07,94.05
2007-02-08,95.05
2007-02-09,96.5
2007-02-12,95.75
2007-02-13,95.5
2007-02-14,96.0
2007-02-15,95.5
2007-02-16,94.05
2007-02-19,92.85
2007-02-20,93.1
2007-02-21,93.35
2007-02-22,93.6
2007-02-23,94.3
2007-02-26,95.0
2007-02-27,95.25
2007-02-28,94.3
2007-03-01,94.75
2007-03-02,94.3
2007-03-06,92.85
2007-03-07,91.6
2007-03-08,91.1
2007-03-09,91.1
2007-03-12,90.6
2007-03-13,90.4
2007-03-14,89.2
2007-03-15,88.7
2007-03-16,87.95
2007-03-19,87.2
2007-03-20,86.25
2007-03-21,84.55
2007-03-22,85.3
2007-03-23,86.3
2007-03-26,86.25
2007-03-27,86.5
2007-03-28,85.55
2007-03-29,85.05
2007-03-30,87.0
2007-04-02,88.95
2007-04-03,90.9
2007-04-04,91.1
2007-04-05,90.15
2007-04-09,89.45
2007-04-10,88.7
2007-04-11,89.2
2007-04-12,89.7
2007-04-17,89.2
2007-04-18,88.45
2007-04-19,87.45
2007-04-20,87.2
2007-04-23,87.7
2007-04-24,87.45
2007-04-25,87.95
2007-04-26,89.2
2007-04-27,89.9
2007-04-30,91.1
2007-05-02,91.6
2007-05-03,91.35
2007-05-04,91.85
2007-05-08,90.4
2007-05-09,90.15
2007-05-10,89.2
2007-05-11,89.2
2007-05-14,89.7
2007-05-15,89.7
2007-05-16,92.1
2007-05-17,96.0
2007-05-18,97.5
2007-05-21,98.4
2007-05-22,98.9
2007-05-23,98.9
2007-05-24,97.45
2007-05-25,96.25
2007-05-28,99.9
2007-05-29,100.4
2007-05-30,100.4
2007-06-01,102.8
2007-06-04,105.25
2007-06-05,104.25
2007-06-06,102.35
2007-06-07,102.3
2007-06-08,101.85
2007-06-11,102.8
2007-06-12,102.8
2007-06-13,100.85
2007-06-14,100.4
2007-06-15,101.35
2007-06-18,106.25
2007-06-19,107.7
2007-06-20,108.2
2007-06-21,107.7
2007-06-22,106.7
2007-06-25,105.3
2007-06-26,106.2
2007-06-27,106.7
2007-06-28,106.7
2007-06-29,106.25
2007-07-02,106.7
2007-07-03,110.65
2007-07-04,114.5
2007-07-05,114.55
2007-07-06,115.0
2007-07-09,119.85
2007-07-10,122.8
2007-07-11,120.85
2007-07-12,120.4
2007-07-13,122.3
2007-07-16,123.3
2007-07-17,122.8
2007-07-18,120.85
2007-07-19,119.4
2007-07-20,118.45
2007-07-23,119.4
2007-07-24,123.3
2007-07-25,125.25
2007-07-26,132.55
2007-07-27,127.2
2007-07-31,126.25
2007-08-01,121.85
2007-08-02,118.95
2007-08-03,119.4
2007-08-06,114.05
2007-08-07,113.55
2007-08-08,116.45
2007-08-09,116.95
2007-08-10,112.05
2007-08-14,111.6
2007-08-15,107.7
2007-08-16,104.25
2007-08-17,106.2
2007-08-20,111.1
2007-08-21,107.69999999999999
2007-08-22,106.25
2007-08-23,109.65
2007-08-24,109.65
2007-08-27,111.6
2007-08-28,112.1
2007-08-29,112.05
2007-08-30,115.5
2007-08-31,117.45
2007-09-03,119.85
2007-09-04,119.4
2007-09-05,120.4
2007-09-06,119.9
2007-09-07,119.4
2007-09-10,116.95
2007-09-11,120.85
2007-09-12,122.8
2007-09-13,123.3
2007-09-14,124.3
2007-09-17,123.3
2007-09-18,121.8
2007-09-19,127.19999999999999
2007-09-20,129.6
2007-09-21,131.1
2007-09-24,132.1
2007-09-25,133.05
2007-09-26,133.5
2007-09-27,132.1
2007-09-28,133.05
2007-10-01,131.6
2007-10-02,132.1
2007-10-03,131.6
2007-10-04,130.6
2007-10-05,130.6
2007-10-08,132.55
2007-10-09,135.0
2007-10-10,137.9
2007-10-11,143.8
2007-10-12,151.55
2007-10-15,158.4
2007-10-16,166.14999999999998
2007-10-17,159.35000000000002
2007-10-18,155.95
2007-10-19,158.4
2007-10-22,153.5
2007-10-24,154.45
2007-10-25,159.35
2007-10-26,165.2
2007-10-29,167.14999999999998
2007-10-30,160.3
2007-10-31,154.95
2007-11-01,159.85000000000002
2007-11-02,154.5
2007-11-05,151.1
2007-11-06,148.64999999999998
2007-11-07,149.6
2007-11-08,144.2
2007-11-09,144.7
2007-11-12,141.8
2007-11-13,141.8
2007-11-14,141.35000000000002
2007-11-15,138.4
2007-11-16,136.5
2007-11-19,135.0
2007-11-20,130.64999999999998
2007-11-21,130.1
2007-11-22,133.55
2007-11-23,140.35000000000002
2007-11-26,146.2
2007-11-27,142.3
2007-11-28,139.85000000000002
2007-11-29,144.7
2007-11-30,147.64999999999998
2007-12-03,147.14999999999998
2007-12-04,148.64999999999998
2007-12-06,154.0
2007-12-07,154.0
2007-12-11,151.55
2007-12-12,151.55
2007-12-13,153.0
2007-12-14,153.5
2007-12-17,149.1
2007-12-18,144.2
2007-12-19,142.3
2007-12-20,136.45
2007-12-21,139.85
2007-12-24,144.725
2007-12-25,149.6
2007-12-26,153.0
2007-12-27,155.45
2007-12-28,157.4
2008-01-02,153.5
2008-01-03,153.05
2008-01-04,153.05
2008-01-07,148.1
2008-01-08,149.1
2008-01-09,150.6
2008-01-10,150.55
2008-01-11,148.14999999999998
2008-01-14,147.14999999999998
2008-01-15,148.64999999999998
2008-01-16,147.14999999999998
2008-01-17,150.05
2008-01-18,148.6
2008-01-21,144.75
2008-01-22,133.55
2008-01-23,135.45
2008-01-24,130.6
2008-01-25,133.05
2008-01-28,132.55
2008-01-29,135.0
2008-01-30,137.45
2008-01-31,141.35000000000002
2008-02-01,147.64999999999998
2008-02-04,147.64999999999998
2008-02-05,143.75
2008-02-06,140.85000000000002
2008-02-07,138.9
2008-02-08,139.4
2008-02-11,141.8
2008-02-12,143.75
2008-02-13,146.2
2008-02-14,149.6
2008-02-15,148.64999999999998
2008-02-18,148.64999999999998
2008-02-19,151.05
2008-02-20,154.95
2008-02-22,150.6
2008-02-25,153.0
2008-02-26,153.95
2008-02-27,152.05
2008-02-28,153.5
2008-02-29,156.4
2008-03-03,155.45
2008-03-04,151.55
2008-03-05,148.1
2008-03-06,149.1
2008-03-07,148.14999999999998
2008-03-10,146.7
2008-03-11,151.05
2008-03-12,156.9
2008-03-13,153.95
2008-03-14,154.0
2008-03-17,152.55
2008-03-18,152.05
2008-03-19,152.05
2008-03-20,147.2
2008-03-21,146.7
2008-03-24,147.2
2008-03-25,149.1
2008-03-26,149.6
2008-03-27,149.6
2008-03-28,149.6
2008-03-31,148.14999999999998
2008-04-01,148.6
2008-04-02,149.6
2008-04-03,148.14999999999998
2008-04-04,147.64999999999998
2008-04-08,149.6
2008-04-09,151.55
2008-04-10,150.55
2008-04-11,151.05
2008-04-16,154.95
2008-04-17,160.35000000000002
2008-04-18,161.8
2008-04-21,161.75
2008-04-22,163.75
2008-04-23,166.14999999999998
2008-04-24,164.25
2008-04-25,162.8
2008-04-28,166.14999999999998
2008-04-29,167.14999999999998
2008-04-30,162.3
2008-05-02,163.75
2008-05-06,168.6
2008-05-07,172.55
2008-05-08,179.35000000000002
2008-05-09,180.3
2008-05-12,183.25
2008-05-13,181.3
2008-05-14,181.75
2008-05-15,182.75
2008-05-16,184.7
2008-05-20,193.0
2008-05-21,197.85
2008-05-22,205.64999999999998
2008-05-23,198.8
2008-05-26,191.05
2008-05-27,189.1
2008-05-28,182.25
2008-05-29,182.75
2008-05-30,181.8
2008-06-02,176.9
2008-06-03,174.95
2008-06-04,172.05
2008-06-05,172.0
2008-06-06,177.85000000000002
2008-06-09,180.8
2008-06-10,176.45
2008-06-11,175.45
2008-06-12,176.9
2008-06-13,177.9
2008-06-16,175.95
2008-06-17,170.55
2008-06-18,165.7
2008-06-19,164.7
2008-06-20,167.15
2008-06-23,173.0
2008-06-24,178.85000000000002
2008-06-25,181.75
2008-06-26,180.35000000000002
2008-06-27,180.8
2008-06-30,187.14999999999998
2008-07-02,187.14999999999998
2008-07-03,180.3
2008-07-04,177.9
2008-07-07,173.5
2008-07-08,165.7
2008-07-09,162.75
2008-07-10,158.4
2008-07-11,160.8
2008-07-14,162.3
2008-07-15,157.4
2008-07-16,150.1
2008-07-18,143.3
2008-07-21,142.8
2008-07-22,143.3
2008-07-23,143.75
2008-07-24,139.85000000000002
2008-07-25,142.8
2008-07-28,150.05
2008-07-29,148.6
2008-07-30,145.2
2008-07-31,145.2
2008-08-01,144.7
2008-08-04,146.2
2008-08-05,141.3
2008-08-06,140.85000000000002
2008-08-07,146.65
2008-08-08,147.14999999999998
2008-08-11,147.64999999999998
2008-08-13,139.4
2008-08-14,142.75
2008-08-15,143.25
2008-08-18,142.3
2008-08-19,141.35000000000002
2008-08-20,144.2
2008-08-21,143.75
2008-08-22,145.7
2008-08-25,142.8
2008-08-26,139.4
2008-08-27,142.3
2008-08-28,144.7
2008-08-29,145.7
2008-09-01,143.25
2008-09-02,137.45
2008-09-03,132.55
2008-09-04,130.14999999999998
2008-09-05,128.7
2008-09-08,133.55
2008-09-09,134.0
2008-09-10,132.6
2008-09-11,131.1
2008-09-12,132.05
2008-09-15,131.6
2008-09-16,125.7
2008-09-17,122.80000000000001
2008-09-18,118.9
2008-09-19,129.65
2008-09-22,132.55
2008-09-23,133.05
2008-09-24,133.5
2008-09-25,133.05
2008-09-26,132.1
2008-09-29,129.15
2008-09-30,120.85
2008-10-01,124.25
2008-10-02,123.8
2008-10-03,120.9
2008-10-06,112.1
2008-10-07,102.8
2008-10-08,98.95
2008-10-09,102.85
2008-10-10,93.85
2008-10-13,97.95
2008-10-14,107.7
2008-10-15,103.3
2008-10-16,98.95
2008-10-17,96.7
2008-10-20,97.95
2008-10-21,100.9
2008-10-22,96.95
2008-10-24,90.65
2008-10-27,79.19999999999999
2008-10-28,77.2
2008-10-29,77.75
2008-10-30,80.65
2008-10-31,82.35
2008-11-03,92.6
2008-11-04,95.05
2008-11-05,100.4
2008-11-06,96.0
2008-11-07,97.95
2008-11-10,99.4
2008-11-11,95.05
2008-11-12,92.85
2008-11-13,91.15
2008-11-14,94.8
2008-11-17,93.35
2008-11-18,90.9
2008-11-19,87.0
2008-11-20,82.4
2008-11-21,81.4
2008-11-24,79.45
2008-11-25,80.4
2008-11-26,80.65
2008-11-27,81.6
2008-11-28,87.69999999999999
2008-12-01,90.65
2008-12-02,88.45
2008-12-03,95.0
2008-12-04,96.0
2008-12-08,100.4
2008-12-09,102.35
2008-12-11,102.35
2008-12-12,101.85
2008-12-15,105.75
2008-12-16,106.25
2008-12-17,107.7
2008-12-18,105.3
2008-12-19,102.35
2008-12-22,99.45
2008-12-23,98.45
2008-12-24,99.4
2008-12-25,99.9
2008-12-26,99.9
2008-12-29,99.9
2008-12-30,103.3
2009-01-02,104.3
2009-01-05,114.05000000000001
2009-01-06,119.4
2009-01-07,116.0
2009-01-08,111.1
2009-01-09,110.6
2009-01-12,106.75
2009-01-13,99.9
2009-01-14,100.9
2009-01-15,97.0
2009-01-16,98.95
2009-01-19,101.35
2009-01-20,98.4
2009-01-21,97.25
2009-01-22,98.9
2009-01-23,97.7
2009-01-26,97.95
2009-01-27,98.4
2009-01-28,97.95
2009-01-29,96.95
2009-01-30,95.5
2009-02-02,95.5
2009-02-03,94.5
2009-02-04,95.0
2009-02-05,94.5
2009-02-06,96.75
2009-02-10,97.45
2009-02-11,96.25
2009-02-12,94.55
2009-02-13,94.1
2009-02-16,94.5
2009-02-17,92.35
2009-02-18,90.15
2009-02-19,90.6
2009-02-20,89.65
2009-02-23,88.7
2009-02-24,86.7
2009-02-25,87.95
2009-02-26,87.7
2009-02-27,86.95
2009-03-02,83.35
2009-03-03,80.15
2009-03-04,81.15
2009-03-05,82.8
2009-03-06,82.85
2009-03-09,82.85
2009-03-10,86.0
2009-03-11,89.45
2009-03-12,88.7
2009-03-13,93.05
2009-03-16,93.35
2009-03-17,92.6
