Date,SCC
2007-01-03,234.0
2007-01-04,232.0
2007-01-05,226.0
2007-01-08,227.0
2007-01-09,227.0
2007-01-10,224.0
2007-01-11,225.0
2007-01-12,229.0
2007-01-15,231.0
2007-01-16,234.0
2007-01-17,234.0
2007-01-18,234.0
2007-01-19,234.0
2007-01-22,234.0
2007-01-23,233.0
2007-01-24,232.0
2007-01-25,233.0
2007-01-26,233.0
2007-01-29,233.0
2007-01-30,232.0
2007-01-31,232.0
2007-02-01,231.0
2007-02-02,232.0
2007-02-05,232.0
2007-02-06,233.0
2007-02-07,232.0
2007-02-08,236.0
2007-02-09,239.0
2007-02-12,239.0
2007-02-13,237.0
2007-02-14,235.0
2007-02-15,235.0
2007-02-16,234.0
2007-02-19,234.0
2007-02-20,236.0
2007-02-21,237.0
2007-02-22,237.0
2007-02-23,237.0
2007-02-26,237.0
2007-02-27,234.0
2007-02-28,230.0
2007-03-01,231.0
2007-03-02,231.0
2007-03-06,233.0
2007-03-07,233.0
2007-03-08,232.0
2007-03-09,230.0
2007-03-12,232.0
2007-03-13,234.0
2007-03-14,233.0
2007-03-15,232.0
2007-03-16,230.0
2007-03-19,229.0
2007-03-20,233.0
2007-03-21,234.0
2007-03-22,234.0
2007-03-23,235.0
2007-03-26,236.0
2007-03-27,237.0
2007-03-28,236.0
2007-03-29,236.0
2007-03-30,236.0
2007-04-02,239.0
2007-04-03,241.0
2007-04-04,246.0
2007-04-05,247.0
2007-04-09,240.0
2007-04-10,238.0
2007-04-11,238.0
2007-04-12,238.0
2007-04-17,240.0
2007-04-18,240.0
2007-04-19,237.0
2007-04-20,235.0
2007-04-23,234.0
2007-04-24,232.0
2007-04-25,234.0
2007-04-26,235.0
2007-04-27,234.0
2007-04-30,233.0
2007-05-02,234.0
2007-05-03,237.0
2007-05-04,236.0
2007-05-08,237.0
2007-05-09,235.0
2007-05-10,232.0
2007-05-11,232.0
2007-05-14,233.0
2007-05-15,232.0
2007-05-16,233.0
2007-05-17,235.0
2007-05-18,236.0
2007-05-21,235.0
2007-05-22,235.0
2007-05-23,236.0
2007-05-24,235.0
2007-05-25,235.0
2007-05-28,235.0
2007-05-29,236.0
2007-05-30,236.0
2007-06-01,241.0
2007-06-04,250.0
2007-06-05,255.0
2007-06-06,250.0
2007-06-07,246.0
2007-06-08,246.0
2007-06-11,248.0
2007-06-12,249.0
2007-06-13,245.0
2007-06-14,247.0
2007-06-15,249.0
2007-06-18,254.0
2007-06-19,253.0
2007-06-20,256.0
2007-06-21,256.0
2007-06-22,256.0
2007-06-25,253.0
2007-06-26,253.0
2007-06-27,253.0
2007-06-28,258.0
2007-06-29,260.0
2007-07-02,262.0
2007-07-03,269.0
2007-07-04,271.0
2007-07-05,274.0
2007-07-06,276.0
2007-07-09,281.0
2007-07-10,284.0
2007-07-11,280.0
2007-07-12,280.0
2007-07-13,284.0
2007-07-16,284.0
2007-07-17,278.0
2007-07-18,274.0
2007-07-19,273.0
2007-07-20,276.0
2007-07-23,277.0
2007-07-24,279.0
2007-07-25,279.0
2007-07-26,283.0
2007-07-27,277.0
2007-07-31,275.0
2007-08-01,272.0
2007-08-02,274.0
2007-08-03,265.0
2007-08-06,257.0
2007-08-07,257.0
2007-08-08,259.0
2007-08-09,259.0
2007-08-10,248.0
2007-08-14,249.0
2007-08-15,243.0
2007-08-16,235.0
2007-08-17,238.0
2007-08-20,248.0
2007-08-21,244.0
2007-08-22,242.0
2007-08-23,247.0
2007-08-24,245.0
2007-08-27,242.0
2007-08-28,240.0
2007-08-29,241.0
2007-08-30,245.0
2007-08-31,248.0
2007-09-03,251.0
2007-09-04,252.0
2007-09-05,250.0
2007-09-06,246.0
2007-09-07,246.0
2007-09-10,243.0
2007-09-11,246.0
2007-09-12,247.0
2007-09-13,246.0
2007-09-14,246.0
2007-09-17,246.0
2007-09-18,245.0
2007-09-19,246.0
2007-09-20,246.0
2007-09-21,248.0
2007-09-24,252.0
2007-09-25,252.0
2007-09-26,251.0
2007-09-27,253.0
2007-09-28,254.0
2007-10-01,261.0
2007-10-02,273.0
2007-10-03,271.0
2007-10-04,270.0
2007-10-05,270.0
2007-10-08,272.0
2007-10-09,272.0
2007-10-10,270.0
2007-10-11,271.0
2007-10-12,273.0
2007-10-15,274.0
2007-10-16,273.0
2007-10-17,268.0
2007-10-18,265.0
2007-10-19,261.0
2007-10-22,253.0
2007-10-24,257.0
2007-10-25,256.0
2007-10-26,257.0
2007-10-29,255.0
2007-10-30,252.0
2007-10-31,256.0
2007-11-01,257.0
2007-11-02,251.0
2007-11-05,252.0
2007-11-06,251.0
2007-11-07,250.0
2007-11-08,246.0
2007-11-09,247.0
2007-11-12,245.0
2007-11-13,244.0
2007-11-14,244.0
2007-11-15,241.0
2007-11-16,238.0
2007-11-19,235.0
2007-11-20,228.0
2007-11-21,224.0
2007-11-22,223.0
2007-11-23,228.0
2007-11-26,232.0
2007-11-27,227.0
2007-11-28,226.0
2007-11-29,230.0
2007-11-30,230.0
2007-12-03,230.0
2007-12-04,228.0
2007-12-06,229.0
2007-12-07,229.0
2007-12-11,228.0
2007-12-12,223.0
2007-12-13,221.0
2007-12-14,223.0
2007-12-17,221.0
2007-12-18,222.0
2007-12-19,225.0
2007-12-20,225.0
2007-12-21,227.0
2007-12-24,228.0
2007-12-25,229.0
2007-12-26,231.0
2007-12-27,233.0
2007-12-28,233.0
2008-01-02,230.0
2008-01-03,225.0
2008-01-04,224.0
2008-01-07,224.0
2008-01-08,226.0
2008-01-09,225.0
2008-01-10,223.0
2008-01-11,222.0
2008-01-14,222.0
2008-01-15,222.0
2008-01-16,220.0
2008-01-17,223.0
2008-01-18,222.0
2008-01-21,222.0
