Date,TMB
2007-01-03,2.45
2007-01-04,2.4
2007-01-05,2.4
2007-01-08,2.3
2007-01-09,2.25
2007-01-10,2.05
2007-01-11,2.2
2007-01-12,2.2
2007-01-15,2.1500000000000004
2007-01-16,2.1
2007-01-17,2.1
2007-01-18,2.1
2007-01-19,2.05
2007-01-22,1.85
2007-01-23,1.85
2007-01-24,1.95
2007-01-25,2.0
2007-01-26,1.9
2007-01-29,1.9
2007-01-30,1.9
2007-01-31,1.9
2007-02-01,1.9
2007-02-02,1.9
2007-02-05,1.9
2007-02-06,1.9
2007-02-07,1.9
2007-02-08,1.95
2007-02-09,2.0
2007-02-12,2.0
2007-02-13,2.0
2007-02-14,2.0
2007-02-15,2.0
2007-02-16,1.95
2007-02-19,1.9
2007-02-20,1.9
2007-02-21,1.9
2007-02-22,1.9
2007-02-23,1.9
2007-02-26,1.9
2007-02-27,1.9
2007-02-28,1.8
2007-03-01,1.8
2007-03-02,1.75
2007-03-06,1.7
2007-03-07,1.65
2007-03-08,1.6
2007-03-09,1.6
2007-03-12,1.6
2007-03-13,1.6
2007-03-14,1.5
2007-03-15,1.5
2007-03-16,1.5
2007-03-19,1.5
2007-03-20,1.5
2007-03-21,1.6
2007-03-22,1.65
2007-03-23,1.65
2007-03-26,1.65
2007-03-27,1.65
2007-03-28,1.6
2007-03-29,1.6
2007-03-30,1.6
2007-04-02,1.65
2007-04-03,1.7
2007-04-04,1.7
2007-04-05,1.65
2007-04-09,1.65
2007-04-10,1.6
2007-04-11,1.6
2007-04-12,1.6
2007-04-17,1.65
2007-04-18,1.7
2007-04-19,1.7
2007-04-20,1.7
2007-04-23,1.7
2007-04-24,1.7
2007-04-25,1.7
2007-04-26,1.7
2007-04-27,1.7
2007-04-30,1.7
2007-05-02,1.7
2007-05-03,1.7
2007-05-04,1.7
2007-05-08,1.7
2007-05-09,1.7
2007-05-10,1.7
2007-05-11,1.7
2007-05-14,1.7
2007-05-15,1.7
2007-05-16,1.65
2007-05-17,1.6
2007-05-18,1.6
2007-05-21,1.6
2007-05-22,1.6
2007-05-23,1.6
2007-05-24,1.6
2007-05-25,1.7000000000000002
2007-05-28,1.85
2007-05-29,1.9
2007-05-30,1.95
2007-06-01,2.0
2007-06-04,2.0
2007-06-05,2.0
2007-06-06,2.0
2007-06-07,2.0
2007-06-08,1.9
2007-06-11,1.9
2007-06-12,1.85
2007-06-13,1.8
2007-06-14,1.8
2007-06-15,1.75
2007-06-18,1.75
