Date,TOP
2007-01-03,50.5
2007-01-04,50.75
2007-01-05,49.25
2007-01-08,48.65
2007-01-09,47.65
2007-01-10,46.35
2007-01-11,49.6
2007-01-12,54.5
2007-01-15,55.0
2007-01-16,55.25
2007-01-17,54.25
2007-01-18,54.25
2007-01-19,54.25
2007-01-22,55.0
2007-01-23,55.25
2007-01-24,57.0
2007-01-25,58.0
2007-01-26,57.25
2007-01-29,58.25
2007-01-30,57.5
2007-01-31,57.75
2007-02-01,58.25
2007-02-02,58.5
2007-02-05,59.0
2007-02-06,59.0
2007-02-07,58.75
2007-02-08,58.5
2007-02-09,58.5
2007-02-12,56.75
2007-02-13,56.0
2007-02-14,56.0
2007-02-15,55.75
2007-02-16,55.0
2007-02-19,55.25
2007-02-20,56.25
2007-02-21,57.0
2007-02-22,57.25
2007-02-23,57.0
2007-02-26,56.75
2007-02-27,56.5
2007-02-28,55.25
2007-03-01,56.0
2007-03-02,56.0
2007-03-06,55.75
2007-03-07,56.5
2007-03-08,57.0
2007-03-09,57.5
2007-03-12,57.75
2007-03-13,58.5
2007-03-14,58.25
2007-03-15,59.0
2007-03-16,57.0
2007-03-19,56.5
2007-03-20,56.5
2007-03-21,56.5
2007-03-22,56.25
2007-03-23,56.75
2007-03-26,57.25
2007-03-27,57.5
2007-03-28,57.25
2007-03-29,57.0
2007-03-30,58.25
2007-04-02,59.25
2007-04-03,59.75
2007-04-04,60.25
2007-04-05,61.5
2007-04-09,62.0
2007-04-10,61.25
2007-04-11,61.25
2007-04-12,61.5
2007-04-17,61.5
2007-04-18,61.25
2007-04-19,61.5
2007-04-20,61.5
2007-04-23,61.75
2007-04-24,62.25
2007-04-25,63.75
2007-04-26,64.75
2007-04-27,64.5
2007-04-30,65.0
2007-05-02,65.5
2007-05-03,65.25
2007-05-04,65.75
2007-05-08,65.0
2007-05-09,65.0
2007-05-10,65.75
2007-05-11,65.5
2007-05-14,65.5
2007-05-15,65.5
2007-05-16,66.25
2007-05-17,67.25
2007-05-18,68.25
2007-05-21,69.25
2007-05-22,69.5
2007-05-23,69.25
2007-05-24,67.25
2007-05-25,66.25
2007-05-28,67.5
2007-05-29,68.0
2007-05-30,67.25
2007-06-01,68.75
2007-06-04,71.0
2007-06-05,71.75
2007-06-06,70.25
2007-06-07,69.5
2007-06-08,69.0
2007-06-11,69.25
2007-06-12,69.0
2007-06-13,67.25
2007-06-14,68.75
2007-06-15,69.25
2007-06-18,70.75
2007-06-19,71.25
2007-06-20,72.0
2007-06-21,71.75
2007-06-22,71.25
2007-06-25,70.5
2007-06-26,70.0
2007-06-27,70.0
2007-06-28,70.75
2007-06-29,70.75
2007-07-02,71.25
2007-07-03,74.5
2007-07-04,77.5
2007-07-05,76.5
2007-07-06,76.5
2007-07-09,79.0
2007-07-10,80.25
2007-07-11,80.25
2007-07-12,80.0
2007-07-13,81.5
2007-07-16,82.0
2007-07-17,81.25
2007-07-18,80.75
